# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	citC//paaF//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	tdcE//napA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	metK//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ilvG_2//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	aceB//fbaA//
AdiY_H-NS_IHF	idnD//
AgaR_CRP	tam//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	torA//gcvH//
AraC_CRP	paaK//nrdF//pspE//nagB//ynfG//
AraC_CRP_XylR	araB//moeA//
AraC_NagC	
ArcA_BetI_Cra	hyaA//glpD//hyaC//
ArcA_CRP_CaiF_FNR_H-NS	aldA//hycF//ulaF//idnO//uxuB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	fabB//relA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	yiaK//frdC//katG//paaC//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gabD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	fabB//fumC//ulaD//
ArcA_CRP_Cra_Fis	gadB//
ArcA_CRP_Cra_IHF_IclR	fabB//tnaA//idnD//
ArcA_CRP_DcuR	ilvM//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	lpxD//
ArcA_CRP_DnaA_FNR	gabT//
ArcA_CRP_DpiA_FNR_NarL	cysG//araD//fumB//
ArcA_CRP_DpiA_FlhDC	hypB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	napG//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	ubiA//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	glpK//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	glpC//idnK//murC//umpH//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	adiA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	metB//
ArcA_CRP_FNR_IHF_NarL	nirD//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	putA//
ArcA_CRP_FadR_HipB	frdB//
ArcA_CRP_FadR_OmpR_PhoP	nrfB//
ArcA_CRP_Fis_Mlc_SoxS	rutA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	relA//putA//malY//
ArcA_CRP_GlpR	metB//
