# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	fbaA//pgaB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	uidA//nanK//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	metH//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ldtB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	relA//sucD//
AdiY_H-NS_IHF	hmp//
AgaR_CRP	serA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	narH//hycG//
AraC_CRP	waaZ//adiA//glcB//metL//glpD//
AraC_CRP_XylR	fabA//katG//
AraC_NagC	
ArcA_BetI_Cra	gltB//poxB//tdcB//
ArcA_CRP_CaiF_FNR_H-NS	glpC//rbsD//puuA//mhpC//mhpC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ynfH//uidA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	aroG//astC//pyrD//prpD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	udp//
ArcA_CRP_Cra_FNR_NsrR_PdhR	nrdF//fumA//glgC//
ArcA_CRP_Cra_Fis	entF//
ArcA_CRP_Cra_IHF_IclR	ubiC//aldB//ssuD//
ArcA_CRP_DcuR	gabD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ynfG//
ArcA_CRP_DnaA_FNR	malQ//
ArcA_CRP_DpiA_FNR_NarL	fumB//garL//atoD//
ArcA_CRP_DpiA_FlhDC	hycG//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	ansB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	gatZ//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	mhpF//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	hypB//fumA//sucB//katE//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	torC//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	nrdA//
ArcA_CRP_FNR_IHF_NarL	nanA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	nanA//
ArcA_CRP_FadR_HipB	sdhA//
ArcA_CRP_FadR_OmpR_PhoP	ynfE//
ArcA_CRP_Fis_Mlc_SoxS	adiA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	glyA//caiC//kbaZ//
ArcA_CRP_GlpR	astB//
