# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	melA//aceE//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	nrfD//hcp//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	fucU//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	tauD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	lpxD//gutQ//
AdiY_H-NS_IHF	ogt//
AgaR_CRP	argG//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	truB//metH//
AraC_CRP	fucU//purM//aroL//putA//mhpF//
AraC_CRP_XylR	pyrC//gdhA//
AraC_NagC	
ArcA_BetI_Cra	fadE//malY//hmp//
ArcA_CRP_CaiF_FNR_H-NS	ubiA//mhpA//poxB//accC//umpH//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	purH//galK//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	guaA//cyoE//uxaA//atoB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	argG//
ArcA_CRP_Cra_FNR_NsrR_PdhR	rutB//napH//tauD//
ArcA_CRP_Cra_Fis	hycE//
ArcA_CRP_Cra_IHF_IclR	glyA//katG//gatY//
ArcA_CRP_DcuR	entA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	torC//
ArcA_CRP_DnaA_FNR	nirD//
ArcA_CRP_DpiA_FNR_NarL	lsrF//nagA//nagB//
ArcA_CRP_DpiA_FlhDC	citE//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	murE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	gadB//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	ilvH//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	deoD//metK//pyrD//rhaA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	paaK//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	atoD//
ArcA_CRP_FNR_IHF_NarL	citC//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	glgC//
ArcA_CRP_FadR_HipB	puuD//
ArcA_CRP_FadR_OmpR_PhoP	hpt//
ArcA_CRP_Fis_Mlc_SoxS	carA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	uxaB//recF//ahpC//
ArcA_CRP_GlpR	garL//
