# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	metB//rutA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	atoD//aceF//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	gabD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	fadE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	paaA//torC//
AdiY_H-NS_IHF	entE//
AgaR_CRP	sodA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	carB//torC//
AraC_CRP	nanM//nfsB//ackA//purA//ndh//
AraC_CRP_XylR	metE//purH//
AraC_NagC	
ArcA_BetI_Cra	moaD//tauD//metH//
ArcA_CRP_CaiF_FNR_H-NS	ubiC//fucA//fucI//lldD//nrdF//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	lpxA//fucK//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	mpl//pnp//nrfD//ssuD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	srlD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	tdcG//udp//tdcB//
ArcA_CRP_Cra_Fis	moaA//
ArcA_CRP_Cra_IHF_IclR	betB//atoD//nrfC//
ArcA_CRP_DcuR	uxuA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	malS//
ArcA_CRP_DnaA_FNR	treC//
ArcA_CRP_DpiA_FNR_NarL	chbF//ubiC//lpxC//
ArcA_CRP_DpiA_FlhDC	folA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	hcp//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	citC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	lysA//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	accB//lpxD//hyaA//ogt//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	moaE//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	ubiA//
ArcA_CRP_FNR_IHF_NarL	mhpC//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	ilvG_1//
ArcA_CRP_FadR_HipB	citG//
ArcA_CRP_FadR_OmpR_PhoP	mazG//
ArcA_CRP_Fis_Mlc_SoxS	tdcE//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	galE//pyrC//entF//
ArcA_CRP_GlpR	entD//
