# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	udp//caiC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	codA//araA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	paaF//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	rsmH//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	fucK//nirB//
AdiY_H-NS_IHF	uidA//
AgaR_CRP	citF//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	betA//metL//
AraC_CRP	fadE//ahpC//fadJ//pnp//uxuB//
AraC_CRP_XylR	gatD//sucD//
AraC_NagC	
ArcA_BetI_Cra	recF//gabD//nrdD//
ArcA_CRP_CaiF_FNR_H-NS	dusB//folA//murQ//adiA//glpD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	idnD//mraY//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	pspE//paaJ//fumA//accB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	relA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	fabA//codA//glpC//
ArcA_CRP_Cra_Fis	hyaA//
ArcA_CRP_Cra_IHF_IclR	hycD//nanE//serA//
ArcA_CRP_DcuR	ubiC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	galM//
ArcA_CRP_DnaA_FNR	astA//
ArcA_CRP_DpiA_FNR_NarL	betA//moaD//galK//
ArcA_CRP_DpiA_FlhDC	glpA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	mhpB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	astC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	hyaC//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	nirD//ubiA//carB//deoC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	paaC//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	mdh//
ArcA_CRP_FNR_IHF_NarL	torC//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	sodB//
ArcA_CRP_FadR_HipB	gltD//
ArcA_CRP_FadR_OmpR_PhoP	nrdD//
ArcA_CRP_Fis_Mlc_SoxS	patA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	hcp//rimK//malQ//
ArcA_CRP_GlpR	malP//
