# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	entD//icd//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	aldA//prmC//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	ackA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	uvrA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	narI//galK//
AdiY_H-NS_IHF	purA//
AgaR_CRP	lsrF//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	napB//aroG//
AraC_CRP	ulaE//waaY//yiaK//citD//hyaB//
AraC_CRP_XylR	ubiA//ansB//
AraC_NagC	
ArcA_BetI_Cra	moeB//garK//nrdD//
ArcA_CRP_CaiF_FNR_H-NS	waaY//nrfB//entE//citX//srlD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	aldB//araB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	paaF//lpxC//rutD//sucB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	sucB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ftsI//aroG//lsrK//
ArcA_CRP_Cra_Fis	gcvH//
ArcA_CRP_Cra_IHF_IclR	murD//dgcZ//nrfA//
ArcA_CRP_DcuR	galE//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ppiA//
ArcA_CRP_DnaA_FNR	tauD//
ArcA_CRP_DpiA_FNR_NarL	paaH//accC//lyxK//
ArcA_CRP_DpiA_FlhDC	moaE//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	dadX//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	prmC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	garK//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	ynfE//hypB//mazG//accB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	puuE//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	glcE//
ArcA_CRP_FNR_IHF_NarL	xylA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	yqjH//
ArcA_CRP_FadR_HipB	edd//
ArcA_CRP_FadR_OmpR_PhoP	mdh//
ArcA_CRP_Fis_Mlc_SoxS	sucA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	malY//lsrK//astC//
ArcA_CRP_GlpR	deoA//
