# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	glgC//relA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	glpC//glyA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	sodA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	mdh//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	sdhD//gabD//
AdiY_H-NS_IHF	paaH//
AgaR_CRP	dmsC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	nagB//udp//
AraC_CRP	galE//fau//nirB//melA//cysG//
AraC_CRP_XylR	gcvH//xylB//
AraC_NagC	
ArcA_BetI_Cra	entE//ftnA//moeA//
ArcA_CRP_CaiF_FNR_H-NS	guaB//uxaA//fabA//truB//glpB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	hycD//relA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	murQ//napG//sdhB//folA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	nagB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	prpE//hycG//acnA//
ArcA_CRP_Cra_Fis	tdcG//
ArcA_CRP_Cra_IHF_IclR	paaA//pck//glgC//
ArcA_CRP_DcuR	ilvG_1//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	relA//
ArcA_CRP_DnaA_FNR	ilvE//
ArcA_CRP_DpiA_FNR_NarL	frdB//metE//dadX//
ArcA_CRP_DpiA_FlhDC	murQ//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	moaD//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	murF//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	malP//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	galE//aspA//aldA//ssuD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hyaB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	argG//
ArcA_CRP_FNR_IHF_NarL	tam//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	glpB//
ArcA_CRP_FadR_HipB	glpA//
ArcA_CRP_FadR_OmpR_PhoP	paaG//
ArcA_CRP_Fis_Mlc_SoxS	nagB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	idnD//nanA//sdhD//
ArcA_CRP_GlpR	fucU//
