# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	dusB//carA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	glgC//citX//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	astE//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gltA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	garL//entB//
AdiY_H-NS_IHF	gnd//
AgaR_CRP	glnA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	puuD//sodA//
AraC_CRP	nrdE//recF//mhpF//pgaD//mdh//
AraC_CRP_XylR	rimK//sdhC//
AraC_NagC	
ArcA_BetI_Cra	glgC//citG//paaG//
ArcA_CRP_CaiF_FNR_H-NS	cdd//atoA//murD//garL//araD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	nrfA//lacZ//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ilvH//entB//glpA//pgk//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	nirB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gcvH//poxB//citE//
ArcA_CRP_Cra_Fis	mraY//
ArcA_CRP_Cra_IHF_IclR	dadX//dsdA//moaE//
ArcA_CRP_DcuR	gloA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	serC//
ArcA_CRP_DnaA_FNR	hycE//
ArcA_CRP_DpiA_FNR_NarL	ilvH//ilvI//yiaK//
ArcA_CRP_DpiA_FlhDC	nrdE//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	betB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	napH//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	guaA//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	citF//puuE//prpE//aroG//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	puuD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	entC//
ArcA_CRP_FNR_IHF_NarL	sdhD//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	purN//
ArcA_CRP_FadR_HipB	nrdA//
ArcA_CRP_FadR_OmpR_PhoP	rutD//
ArcA_CRP_Fis_Mlc_SoxS	guaB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	ubiC//uxaA//nanA//
ArcA_CRP_GlpR	ynfE//
