# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	acs//ilvD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	tauD//codA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	prpB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gatZ//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	caiA//puuC//
AdiY_H-NS_IHF	cysH//
AgaR_CRP	gltB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	garL//lpxA//
AraC_CRP	aroL//nanK//uxaA//ynfE//rimK//
AraC_CRP_XylR	narG//entB//
AraC_NagC	
ArcA_BetI_Cra	fadJ//gcd//moeB//
ArcA_CRP_CaiF_FNR_H-NS	katE//rhaD//tnaA//murF//malP//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	rhaB//deoC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	mdh//accB//pgk//puuE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fumB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	lsrF//ssuE//uxaA//
ArcA_CRP_Cra_Fis	ilvD//
ArcA_CRP_Cra_IHF_IclR	acs//citF//nrdB//
ArcA_CRP_DcuR	srlD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	puuB//
ArcA_CRP_DnaA_FNR	malY//
ArcA_CRP_DpiA_FNR_NarL	dgcZ//paaB//galK//
ArcA_CRP_DpiA_FlhDC	paaB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	purH//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	glcE//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	murF//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	fabB//aceF//galT//frdC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	malS//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	tdcB//
ArcA_CRP_FNR_IHF_NarL	entE//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	napC//
ArcA_CRP_FadR_HipB	sdhD//
ArcA_CRP_FadR_OmpR_PhoP	gadA//
ArcA_CRP_Fis_Mlc_SoxS	dadX//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	fumB//folA//sdhB//
ArcA_CRP_GlpR	hyaA//
