# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	lsrK//pgaC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	metK//dmsA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	guaA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ppiA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	citC//hemA//
AdiY_H-NS_IHF	ilvI//
AgaR_CRP	xylB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	paaK//aceA//
AraC_CRP	waaH//ynfE//araD//hyaC//garR//
AraC_CRP_XylR	murG//mtlD//
AraC_NagC	
ArcA_BetI_Cra	caiD//galM//hyaC//
ArcA_CRP_CaiF_FNR_H-NS	citC//ogt//kbaZ//tdcB//argD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	accB//acnA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	chbF//sodA//cysJ//citD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	lyxK//
ArcA_CRP_Cra_FNR_NsrR_PdhR	fes//icd//waaZ//
ArcA_CRP_Cra_Fis	astD//
ArcA_CRP_Cra_IHF_IclR	tam//hyaC//astB//
ArcA_CRP_DcuR	aroA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	pyrC//
ArcA_CRP_DnaA_FNR	pnp//
ArcA_CRP_DpiA_FNR_NarL	gdhA//pgaC//mhpB//
ArcA_CRP_DpiA_FlhDC	torA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	ndh//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	aspC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	nrfB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	lsrK//acnB//pncB//citE//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	rnpB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	dusB//
ArcA_CRP_FNR_IHF_NarL	tam//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	puuE//
ArcA_CRP_FadR_HipB	udp//
ArcA_CRP_FadR_OmpR_PhoP	mhpC//
ArcA_CRP_Fis_Mlc_SoxS	tam//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	dadA//zwf//purD//
ArcA_CRP_GlpR	nrfA//
