# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	narG//malP//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	gltD//ynfF//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	uxuB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	waaH//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	uxaB//mhpC//
AdiY_H-NS_IHF	murF//
AgaR_CRP	dmsA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	prpD//lysA//
AraC_CRP	hemA//napC//ddlB//hycG//fadE//
AraC_CRP_XylR	astB//gadB//
AraC_NagC	
ArcA_BetI_Cra	aspC//glpC//fadI//
ArcA_CRP_CaiF_FNR_H-NS	mpl//nrdF//dmsA//lpxC//glcB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	nanM//torA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	lysA//pnp//hyaA//napH//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	relA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	astE//acnA//entE//
ArcA_CRP_Cra_Fis	dadX//
ArcA_CRP_Cra_IHF_IclR	ynfG//pspE//lldD//
ArcA_CRP_DcuR	rbsD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	tam//
ArcA_CRP_DnaA_FNR	ynfE//
ArcA_CRP_DpiA_FNR_NarL	napA//paaG//sdhA//
ArcA_CRP_DpiA_FlhDC	ogt//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	chbF//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	paaG//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	cysJ//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	argG//rnpB//uvrA//accC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	nirD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	murQ//
ArcA_CRP_FNR_IHF_NarL	tam//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	ansB//
ArcA_CRP_FadR_HipB	nfsB//
ArcA_CRP_FadR_OmpR_PhoP	ynfH//
ArcA_CRP_Fis_Mlc_SoxS	mdh//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	acnB//ilvD//ahpC//
ArcA_CRP_GlpR	frdC//
