# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	hyaB//gltB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	galE//ddlB//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	ubiA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	atoD//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	glgP//glpA//
AdiY_H-NS_IHF	murQ//
AgaR_CRP	ogt//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	hycB//citF//
AraC_CRP	mazG//gapA//hycG//gltD//hcp//
AraC_CRP_XylR	nanM//mhpB//
AraC_NagC	
ArcA_BetI_Cra	atoD//lldD//nanA//
ArcA_CRP_CaiF_FNR_H-NS	entH//uxuB//astB//guaB//hycF//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	paaZ//ulaE//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	ogt//rimK//galM//gabD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ndh//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gatY//uidA//gnd//
ArcA_CRP_Cra_Fis	acs//
ArcA_CRP_Cra_IHF_IclR	gutQ//caiC//lpxC//
ArcA_CRP_DcuR	nfsB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	gltD//
ArcA_CRP_DnaA_FNR	rbsK//
ArcA_CRP_DpiA_FNR_NarL	hypB//murD//sucB//
ArcA_CRP_DpiA_FlhDC	nanE//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	glpA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	nanK//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	tdcB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	nanA//narH//glpC//fes//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	astD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	astB//
ArcA_CRP_FNR_IHF_NarL	nrdE//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	gcvT//
ArcA_CRP_FadR_HipB	fadI//
ArcA_CRP_FadR_OmpR_PhoP	ynfF//
ArcA_CRP_Fis_Mlc_SoxS	paaJ//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	dadX//sucA//nfsA//
ArcA_CRP_GlpR	uidA//
