# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	entA//ilvG_1//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	rutC//malY//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	pgaC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	mhpB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	rhaD//hpt//
AdiY_H-NS_IHF	paaA//
AgaR_CRP	fadJ//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	aceB//napA//
AraC_CRP	paaZ//prpD//ilvA//acnA//hycG//
AraC_CRP_XylR	frdB//mhpD//
AraC_NagC	
ArcA_BetI_Cra	dgcZ//gcvP//dadA//
ArcA_CRP_CaiF_FNR_H-NS	garR//hypB//pgk//citC//sucB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	epd//paaG//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	napG//napH//ulaF//accB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	paaZ//
ArcA_CRP_Cra_FNR_NsrR_PdhR	uxuB//aroA//moeA//
ArcA_CRP_Cra_Fis	adhE//
ArcA_CRP_Cra_IHF_IclR	nanK//glcB//mdh//
ArcA_CRP_DcuR	glgP//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	guaA//
ArcA_CRP_DnaA_FNR	chbF//
ArcA_CRP_DpiA_FNR_NarL	hypB//araB//nrdF//
ArcA_CRP_DpiA_FlhDC	tdcB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	napC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	sufS//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	katE//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	prpC//folA//malS//hyaB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	paaG//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	ilvA//
ArcA_CRP_FNR_IHF_NarL	argG//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	ynfF//
ArcA_CRP_FadR_HipB	nfsA//
ArcA_CRP_FadR_OmpR_PhoP	malQ//
ArcA_CRP_Fis_Mlc_SoxS	frdD//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	tauD//entA//nemA//
ArcA_CRP_GlpR	gabD//
