# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	hmp//fadJ//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	citD//moaD//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	argD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	icd//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	gatZ//astD//
AdiY_H-NS_IHF	rsmH//
AgaR_CRP	gntK//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	idnO//ynfH//
AraC_CRP	rhaA//aspA//deoB//pdeL//glpA//
AraC_CRP_XylR	nemA//entF//
AraC_NagC	
ArcA_BetI_Cra	sgbH//rsmH//araA//
ArcA_CRP_CaiF_FNR_H-NS	pgaD//prpE//melA//uxuB//glcB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	adhE//nanK//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	pncB//adhE//ugpQ//serA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	cdd//
ArcA_CRP_Cra_FNR_NsrR_PdhR	gltB//sgbE//aceF//
ArcA_CRP_Cra_Fis	hyaC//
ArcA_CRP_Cra_IHF_IclR	ilvI//fadA//folA//
ArcA_CRP_DcuR	ppiA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ilvA//
ArcA_CRP_DnaA_FNR	sdhB//
ArcA_CRP_DpiA_FNR_NarL	hypB//rsmH//purM//
ArcA_CRP_DpiA_FlhDC	rutD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	purA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	sucB//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	lpd//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	purA//lsrK//aceF//argG//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	pgk//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	pncB//
ArcA_CRP_FNR_IHF_NarL	mraY//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	lsrG//
ArcA_CRP_FadR_HipB	nagB//
ArcA_CRP_FadR_OmpR_PhoP	citE//
ArcA_CRP_Fis_Mlc_SoxS	idnK//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	hypF//nirB//dgcZ//
ArcA_CRP_GlpR	moeA//
