# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	galT//lysA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	entH//tam//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	gadA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	torC//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	entA//fadJ//
AdiY_H-NS_IHF	sufS//
AgaR_CRP	idnD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	fabA//ilvA//
AraC_CRP	xylA//lacA//astC//tnaA//paaZ//
AraC_CRP_XylR	entC//mhpE//
AraC_NagC	
ArcA_BetI_Cra	entD//ilvG_1//glgP//
ArcA_CRP_CaiF_FNR_H-NS	uxaA//ilvI//rutD//caiB//pgaB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	acnB//mazG//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	paaI//cysI//gloA//caiB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	murG//
ArcA_CRP_Cra_FNR_NsrR_PdhR	nrdA//xylA//gatY//
ArcA_CRP_Cra_Fis	glnA//
ArcA_CRP_Cra_IHF_IclR	sdhC//entE//treC//
ArcA_CRP_DcuR	glcD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	yqjH//
ArcA_CRP_DnaA_FNR	ppiA//
ArcA_CRP_DpiA_FNR_NarL	fucI//galE//paaK//
ArcA_CRP_DpiA_FlhDC	hemA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	nemA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	fucO//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	zwf//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	fumB//fabA//recF//gcvT//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	tdcG//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	recF//
ArcA_CRP_FNR_IHF_NarL	carA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	gdhA//
ArcA_CRP_FadR_HipB	malY//
ArcA_CRP_FadR_OmpR_PhoP	prpC//
ArcA_CRP_Fis_Mlc_SoxS	rhaB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	gcd//sucA//prpD//
ArcA_CRP_GlpR	narH//
