# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	guaB//gabD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	aldA//uxaA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	pck//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	murG//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	napH//cysJ//
AdiY_H-NS_IHF	epd//
AgaR_CRP	fabB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	aceB//yiaK//
AraC_CRP	hmp//rutC//waaH//mnmG//melA//
AraC_CRP_XylR	torA//prpC//
AraC_NagC	
ArcA_BetI_Cra	nrdE//glnA//rsmH//
ArcA_CRP_CaiF_FNR_H-NS	hycC//uxaB//ubiC//fabB//glcE//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	nanA//metB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	mhpE//hemA//araA//torC//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	udp//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ubiC//fadE//narI//
ArcA_CRP_Cra_Fis	fadE//
ArcA_CRP_Cra_IHF_IclR	fabZ//rhaB//gatD//
ArcA_CRP_DcuR	rutE//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	mpl//
ArcA_CRP_DnaA_FNR	araA//
ArcA_CRP_DpiA_FNR_NarL	ldtB//pnp//paaG//
ArcA_CRP_DpiA_FlhDC	glpA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	udp//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	paaF//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	kbaZ//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	xylB//malP//fabZ//galK//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hyaB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	aceE//
ArcA_CRP_FNR_IHF_NarL	purD//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	paaB//
ArcA_CRP_FadR_HipB	prpB//
ArcA_CRP_FadR_OmpR_PhoP	napG//
ArcA_CRP_Fis_Mlc_SoxS	cadA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	paaI//cysM//zwf//
ArcA_CRP_GlpR	ackA//
