# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	napH//araD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	pgk//chbF//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	recF//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	glcB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ilvI//glcB//
AdiY_H-NS_IHF	accB//
AgaR_CRP	napG//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	pdeL//putA//
AraC_CRP	gadA//hyaB//fabA//paaI//nrfC//
AraC_CRP_XylR	gcvT//nrfD//
AraC_NagC	
ArcA_BetI_Cra	dmsC//ilvI//fabZ//
ArcA_CRP_CaiF_FNR_H-NS	astD//zwf//prpC//prmC//astB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	deoD//fdhF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	gatY//nagA//fumA//ftnA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	araD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	deoD//gloA//serC//
ArcA_CRP_Cra_Fis	sucB//
ArcA_CRP_Cra_IHF_IclR	glgA//gltA//hyaC//
ArcA_CRP_DcuR	ahpC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	nrfC//
ArcA_CRP_DnaA_FNR	torC//
ArcA_CRP_DpiA_FNR_NarL	hycC//carA//metE//
ArcA_CRP_DpiA_FlhDC	murG//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	mhpE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	yqjH//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	nrfA//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	murQ//aspC//rhaD//chbF//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ilvG_1//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	yqjH//
ArcA_CRP_FNR_IHF_NarL	lhgO//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	serA//
ArcA_CRP_FadR_HipB	cysI//
ArcA_CRP_FadR_OmpR_PhoP	frdC//
ArcA_CRP_Fis_Mlc_SoxS	ubiC//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	purH//waaY//rutB//
ArcA_CRP_GlpR	citF//
