# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	xylA//lpxC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	fucU//lsrG//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	accC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	gcvH//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ssuD//lsrK//
AdiY_H-NS_IHF	dsdA//
AgaR_CRP	katE//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	entF//ubiA//
AraC_CRP	nfsB//torC//tdcE//nfsA//puuE//
AraC_CRP_XylR	gntK//pgaD//
AraC_NagC	
ArcA_BetI_Cra	acs//argG//aldB//
ArcA_CRP_CaiF_FNR_H-NS	napB//tdcG//cdd//relA//relA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	aspA//chbF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	glpD//cysH//lsrF//pdeR//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ftnA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	puuB//hycG//katE//
ArcA_CRP_Cra_Fis	chbG//
ArcA_CRP_Cra_IHF_IclR	malP//garL//galT//
ArcA_CRP_DcuR	gcvH//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	glpQ//
ArcA_CRP_DnaA_FNR	paaB//
ArcA_CRP_DpiA_FNR_NarL	idnK//cysI//gdhA//
ArcA_CRP_DpiA_FlhDC	gdhA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	waaH//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	prmC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	glpD//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	eda//nrdB//lpxC//guaB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	mnmG//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	epd//
ArcA_CRP_FNR_IHF_NarL	murQ//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	mtlD//
ArcA_CRP_FadR_HipB	ugpQ//
ArcA_CRP_FadR_OmpR_PhoP	dusB//
ArcA_CRP_Fis_Mlc_SoxS	putA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	frdC//gcvH//mdh//
