# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	icd//caiB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	yqjH//lsrK//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	glpA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	sdhC//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	mtlD//icd//
AdiY_H-NS_IHF	rutD//
AgaR_CRP	galE//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	frdA//gloA//
AraC_CRP	idnD//gatZ//glgC//mhpD//fadA//
AraC_CRP_XylR	purA//sucB//
AraC_NagC	
ArcA_BetI_Cra	folA//purN//lpxA//
ArcA_CRP_CaiF_FNR_H-NS	gcd//fau//hcp//recF//rnpB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	adhE//metK//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	nrdD//treC//gcvT//pncB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	ansB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	entH//malY//fabZ//
ArcA_CRP_Cra_Fis	nrfD//
ArcA_CRP_Cra_IHF_IclR	dsdA//nrfC//ftsI//
ArcA_CRP_DcuR	rnpB//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	glcB//
ArcA_CRP_DnaA_FNR	nrdB//
ArcA_CRP_DpiA_FNR_NarL	dsdA//cysI//sodA//
ArcA_CRP_DpiA_FlhDC	purH//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	idnK//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	betB//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	aroG//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	citG//lpxA//hycG//sucB//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	dsdA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	ugpQ//
ArcA_CRP_FNR_IHF_NarL	galT//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	ascB//
ArcA_CRP_FadR_HipB	narI//
ArcA_CRP_FadR_OmpR_PhoP	pck//
ArcA_CRP_Fis_Mlc_SoxS	kbaZ//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	chbF//lsrG//glpX//
ArcA_CRP_GlpR	carB//
