# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ftnA//puuE//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	entD//mhpF//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	relA//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	nrdE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	nanE//poxB//
AdiY_H-NS_IHF	tam//
AgaR_CRP	moeA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	sdhC//tdcB//
AraC_CRP	puuE//atoA//acnA//aroG//glpQ//
AraC_CRP_XylR	paaB//paaZ//
AraC_NagC	
ArcA_BetI_Cra	astE//moeA//napB//
ArcA_CRP_CaiF_FNR_H-NS	ndh//gntK//pdeL//poxB//puuE//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	guaA//kbaZ//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	fumB//paaE//ulaD//carB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	glgA//
ArcA_CRP_Cra_FNR_NsrR_PdhR	paaE//caiC//rutE//
ArcA_CRP_Cra_Fis	sodA//
ArcA_CRP_Cra_IHF_IclR	fadH//katE//metK//
ArcA_CRP_DcuR	yqjH//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	guaA//
ArcA_CRP_DnaA_FNR	murE//
ArcA_CRP_DpiA_FNR_NarL	xylA//mtlD//moeB//
ArcA_CRP_DpiA_FlhDC	lldD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	narG//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	nrfC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	malS//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	murF//rhaD//katE//ppiA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	rutA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	paaK//
ArcA_CRP_FNR_IHF_NarL	moaD//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	napB//
ArcA_CRP_FadR_HipB	uxaC//
ArcA_CRP_FadR_OmpR_PhoP	murG//
ArcA_CRP_Fis_Mlc_SoxS	sdhA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	rbsD//gltD//yqjH//
ArcA_CRP_GlpR	lsrG//
