# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	uxuB//katE//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	sdhC//srlD//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	mtlD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	carB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	adiA//galK//
AdiY_H-NS_IHF	glpC//
AgaR_CRP	puuD//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	tauD//pgaD//
AraC_CRP	lpxA//uxuA//gcvH//puuB//feaB//
AraC_CRP_XylR	guaA//tnaA//
AraC_NagC	
ArcA_BetI_Cra	fadD//gabT//rbsK//
ArcA_CRP_CaiF_FNR_H-NS	dadA//chbG//ilvI//guaB//entB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	caiC//glpA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	purA//ugpQ//katE//gatD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fdhF//
ArcA_CRP_Cra_FNR_NsrR_PdhR	puuB//galE//araD//
ArcA_CRP_Cra_Fis	hypF//
ArcA_CRP_Cra_IHF_IclR	purD//ilvD//metL//
ArcA_CRP_DcuR	mnmG//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	gadB//
ArcA_CRP_DnaA_FNR	deoC//
ArcA_CRP_DpiA_FNR_NarL	malQ//citF//melA//
ArcA_CRP_DpiA_FlhDC	glcB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	citE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	puuC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	sdhB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	lsrK//pspE//paaE//lpxC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	gadB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	chbG//
ArcA_CRP_FNR_IHF_NarL	hycG//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	waaZ//
ArcA_CRP_FadR_HipB	pspE//
ArcA_CRP_FadR_OmpR_PhoP	glpQ//
ArcA_CRP_Fis_Mlc_SoxS	sgbE//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	nanA//ilvM//frdC//
