# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	hyaC//ndh//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ilvG_2//xylB//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	hycG//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	fbaA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	prpC//caiD//
AdiY_H-NS_IHF	accB//
AgaR_CRP	pnp//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	rutA//hypF//
AraC_CRP	lacZ//nfsA//lyxK//gltA//edd//
AraC_CRP_XylR	nirD//moaD//
AraC_NagC	
ArcA_BetI_Cra	pck//paaH//tnaA//
ArcA_CRP_CaiF_FNR_H-NS	umpH//citD//rutC//murC//deoC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	prpE//fadH//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	nrdD//glpA//rutE//ilvE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	glcE//
ArcA_CRP_Cra_FNR_NsrR_PdhR	ahpC//ssuE//lpd//
ArcA_CRP_Cra_Fis	murG//
ArcA_CRP_Cra_IHF_IclR	tdcE//fabZ//pdeR//
ArcA_CRP_DcuR	glpQ//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	dmsB//
ArcA_CRP_DnaA_FNR	citX//
ArcA_CRP_DpiA_FNR_NarL	gatZ//fucO//icd//
ArcA_CRP_DpiA_FlhDC	eda//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	acnB//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	nrdB//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	ahpC//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	icd//glpK//icd//puuC//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	hycC//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	idnK//
ArcA_CRP_FNR_IHF_NarL	nfsA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	sdhA//
ArcA_CRP_FadR_HipB	pflB//
ArcA_CRP_FadR_OmpR_PhoP	aspC//
ArcA_CRP_Fis_Mlc_SoxS	kbaZ//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	deoC//mhpE//uxaC//
