# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	lsrG//recF//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	napH//mhpE//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	puuE//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	hycE//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	cdd//sufS//
AdiY_H-NS_IHF	paaB//
AgaR_CRP	frdB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	atoA//deoA//
AraC_CRP	ynfH//purM//paaG//prpD//ahpF//
AraC_CRP_XylR	caiB//atoB//
AraC_NagC	
ArcA_BetI_Cra	moeA//caiB//narG//
ArcA_CRP_CaiF_FNR_H-NS	pck//aspC//mhpF//aceF//rsmH//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	nagB//codA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	caiA//tnaA//fbaA//astE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fadH//
ArcA_CRP_Cra_FNR_NsrR_PdhR	nrdF//srlD//sgbH//
ArcA_CRP_Cra_Fis	ssuD//
ArcA_CRP_Cra_IHF_IclR	sdhC//tdcB//fucI//
ArcA_CRP_DcuR	prpD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	hpt//
ArcA_CRP_DnaA_FNR	lsrF//
ArcA_CRP_DpiA_FNR_NarL	tdcG//murQ//appA//
ArcA_CRP_DpiA_FlhDC	argD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	moaE//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	nrdA//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	aroG//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	rhaD//dsdA//ssuE//ackA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	fucA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	sucB//
ArcA_CRP_FNR_IHF_NarL	pck//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	relA//
ArcA_CRP_FadR_HipB	ilvE//
ArcA_CRP_FadR_OmpR_PhoP	epd//
ArcA_CRP_Fis_Mlc_SoxS	carB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	frdD//fadJ//fabA//
ArcA_CRP_GlpR	ubiA//
