# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	aroL//gcd//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ssuE//ulaG//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	entE//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	narI//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	moaA//mhpF//
AdiY_H-NS_IHF	ubiA//
AgaR_CRP	nanM//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	purH//caiD//
AraC_CRP	betB//chbG//mraY//pncB//yqjH//
AraC_CRP_XylR	tdcG//uxaC//
AraC_NagC	
ArcA_BetI_Cra	fucA//nirD//pspE//
ArcA_CRP_CaiF_FNR_H-NS	cysM//nrdB//ogt//katE//chbF//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	mdh//deoD//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	aceF//uxuA//hypF//deoA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	cdd//
ArcA_CRP_Cra_FNR_NsrR_PdhR	pspE//gadA//rutA//
ArcA_CRP_Cra_Fis	hycE//
ArcA_CRP_Cra_IHF_IclR	rutC//nrdF//dmsA//
ArcA_CRP_DcuR	entF//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	narH//
ArcA_CRP_DnaA_FNR	ilvM//
ArcA_CRP_DpiA_FNR_NarL	serA//sucB//citG//
ArcA_CRP_DpiA_FlhDC	glyA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	nrfD//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	puuD//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	fadJ//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	rutA//idnO//aldB//uxaA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	ilvH//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	pgk//
ArcA_CRP_FNR_IHF_NarL	hyaB//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	ilvH//
ArcA_CRP_FadR_HipB	paaC//
ArcA_CRP_FadR_OmpR_PhoP	lpxC//
ArcA_CRP_Fis_Mlc_SoxS	ilvE//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	chbF//nirB//cysH//
