# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	accB//gadA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	mraY//narH//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	gatD//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	glpC//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	ilvD//paaE//
AdiY_H-NS_IHF	fabB//
AgaR_CRP	mnmG//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	ilvD//nrdA//
AraC_CRP	ubiC//torC//fadI//glcD//narI//
AraC_CRP_XylR	argG//nanA//
AraC_NagC	
ArcA_BetI_Cra	fumB//guaB//pdeL//
ArcA_CRP_CaiF_FNR_H-NS	aspA//chbF//hyaA//pspE//waaY//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	nrfD//poxB//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	gcd//appA//dmsB//tdcB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	dmsC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	malY//fdhF//ssuD//
ArcA_CRP_Cra_Fis	recF//
ArcA_CRP_Cra_IHF_IclR	glcE//hmp//caiD//
ArcA_CRP_DcuR	caiA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	nrdA//
ArcA_CRP_DnaA_FNR	fadE//
ArcA_CRP_DpiA_FNR_NarL	paaA//murD//prpE//
ArcA_CRP_DpiA_FlhDC	hemL//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	paaZ//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	puuE//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	adiA//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	prpB//napG//nrfA//waaZ//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	argD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	astA//
ArcA_CRP_FNR_IHF_NarL	hemL//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	cyoE//
ArcA_CRP_FadR_HipB	galE//
ArcA_CRP_FadR_OmpR_PhoP	metL//
ArcA_CRP_Fis_Mlc_SoxS	aceB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	nrdE//glcB//ulaD//
ArcA_CRP_GlpR	sucD//
