# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	murF//murQ//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	fadB//galT//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	eda//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	rhaA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	napH//carA//
AdiY_H-NS_IHF	ubiC//
AgaR_CRP	tnaA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	pgaC//idnK//
AraC_CRP	prpC//murC//zwf//fabA//adhE//
AraC_CRP_XylR	hemL//rhaD//
AraC_NagC	
ArcA_BetI_Cra	araA//mhpE//glpX//
ArcA_CRP_CaiF_FNR_H-NS	dusB//rhaD//kbaZ//atoD//glpC//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	uxuA//cdd//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	nfsA//guaB//caiC//ppiA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	araD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	entD//malQ//fumB//
ArcA_CRP_Cra_Fis	gapA//
ArcA_CRP_Cra_IHF_IclR	katG//glpA//rutB//
ArcA_CRP_DcuR	tdcG//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	mtlD//
ArcA_CRP_DnaA_FNR	pyrD//
ArcA_CRP_DpiA_FNR_NarL	gltA//ynfG//dsdA//
ArcA_CRP_DpiA_FlhDC	treC//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	sgbU//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	dmsC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	fabA//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	nrfA//frdC//hycG//murG//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	purA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	purN//
ArcA_CRP_FNR_IHF_NarL	glcE//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	caiB//
ArcA_CRP_FadR_HipB	tdcD//
ArcA_CRP_FadR_OmpR_PhoP	tam//
ArcA_CRP_Fis_Mlc_SoxS	fadJ//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	uxuB//ulaF//fabZ//
ArcA_CRP_GlpR	napC//
