# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	yqjH//citC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	carB//malS//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	fadH//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	nagB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	gadB//pgaB//
AdiY_H-NS_IHF	edd//
AgaR_CRP	sdhC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	serC//hycF//
AraC_CRP	ascB//gntK//gutQ//ynfG//udp//
AraC_CRP_XylR	waaH//ubiC//
AraC_NagC	
ArcA_BetI_Cra	paaI//murF//mazG//
ArcA_CRP_CaiF_FNR_H-NS	uidA//ulaD//rbsD//gltD//lacA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	ilvA//napA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	prpB//prpC//murF//rbsK//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	sdhB//
ArcA_CRP_Cra_FNR_NsrR_PdhR	deoC//sucA//glpC//
ArcA_CRP_Cra_Fis	pck//
ArcA_CRP_Cra_IHF_IclR	waaY//lhgO//pgaD//
ArcA_CRP_DcuR	nagA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	mtlD//
ArcA_CRP_DnaA_FNR	aceE//
ArcA_CRP_DpiA_FNR_NarL	pdeL//gltD//lsrF//
ArcA_CRP_DpiA_FlhDC	ynfE//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	nrfA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	fabA//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	citF//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	mnmG//cysG//araD//nfsA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	aceF//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	glpB//
ArcA_CRP_FNR_IHF_NarL	dmsA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	purM//
ArcA_CRP_FadR_HipB	murF//
ArcA_CRP_FadR_OmpR_PhoP	entC//
ArcA_CRP_Fis_Mlc_SoxS	lsrF//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	sucA//lacZ//aceA//
ArcA_CRP_GlpR	ilvE//
