# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ynfH//serA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	gabT//tauD//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	fucI//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	betA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	acs//argD//
AdiY_H-NS_IHF	uxuB//
AgaR_CRP	hyaB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	dmsB//tdcE//
AraC_CRP	napA//chbG//pdeR//gatD//hmp//
AraC_CRP_XylR	ppiA//aroA//
AraC_NagC	
ArcA_BetI_Cra	tauD//glpQ//deoC//
ArcA_CRP_CaiF_FNR_H-NS	hyaA//glgP//narH//ubiC//argG//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	glcE//ahpF//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	araB//sdhD//sdhC//puuE//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gcvH//
ArcA_CRP_Cra_FNR_NsrR_PdhR	aceF//nanK//nirD//
ArcA_CRP_Cra_Fis	puuE//
ArcA_CRP_Cra_IHF_IclR	rutB//nirD//sgbE//
ArcA_CRP_DcuR	ssuD//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ynfE//
ArcA_CRP_DnaA_FNR	mazG//
ArcA_CRP_DpiA_FNR_NarL	xylB//nagA//glnA//
ArcA_CRP_DpiA_FlhDC	purA//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	treC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	narG//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	mpl//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	chbG//entC//nfsA//astD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	lpxD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	malY//
ArcA_CRP_FNR_IHF_NarL	hyaA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	fucK//
ArcA_CRP_FadR_HipB	tdcG//
ArcA_CRP_FadR_OmpR_PhoP	sucC//
ArcA_CRP_Fis_Mlc_SoxS	hyaB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	ilvM//epd//hycC//
