# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	adhE//fucK//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	mpl//astE//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	fucI//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	acnA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	patA//dmsB//
AdiY_H-NS_IHF	uxuA//
AgaR_CRP	treC//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	pgaD//fadB//
AraC_CRP	narH//aspC//glcB//guaB//lacA//
AraC_CRP_XylR	gadA//glcF//
AraC_NagC	
ArcA_BetI_Cra	glgA//puuE//dadX//
ArcA_CRP_CaiF_FNR_H-NS	pdeR//feaB//sgbH//deoC//ftsI//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	nrfB//pgaC//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	rhaD//guaA//lldD//murD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	puuC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	entA//mhpF//kbaZ//
ArcA_CRP_Cra_Fis	paaI//
ArcA_CRP_Cra_IHF_IclR	gatY//gcd//cysM//
ArcA_CRP_DcuR	pgaC//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	ackA//
ArcA_CRP_DnaA_FNR	ynfF//
ArcA_CRP_DpiA_FNR_NarL	purN//mraY//gntK//
ArcA_CRP_DpiA_FlhDC	carB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	hycD//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	accB//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	fucA//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	pgaC//gcvH//moaE//narG//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	purD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	mazG//
ArcA_CRP_FNR_IHF_NarL	moeA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	mhpF//
ArcA_CRP_FadR_HipB	narG//
ArcA_CRP_FadR_OmpR_PhoP	citF//
ArcA_CRP_Fis_Mlc_SoxS	poxB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	mnmG//ndh//hpt//
ArcA_CRP_GlpR	nagB//
