# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	idnO//hyaB//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	nfsA//betA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	fumC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	waaH//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	dmsB//rsmH//
AdiY_H-NS_IHF	tdcG//
AgaR_CRP	betA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	aceE//srlD//
AraC_CRP	uxaA//aroA//paaH//purA//folA//
AraC_CRP_XylR	glcF//caiB//
AraC_NagC	
ArcA_BetI_Cra	purD//sufS//gatZ//
ArcA_CRP_CaiF_FNR_H-NS	moaE//puuD//fucO//purA//nfsB//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	glyA//ftnA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	dmsB//fucU//gatZ//hyaB//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	fes//
ArcA_CRP_Cra_FNR_NsrR_PdhR	astB//mhpE//dmsB//
ArcA_CRP_Cra_Fis	ilvA//
ArcA_CRP_Cra_IHF_IclR	gadB//fadB//cysH//
ArcA_CRP_DcuR	gcvH//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	fadE//
ArcA_CRP_DnaA_FNR	rutE//
ArcA_CRP_DpiA_FNR_NarL	ynfE//gabT//nirB//
ArcA_CRP_DpiA_FlhDC	purM//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	ftsI//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	lpxC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	entB//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	lacA//pnp//citX//napG//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	pgaD//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	waaH//
ArcA_CRP_FNR_IHF_NarL	hmp//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	garK//
ArcA_CRP_FadR_HipB	glpK//
ArcA_CRP_FadR_OmpR_PhoP	acnA//
ArcA_CRP_Fis_Mlc_SoxS	deoA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	moeB//melA//ahpC//
ArcA_CRP_GlpR	ftnA//
