# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	nrfB//deoD//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	glyA//rhaB//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	entC//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	araA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	glcB//frdA//
AdiY_H-NS_IHF	dusB//
AgaR_CRP	fadA//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	aldB//waaY//
AraC_CRP	atoA//citC//purM//galT//purA//
AraC_CRP_XylR	frdA//epd//
AraC_NagC	
ArcA_BetI_Cra	nrdA//icd//cdd//
ArcA_CRP_CaiF_FNR_H-NS	nrdB//frdB//adhE//betB//tdcG//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	caiD//sodA//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	putA//cysG//nrdF//nrdD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	gabD//
ArcA_CRP_Cra_FNR_NsrR_PdhR	deoC//ldtB//aldA//
ArcA_CRP_Cra_Fis	fabA//
ArcA_CRP_Cra_IHF_IclR	aldB//citG//deoB//
ArcA_CRP_DcuR	lhgO//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	rutC//
ArcA_CRP_DnaA_FNR	ilvH//
ArcA_CRP_DpiA_FNR_NarL	ilvM//mraY//waaH//
ArcA_CRP_DpiA_FlhDC	poxB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	puuC//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	dadX//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	narG//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	aceA//serC//gntK//glpK//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	mhpB//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	icd//
ArcA_CRP_FNR_IHF_NarL	deoA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	paaH//
ArcA_CRP_FadR_HipB	araB//
ArcA_CRP_FadR_OmpR_PhoP	gcvH//
ArcA_CRP_Fis_Mlc_SoxS	ubiC//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	ynfF//aceB//nirD//
ArcA_CRP_GlpR	appA//
