# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	malS//glgC//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	nrdF//ackA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	fadJ//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	tdcB//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	paaI//ilvI//
AdiY_H-NS_IHF	lsrK//
AgaR_CRP	acnB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	deoB//ynfG//
AraC_CRP	gatZ//glcF//dadX//gabT//cadA//
AraC_CRP_XylR	fdhF//glpQ//
AraC_NagC	
ArcA_BetI_Cra	patA//hcp//fadI//
ArcA_CRP_CaiF_FNR_H-NS	moaE//fbaA//nemA//dmsC//glpA//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	entA//rutD//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	nagB//betB//gabD//ftnA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	garR//
ArcA_CRP_Cra_FNR_NsrR_PdhR	astA//lysA//tam//
ArcA_CRP_Cra_Fis	gatZ//
ArcA_CRP_Cra_IHF_IclR	citF//pspE//prpB//
ArcA_CRP_DcuR	mpl//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	fabZ//
ArcA_CRP_DnaA_FNR	sufS//
ArcA_CRP_DpiA_FNR_NarL	rbsK//hycC//cysH//
ArcA_CRP_DpiA_FlhDC	garK//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	serA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	paaF//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	ilvD//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	gatD//citC//rhaA//gatD//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	uxuA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	cysG//
ArcA_CRP_FNR_IHF_NarL	nrdE//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	araA//
ArcA_CRP_FadR_HipB	nanA//
ArcA_CRP_FadR_OmpR_PhoP	fau//
ArcA_CRP_Fis_Mlc_SoxS	feaB//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	nrdB//fadB//mtlD//
ArcA_CRP_GlpR	nrfC//
