# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	galK//fadH//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	sucC//glyA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	ansB//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	hycC//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	tdcD//accC//
AdiY_H-NS_IHF	narG//
AgaR_CRP	galT//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	rutE//nfsB//
AraC_CRP	sdhC//dadX//frdD//idnD//citD//
AraC_CRP_XylR	idnO//deoA//
AraC_NagC	
ArcA_BetI_Cra	fucO//sdhC//accB//
ArcA_CRP_CaiF_FNR_H-NS	fabA//cysI//gatZ//lsrK//argG//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	cysI//gatD//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	mhpD//gabD//ilvM//mtlD//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	hypF//
ArcA_CRP_Cra_FNR_NsrR_PdhR	uxaB//garK//sucA//
ArcA_CRP_Cra_Fis	galT//
ArcA_CRP_Cra_IHF_IclR	paaI//garL//melA//
ArcA_CRP_DcuR	melA//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	serA//
ArcA_CRP_DnaA_FNR	cysJ//
ArcA_CRP_DpiA_FNR_NarL	umpH//nfsA//paaC//
ArcA_CRP_DpiA_FlhDC	entB//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	ynfG//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	galK//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	argG//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	recF//rbsK//fau//uvrA//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	citF//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	metE//
ArcA_CRP_FNR_IHF_NarL	appA//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	galT//
ArcA_CRP_FadR_HipB	acnA//
ArcA_CRP_FadR_OmpR_PhoP	fabZ//
ArcA_CRP_Fis_Mlc_SoxS	nfsA//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	waaY//aroL//galT//
ArcA_CRP_GlpR	puuE//
