# From /Users/Daniela/Documents/CCG/codigos_random/random_regulons_same_enzymes.pl on Fri Jun  1 12:58:09 2018 using: /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/total_enzymes.txt
# /Users/Daniela/Documents/CCG/GU_art_2/connectivity/real_complex/random_sets/real_complex_enzymes.txt
AccB_FadR	ilvG_2//caiA//
AcrR_CRP_CpxR_Cra_Fis_MarA_MarR_Rob_SoxS	
AcrR_CRP_FliZ_Fur_H-NS_HdfR_IHF_LrhA_MatA_OmpR_QseB_RcsAB_YjjQ	
AcrR_EnvR_MarA_MprA_PhoP_Rob_SoxS	ulaF//adiA//
AcrR_FNR_Fur_SoxR	
AcrR_FNR_Fur_SoxR_SoxS	
AcrR_H-NS_HU_IHF_Lrp_MarA_OmpR_Rob_SoxS	
Ada_AidB_Lrp	lpd//
AdiY_ArcA_CRP_FNR_Fis_GadE-RcsB_GadW_GadX_H-NS_RcsB_TorR	ilvA//
AdiY_ArcA_CRP_FNR_Fis_GadE_GadE-RcsB_GadW_GadX_H-NS_PhoB_RcsB_RutR_TorR	
AdiY_ArgR_CRP_FNR_Fur_GadE_HdfR_IHF_Lrp_Nac	
AdiY_CRP_Fis_FliZ_GadE_GadW_GadX_RcsB	frdB//sodB//
AdiY_H-NS_IHF	codA//
AgaR_CRP	hypB//
AppY_ArcA_Fis_IscR_NarL_NarP_YdeO	
AppY_ArcA_YdeO	ynfF//aceB//
AraC_CRP	sgbE//aroA//paaB//hycE//ndh//
AraC_CRP_XylR	ilvI//purH//
AraC_NagC	
ArcA_BetI_Cra	fadI//katE//ugpQ//
ArcA_CRP_CaiF_FNR_H-NS	pdeL//ynfE//hycE//ilvH//srlD//
ArcA_CRP_Cra_CusR_FNR_Fis_Fur_GadE_PdhR_YedW	gutQ//metE//
ArcA_CRP_Cra_FNR_Fis_Fur_PdhR	lpd//aspC//ubiA//aspA//
ArcA_CRP_Cra_FNR_MarA_Rob_SoxS	prmC//
ArcA_CRP_Cra_FNR_NsrR_PdhR	lldD//fumB//mhpF//
ArcA_CRP_Cra_Fis	ftsI//
ArcA_CRP_Cra_IHF_IclR	galE//glgA//lsrG//
ArcA_CRP_DcuR	purH//
ArcA_CRP_DcuR_DpiA_FNR_NarL	
ArcA_CRP_DcuR_FNR_Fis_Fur_NarL	yqjH//
ArcA_CRP_DnaA_FNR	gnd//
ArcA_CRP_DpiA_FNR_NarL	guaA//murG//fumA//
ArcA_CRP_DpiA_FlhDC	gltD//
ArcA_CRP_EvgA_FliZ_GadE_GadW_GadX_H-NS_PhoP_YdeO	
ArcA_CRP_FNR	purA//
ArcA_CRP_FNR_Fis_FlhDC_GlpR	murC//
ArcA_CRP_FNR_Fis_Fur_PdhR	
ArcA_CRP_FNR_Fis_IHF_NarL	acnA//
ArcA_CRP_FNR_Fur	
ArcA_CRP_FNR_Fur_IHF	glpA//entD//lsrF//ulaG//
ArcA_CRP_FNR_Fur_IHF_MarA_Rob_SoxS	gadA//
ArcA_CRP_FNR_Fur_MarA_Rob_SoxR_SoxS	hmp//
ArcA_CRP_FNR_IHF_NarL	lldD//
ArcA_CRP_FNR_NarL	
ArcA_CRP_FadR	ubiC//
ArcA_CRP_FadR_HipB	glpQ//
ArcA_CRP_FadR_OmpR_PhoP	guaA//
ArcA_CRP_Fis_Mlc_SoxS	cysG//
ArcA_CRP_Fis_XylR	
ArcA_CRP_Fur_GadX_MqsA	
ArcA_CRP_GatR	gcd//ogt//adhE//
