#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	tehB//
Ada	ada//paaY//psiF//
AgaR	umuD//obgE//mipA//ychH//ilvC//pheU//rpmI//
AlaS	yhdX//
AllR	fepC//ydfD//arsR//yhdX//sbmA//sxy//fecI//preT//dinG//
AllS	alaC//fruA//dsbA//
AlsR	mcaS//flgH//ydeA//dinG//ivbL//ymjC//
ArcA	ppdA//yoaC//
ArgP	polA//speA//patD//
ArgR	kdpB//metF//tehA//wecB//flgL//ydeA//mscM//grpE//argA//ubiG//znuA//pfkA//dinQ//agaS//
ArsR	pgpC//kbaY//bcsZ//
AscG	dinQ//
AsnC	alsA//
BasR	ybhF//
BirA	murR//phnM//yneM//yhfA//gfcA//
BluR	sfsB//argW//rof//mipA//
BolA	kbp//lysU//
CRP	sdaA//ampD//ppdC//hofN//rmf//ydeA//ybbY//kdpA//cpdB//leuQ//yhhY//recC//livM//pnuC//argT//hflX//pitB//argC//rmf//bioA//agaI//gpmM//allS//phnH//uidR//pepT//pgpC//hofB//recD//fadM//dinD//ibpB//ldtC//phnO//htpG//mprA//pgi//phnP//rffT//yfdE//dinF//bdm//agaS//mngR//cheA//ykgO//apaH//thrU//yqjA//livG//fliD//metF//cheB//livM//flgA//yeaH//yciX//ttdT//ybbW//flgB//ydeA//hisR//mhpT//phnL//recB//glxR//cpxP//yebE//
CdaR	rpmA//wzzE//arcZ//oxyS//yhdW//
CecR	gudD//mipA//cpdB//hofM//ydcS//
CpxR	gcvB//murR//folE//flu//wecB//cheW//nlpE//cyaA//yibQ//yojI//cpdB//dkgA//hchA//wecC//tyrU//yiiS//nlpE//ybhS//rybA//upp//valT//tap//pitA//hflD//ihfB//ydcS//aspV//talA//csrB//mcbA//alsC//ppsA//
Cra	ddpF//cbpA//thiQ//dsbA//pitA//argA//yciX//mprA//hofP//kdpF//mepH//gltX//rof//yaeQ//argB//
CreB	gcl//
CsgD	ymjD//hisR//hdfR//iraP//mgtL//phnG//pgi//dhaM//rpiR//
CueR	dapB//hcaE//
CynR	cysK//phoR//cysE//mlrA//
CysB	potH//bioD//grxA//ycjY//argH//fliS//rpsU//pfkA//dinQ//bioF//
Dan	fabI//apaG//pgm//dsrA//
DhaR	hflD//recC//hflC//fhuC//
DicA	ynjI//ecpA//lon//ygbK//glpR//recA//phnG//ycjY//
DnaA	hchA//fabH//
