#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	rpmI//
Ada	emrB//tyrB//ddpF//
AgaR	cecR//osmB//yafP//leuT//yhdZ//preT//agaI//
AlaS	pepT//
AllR	rpsF//argC//mcaS//yidQ//pheT//ydfW//cecR//phnL//mcaS//
AllS	sbcD//yaiW//insD//
AlsR	patZ//phnJ//valX//artQ//ttdA//rdoA//
ArcA	kbp//exbB//
ArgP	argH//ompX//phnF//
ArgR	cheA//fadM//trpE//cecR//pdeH//bdm//ycgR//topA//dapD//wzc//rmf//fadM//dinD//ribA//
ArsR	potG//uraA//trpB//
AscG	ydfH//
AsnC	yqhG//
BasR	hyi//
BirA	kdpF//glpR//yegZ//fliL//alkA//
BluR	ybaT//dinF//wrbA//ycgR//
BolA	leuL//mlrA//
CRP	symE//ppdA//fhuD//ydiV//gpmM//htpG//decR//leuL//metJ//dsbC//msrA//tyrU//alkB//bdm//arfB//metA//ymjD//yjjZ//xdhC//phnO//alkB//speA//hofM//crl//livM//fnrS//agaI//ychO//valY//hflK//rpsF//ynjI//rplS//murI//insD//symE//tehB//murR//tyrT//pheV//potH//rutR//dhaL//wzyE//fepD//nimT//tyrT//xdhC//trpE//artI//ydcV//ydfD//dinD//asnA//argE//ribA//mgtA//rffC//rybA//rpiB//hokE//lysR//lolA//sroA//agp//hcaD//mzrA//bioA//
CdaR	talA//sutR//ysgA//leuW//flgI//
CecR	spf//wecB//wecE//artP//sroA//
CpxR	proM//purK//ydcU//zntA//efeU_1//htpG//mukB//ubiG//ybhR//ycjY//yjhB//gltK//leuV//livF//rplI//mprA//trmD//sdaA//dnaG//glyU//bioA//yjeV//flgG//yadV//fhuD//ampE//rutR//tyrA//leuP//dinQ//nlpA//leuW//
Cra	livG//wzc//ybhF//ybbW//metT//ftsK//yhjX//argT//hcaB//tyrU//fldA//mepH//ycjY//ruvA//rimM//
CreB	aroF//
CsgD	thiP//oxyS//rpsR//arcA//bcsZ//ptrA//glxK//kdpB//upp//
CueR	fadM//argH//
CynR	rclA//ppdB//mukE//psd//
CysB	fabH//ycjF//ruvA//ampD//ynjI//hisR//patZ//ydcS//mgtA//sroA//
Dan	mqsA//mpaA//hchA//pitB//
DhaR	yeaE//purK//cynT//hcaB//
DicA	agaC//yhbE//pspF//rpsF//ymiA//ybhL//dgcC//amn//
DnaA	metA//fliS//
EvgA	trpD//aaeR//gltK//gudX//artJ//efeU_1//hofP//
FNR	yqhD//rof//livH//ompA//gpmA//creA//nohA//rpmI//argF//apaH//dhaR//omrA//ydbD//cyaA//glnV//arsC//ung//gfcA//fepG//mngB//valU//fliM//borD//gltX//bioF//glnW//gfcA//
FadR	phnE_1//bioF//malZ//patZ//btuB//phoR//ynbB//cynT//
FeaR	msrA//
Fis	grxD//yhfA//phnO//pfkA//flgG//yaeQ//ybbW//phnG//cra//mgtL//ibpB//aaeR//treR//omrA//hemH//yeaG//argU//uspD//aspV//ygaC//rarA//wza//creC//aroH//ybjG//avtA//glgS//metC//metA//ampC//entS//purB//yidL//sbcD//prs//ygaC//rybB//tbpA//dgkA//dicB//ymjD//exbB//purB//yhbS//ppc//fecI//sfsA//rcsD//phoH//ykiA//secB//ompX//cvpA//lysU//hfq//umuC//
FlhDC	fecR//trxC//ttdA//ychH//lon//ampD//leuD//msrA//cyaA//wzxE//folE//ycjX//fliL//yjhC//tyrA//rimM//valX//upp//wcaA//ychO//mngA//ymgA//yhdW//ppc//oxyS//aaeR//phnN//wzc//wecC//ynjI//uvrD//ydbK//mukE//pdxA//yaeQ//ilvB//dicB//tpiA//
FliZ	yfiB//
Fur	sgrR//rffC//nimR//ilvB//cysD//yqjA//artP//gyrB//fliR//rpsR//glgB//yqjA//exbB//cdaR//yfdX//decR//yjjZ//ftnB//ddpX//leuE//leuC//argE//mukB//raiA//
GadX	exbD//ydiU//tyrT//grxA//dgkA//mprA//yciW//
GcvA	phnI//cynR//
H-NS	patD//pdxA//flgK//ycgZ//hdfR//artQ//glgB//bcsB//garD//cbpA//treR//psiF//hcaD//tehA//
HU	fhuE//fruB//
HcaR	oxc//glgB//yjhC//ydeA//aaeA//ymiA//
IHF	yqhD//iraP//sroA//murI//leuP//cdaR//gltJ//
IlvY	ppdA//rpsP//
IscR	gltX//yafN//cysE//livF//wrbA//obgE//ychO//pykF//
KdpE	rdoA//exbD//nadB//ruvB//
LeuO	glnU//dgkA//argB//phnE_2//ompT//azuC//
LexA	serT//rpmI//dhaL//cheB//ycjX//dkgB//ychH//yfbR//isrC//gudP//potF//cecR//creC//ldtC//rarA//tyrT//murI//dhaK//alaW//glnX//dinD//ydbD//hflD//tonB//garD//yhjC//cynX//kdpB//ydbK//omrB//polA//gltX//cpxR//azuC//tufB//tyrU//umuC//
LrhA	hcaB//
Lrp	dinD//gltJ//fecR//gudD//glnW//ppdA//cyaA//fruA//bluF//fliT//ubiX//ddpB//trxC//glmS//
LysR	seqA//
MalT	yccA//
MarA	phoB//fnrS//
MatA	purE//purC//
McbR	yhjC//
MetJ	hisR//ompA//glnV//iraP//metU//
MlrA	yhbE//argF//yccA//kdpB//argW//
MngR	mzrA//recB//yqaE//
MntR	slyB//yhhY//
MprA	fhuC//trxA//ariR//
MqsA	oxyS//rpiR//
MurR	flgL//
Nac	omrA//rplU//ompX//yiiS//ybaT//
NadR	aroF//ubiG//lysT//
NagC	bacA//gltL//ppiD//iscA//mngR//
NanR	dgcC//rplU//
NimR	hdfR//rclC//
NsrR	wzb//dhaL//iscA//paaY//efeU_2//pepA//yjhB//phnC//cpxR//rffC//torR//ddpF//dgkA//umuD//yqhG//dapB//yfdE//hflC//avtA//phnE_1//dicC//lolA//dhaK//purC//valX//cheR//pheT//alaW//dapD//queA//
NtrC	mukB//alsB//valY//amn//cynX//yfiB//tisB//ygiZ//dinG//obgE//cysE//efeU_2//fliO//ydeJ//ddpA//iscU//phoR//
OmpR	dacC//phnO//tehB//glnU//
OxyR	argW//hofP//recN//decR//hyi//yiiS//recX//proM//phnP//
PaaX	tdh//ykgM//
PepA	hokE//
PgrR	yhdZ//cpxP//thiQ//dnaG//osmB//ldtD//pnuC//
PhoB	rplU//mhpT//cho//yciX//yadV//ybhF//flgF//ysgA//phoH//ddpX//rutR//agaI//pfkA//proM//potI//decR//flu//yidQ//rsmA//ydfE//yaiW//cpxQ//yeiP//ychH//phnM//kbp//tehA//crl//ydcT//recC//glmS//
PhoP	ydbD//hemF//ybhF//iraP//rmf//yeaD//alsB//nadB//leuV//fecI//bdm//mukE//dsbA//sroC//alaA//aaeA//
PspF	cheW//
PurR	spf//yccA//fliM//ecnB//cheW//flgA//ilvC//fnrS//yfbR//ilvY//uvrB//gspA//phnF//
RbsR	uspD//
RcdA	cheR//bacA//uspB//
RclR	tyrA//wzc//phnI//
RcnR	ydjM//
RcsAB	insK//ydcU//mukE//glnV//rimM//
RcsB	mepH//yfdV//ribA//ryhB//
RcsB-BglJ	yhbE//accD//decR//gpsA//glyU//yhbT//lysU//yjhC//trmA//pitA//yhdZ//
Rob	alaC//
RutR	gltX//
SdiA	ampE//
SgrR	comR//gudD//artM//tyrT//hemF//gcvB//
SoxS	glyT//rstA//argH//ilvC//entS//preT//
SutR	wza//mipA//
TorR	htpG//
TrpR	recA//dkgB//tadA//purB//arcA//rof//ddpB//phr//
TyrR	leuC//yibQ//purK//
UidR	glnX//
UvrY	mhpR//tonB//
XapR	arsR//rybB//
YdeO	ruvB//argH//
YjjQ	entS//fliQ//ppsA//malZ//ydiV//phnH//glpG//
YpdB	pdxA//
YqhC	alaA//rfe//
ZntR	bdcA//
ZraR	ppsA//
Zur	pgpC//ompN//phnE_1//hchA//hofN//
