#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	gudD//
Ada	xapA//ddpD//mukB//
AgaR	argF//cysK//rclB//ppdC//lysU//murI//livG//
AlaS	alaA//
AllR	cheY//obgE//potG//priB//purE//leuT//phnE_1//rcnR//adeD//
AllS	htrE//ychO//ykiA//
AlsR	alkB//pgi//sgrR//lrhA//ykiA//kdpA//
ArcA	argU//glpE//
ArgP	erpA//cheW//msrA//
ArgR	preA//ttdT//ttdT//argE//metF//yaiW//glnW//bcsB//aaeB//dinF//fecI//dicB//yeaE//uidR//
ArsR	dicB//grxA//cecR//
AscG	yibQ//
AsnC	flu//
BasR	nadB//
BirA	yhbS//pheS//alkB//purE//mukE//
BluR	phnP//rffC//ybfE//topA//
BolA	cyaA//yeaG//
CRP	rclA//hofB//tsgA//amn//mhpR//glpR//comR//intQ//ynbC//polB//cysD//yccJ//priB//dnaG//rpoD//recA//yagK//phoR//livM//psiF//erpA//mgrR//bcsZ//alaW//pdeF//treR//yeaG//htrE//psiF//valT//cra//nohA//ttdB//flhB//xdhC//glnW//artP//fbaB//rplS//tar//mlrA//ydbD//leuW//ibaG//yidL//yccA//obgE//fbaB//fliT//purL//yhdZ//pheU//murR//agaS//phr//ppdC//bioA//glk//flgB//ruvB//creB//glnX//dapB//ydbD//metU//purL//fliD//yfdV//
CdaR	pykF//yhbT//btuB//yafN//psiF//
CecR	yojI//mcbA//dapB//fepD//argH//
CpxR	lysO//topA//pfkA//fhuD//nlpA//fabG//fliR//ung//glpR//alkA//mgtL//ybhS//mcaS//pheV//hemH//flgG//argT//ychF//tpr//polB//tbpA//hofM//htpG//gfcA//polA//ryhB//rffC//yjhB//dicC//kdpC//polA//ybjG//
Cra	ybhL//dsrA//sbcC//wzb//nlpE//recB//cpxQ//yjhC//ihfB//potG//livF//pepA//flgL//pgpC//cvpA//
CreB	ibaG//
