#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	mhpT//
Ada	hdfR//tyrA//bdm//
AgaR	flgA//gudX//sutR//rpsP//trpC//phoP//mepH//
AlaS	symE//
AllR	tktB//oxyS//hofB//aspV//pgpC//mlrA//yfdV//garD//fliN//
AllS	yegR//mukE//fliS//
AlsR	yegZ//sbmA//aaeR//fruB//phnP//trmD//
ArcA	rcsD//nlpA//
ArgP	yhjC//fadM//argH//
ArgR	ysgA//mpaA//rybA//ybfE//uvrB//hslJ//alsB//hemH//htrE//dkgA//grxD//lacI//yidQ//recN//
ArsR	phnF//aaeX//ynbA//
AscG	gcl//
AsnC	nohA//
BasR	isrC//
BirA	kbp//hflD//dsbG//mqsR//tadA//
BluR	hcaB//hflX//pheT//cbpM//
BolA	yojI//glyT//
CRP	leuL//thrT//rcsB//rpmA//cynX//yfdE//ymjC//umuC//hcaE//yeaH//osmB//metF//yafO//rdoA//phnO//phoP//ybbW//ygiZ//flgD//gltK//metC//iraP//ttdT//trmD//ubiG//leuE//mepH//creB//tehA//cbpM//ybhR//metJ//alsC//cvpA//alsE//hchA//ynjI//argH//allS//nadC//ybaS//creA//dsbC//gspA//phnG//spf//ydfX//phnI//cpxP//accD//kbp//zraP//wzyE//tktB//trmD//phnF//fepD//flgF//mepH//gspB//treR//alsA//dsbG//phnM//dsrA//rof//flgJ//creB//
CdaR	kdpF//artP//recX//ynbB//rcnR//
CecR	trpR//ydiV//livG//ilvB//rpsR//
CpxR	rpsR//pgpC//hofP//prs//hofO//topA//ampE//aaeR//artJ//lrhA//znuC//yncE//arfB//livJ//pheV//phnP//mntS//cheW//yecT//mgrR//phnE_1//valX//leuW//flgJ//rclA//dinF//ubiX//motA//yhdW//wecC//ynbA//allD//
Cra	hcaF//preA//eno//eno//phnM//yccJ//yqjA//lacI//xdhB//isrC//serT//ydjM//fruB//valX//gor//
CreB	flgC//
CsgD	yjeV//zraP//flgG//mpaA//queA//purE//yafN//ychH//dsrA//
CueR	agp//leuA//
CynR	ilvN//umuD//flgD//creB//
CysB	serX//yneM//ygaC//preT//hfq//add//oxc//ycgR//speA//rpsR//
Dan	gltL//yncE//arsC//uvrD//
DhaR	yeaH//zntA//rpiB//aaeB//
DicA	ttdR//trmA//bioF//gltL//wcaB//phnP//exbD//argA//
DnaA	ydcU//ymjD//
EvgA	hofN//gudX//cra//ydcU//dhaM//rpiB//argT//
FNR	dacC//allD//wecB//erpA//raiA//ecpA//dinG//gpsA//dicB//glk//wzb//kdpF//ompT//ynjI//ygdB//treR//dinF//cysN//wza//mpaA//tyrB//wzxE//thrU//purE//purF//cueO//trpA//
FadR	rybA//nimT//phnF//ycjY//ydfE//ychO//argF//rof//
FeaR	ycgZ//
Fis	dinD//ariR//ribA//iscR//comR//pdeF//sroA//queA//kdpB//pepA//yaiW//trpL//lysV//ddpC//ompN//ynjI//flgL//ydfE//ruvB//ubiX//rclB//slt//alkA//leuC//lysT//yeiP//cysN//gltL//creC//ynbD//ykgR//mngB//insK//flgJ//trpC//iraD//purF//spf//cynT//hslJ//ydeJ//kbl//glnW//dhaM//ydfW//grxD//gcl//ftsK//pdeF//fliL//wecC//rpsF//mzrA//dinB//ttdT//nimT//
FlhDC	umuC//cheW//hofM//motA//allE//yiiS//rimM//trpC//ygeH//nohA//rffG//ppdB//ycjF//rffH//yaiW//manA//gudX//seqA//pepT//ynbC//seqA//phnM//tap//cheA//cpdB//gor//trxA//ymiA//pheT//aaeX//argT//argX//phnF//phnD//accA//torR//priB//argF//
FliZ	iraD//
Fur	phnH//cheY//yaeP//ariR//iscA//agaC//cpdB//gfcA//pgi//aaeB//hflX//paaX//mukF//hofC//fliN//rnlB//recN//trmA//ybhL//argX//hofP//aroH//ybhR//recA//
GadX	yiiS//gudX//leuP//ykgM//ryhB//trpB//comR//
GcvA	pdeH//fepC//
H-NS	wzb//yfiB//dinG//fliP//talA//recN//fecR//ydfX//flgB//alsE//pepT//ychF//trpA//umuC//
HU	glnU//aroF//
HcaR	csrB//hflX//cra//artM//erpA//ddpC//
IHF	hcaE//lacI//leuV//nohA//trpC//wecC//ompA//
IlvY	agp//rffH//
IscR	uspD//flgL//uspE//leuQ//asnB//valT//rclA//livF//
KdpE	mukE//lysW//artM//cheY//
LeuO	chiA//chiA//xdhA//lexA//flgH//rimM//
LexA	cdaR//ddpC//rclB//thrS//ycjX//yebE//trpA//thiQ//ppc//metJ//glyU//cvpA//hemH//yadV//wecE//cpxQ//pdeH//yncE//ubiX//wecE//tyrB//ydbD//cmoM//gudD//ddpC//slyB//sohB//rpoD//thrT//pgm//hofM//yccT//mgrB//flgI//yqjA//mscM//argI//
LrhA	decR//
Lrp	copA//ydeJ//ddpB//rcsD//ygiZ//iraD//seqA//iscA//tar//rstB//fabG//yeaG//bioA//dtpA//
LysR	gudP//
MalT	obgE//
MarA	leuA//cdaR//
MatA	metT//polA//
McbR	rimM//
MetJ	manA//mgrR//agaI//fabI//tktB//
MlrA	ppsA//msrA//flgH//trpD//gltX//
MngR	cpdB//torR//arsR//
MntR	yeiB//yncE//
MprA	cpxA//yciX//xseA//
MqsA	metJ//rsmA//
MurR	ygiZ//
Nac	glnB//ubiG//leuE//dtpA//ecnB//
NadR	ychO//ymgA//mukF//
NagC	ompN//nlpA//znuB//gltK//ivbL//
NanR	ycjX//patD//
NimR	rarA//hcaB//
NsrR	kdpB//torR//rcsB//accA//dtpA//metC//purC//tbpA//cpxA//yjhB//ydbD//ymjD//pepA//ydfW//mukB//fliM//alaW//uraA//rutR//ybhR//lysT//valT//ydfX//gor//ycgZ//cpxQ//rnlA//flgA//glnB//trpD//
NtrC	ppdD//argA//ddpD//ygdB//mepH//lolA//envC//mqsA//argB//comR//fhuE//glpG//argB//gspB//flgJ//gpsA//ydcU//
OmpR	yqjA//dinF//potH//rmf//
OxyR	aaeA//hokE//nadB//pdxA//rsmA//rpoD//umuC//flhB//trpE//
PaaX	ycjY//ydiV//
PepA	ybbW//
PgrR	metU//nlpA//ychO//yjhC//potH//polA//potF//
PhoB	fliN//ydfH//fhuB//trpD//argU//thrW//livG//efeU_2//cpdB//phnO//ydfW//wza//preT//cdaR//leuW//aroF//yhbT//slyB//yhbS//oxc//rpsF//phoR//leuE//glpE//leuW//phnO//fabH//fruK//asnB//alaW//dhaK//
PhoP	dksA//xseA//nadC//prs//umuC//arsR//yncE//tyrA//rplS//mntS//rpsP//argU//cysD//lexA//alaC//mcbA//
PspF	ydcU//
PurR	proK//patD//iraP//tsgA//efeU_1//znuC//yeiP//serX//artM//nohA//yfbR//gudX//tehA//
RbsR	agaR//
RcdA	rpsR//artM//infC//
RclR	cysC//rpsU//hflD//
RcnR	gudD//
RcsAB	ddpC//cyaA//alaX//motB//yneM//
RcsB	mhpR//grxA//pspF//exbB//
RcsB-BglJ	ydcU//alaW//grxD//fliD//ddpA//kdpF//trpE//ada//fecI//hokE//dapD//
Rob	metA//
RutR	flu//
SdiA	phnI//
SgrR	oxc//pepT//pheS//ompA//gltL//ykiA//
SoxS	yebG//flgL//dsbC//ykgO//talA//hflK//
SutR	ydeI//yccT//
TorR	rcsB//
TrpR	glk//ydcU//psiF//ydfX//ygdB//ubiG//leuW//ddpX//
TyrR	polA//tufB//mhpR//
UidR	insK//
UvrY	glgX//cbpM//
XapR	phnN//uraA//
YdeO	mqsA//ilvY//
YjjQ	fadM//yhjX//xseA//nimR//leuD//flgJ//spf//
YpdB	yebE//
YqhC	gpsA//proL//
ZntR	slyB//
ZraR	ecnB//
Zur	mcbA//yfdE//purF//ompA//agaR//
