#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	hflK//
Ada	hcaC//glpR//trxC//
AgaR	metJ//ybhL//xdhC//ynbC//recX//fbaB//xdhB//
AlaS	ftnB//
AllR	speA//leuW//ybbW//rpoD//valY//kdpA//gcvB//kbl//ryhB//
AllS	ymjC//dgkA//trmA//
AlsR	dinB//ivbL//ppdD//asnA//purC//yeiB//
ArcA	aspV//glmS//
ArgP	ddpX//valU//eno//
ArgR	artQ//rstA//pgi//avtA//garD//hokE//rnlB//wcaB//glnX//hfq//iscR//glnV//ybaT//ibaG//
ArsR	mntS//artP//trpA//
AscG	ydfX//
AsnC	crl//
BasR	ydiU//
BirA	ynjI//livM//narQ//speA//hisR//
BluR	livM//dinF//wzb//tyrT//
BolA	tynA//yccA//
CRP	yfbR//glk//secB//yhhY//polA//yidQ//accA//ariR//argH//hemH//lysV//mprA//speA//cra//trmD//nlpE//fbaB//tisB//ymjD//yccJ//glmU//alaC//rutR//phnJ//yccT//fliD//ddpB//cmoM//gspA//mgtL//yeaE//kdpA//bioF//znuB//ihfB//yeaH//sfsB//hchA//paaY//ychF//phr//paaX//phnN//dsbC//ldtD//mcbA//cpdB//tadA//leuA//pheV//rarA//rclB//hcaC//grxD//leuL//tehA//gudD//lon//iscU//xapA//phnN//accA//alaX//ttdA//tbpA//thrW//ecpA//pgpC//
CdaR	yibQ//livH//ynbD//gudX//ydiV//
CecR	raiA//mepH//mgrR//malZ//decR//
CpxR	fadR//trpC//ydjM//cheZ//fldB//fhuA//dhaL//asnA//hofO//potF//agaR//speA//znuC//yhbS//ygeH//lolA//hofM//argU//add//kdpB//serT//hofP//allC//glyT//leuE//ilvN//yegZ//metT//artQ//arcZ//trpL//xapB//
Cra	pepT//trpR//symE//phnK//preT//ung//dinB//rpmA//psiF//dinB//ymgA//cstA//kbaY//rffT//cho//
CreB	azuC//
CsgD	slt//dgcC//sroA//bioB//recD//trpR//recD//yfdE//ydfH//
CueR	cysD//flhE//
CynR	fbaB//wzzE//hcaD//sfsA//
CysB	wzb//ydcT//alkB//fliL//ynbD//tfaQ//lysC//ynjI//agaD//yhdY//
Dan	tpr//glmU//ycjY//cpxA//
DhaR	lon//leuT//argH//cynT//
DicA	fliL//flgL//fliQ//efeU_1//argI//agp//ddpF//phoP//
DnaA	wzc//yccT//
EvgA	alaX//yhbS//trpD//cynT//osmB//tap//xdhC//
FNR	yqhD//fhuB//hofC//tyrT//gor//allC//azuC//queA//argW//ydfE//yoaC//artJ//yjeV//oxyS//phnH//avtA//creC//mgrR//wecC//phoB//arsC//ysgA//creA//fabG//ycgR//purE//flgE//
FadR	hofN//rybA//cynT//valX//yojI//fruA//yhdX//ydbK//
FeaR	rffM//
Fis	osmB//ppc//oxyS//adiY//grxD//thrT//ynbC//uraA//emrB//lysW//tcyP//ynjI//dtpA//valU//potH//cysN//sbcC//sbcD//phnF//hflK//argC//trpA//frc//ymgA//speB//queA//fbaB//ung//leuX//dksA//ydbK//pitB//agaC//ydbK//glnV//accA//dinF//slt//ydbD//fabD//cueO//uspE//lysT//mukF//rpmA//artJ//livH//yegR//alaX//ydfE//garD//folE//ung//yfiR//fliQ//ybhL//
FlhDC	phnE_2//rclB//htpG//hflX//tyrV//creA//cpxQ//allB//uraA//leuE//pdxA//tadA//fecR//lysU//exbB//oxc//hofN//thrT//hemF//phnM//cynT//kbaY//yhfA//cheZ//ykgM//ilvB//accA//ydiU//potG//yecT//yncE//tpiA//arsR//creC//bioF//yiiS//ryhB//intQ//
FliZ	wzxE//
Fur	hcaE//psd//tehA//gltI//lysW//cynS//chiA//pykF//mukE//rpmA//mngB//sbcC//ygeH//ddpD//mgtA//ybbY//argE//cecR//hflX//wrbA//tar//tcyP//motB//hisR//
GadX	cysK//ysgA//gpmM//yidQ//iraD//yciX//fliO//
GcvA	apaH//trpR//
H-NS	argI//fhuB//acrR//sfsA//yaeP//arsB//glpG//metC//yoaC//pheS//metA//luxS//yqaE//cysC//
HU	motA//entS//
HcaR	mgtL//polA//dacC//rpsF//ung//pspF//
IHF	flhA//tyrV//hflK//cpxA//ilvN//wcaB//iraP//
IlvY	htpG//yfdE//
IscR	ycjY//mukF//xdhA//xdhB//apaG//ycjF//asnB//xdhB//
KdpE	yegH//leuE//cysC//lysC//
LeuO	alsA//rffH//rimM//cecR//ydeJ//livG//
LexA	wzxE//ynjI//yjjZ//upp//rnlA//ydfW//pepA//tsgA//nlpE//gpmA//alsA//alkB//ynbC//rpiB//kbaY//alkB//intQ//speB//rfe//htpG//pheV//hcaB//phnE_1//potH//valY//torR//xdhB//accD//umuC//kdpC//ybhS//rplS//intQ//ampC//ycjX//fecR//isrC//
LrhA	ddpF//
Lrp	gltI//leuA//ubiG//trmA//murR//hofP//fadM//fruA//uspD//thrU//dinF//tisB//hcaE//ycjY//
LysR	proK//
MalT	bcsB//
MarA	glyU//yjjZ//
MatA	hcaF//hofC//
McbR	tsr//
MetJ	artI//mlrA//allE//xseA//flxA//
MlrA	rpoD//aaeR//fhuE//ybjG//exbB//
MngR	livF//ppiD//agaB//
MntR	yidL//livF//
MprA	fecI//dicB//ymgA//
MqsA	leuW//proK//
MurR	cysK//
Nac	polB//ykgM//trmA//cbpM//valU//
NadR	hflC//yibQ//tsr//
NagC	recD//trpD//nadC//glyU//motB//
NanR	thrU//cysN//
NimR	ppdD//phr//
NsrR	add//sfsB//dinG//lysO//rfe//cpxA//yegH//yeaD//ybaS//argW//fliP//ttdT//uvrB//uspD//ybaS//ymgA//glnX//pykF//tynA//ruvB//potI//yafO//priB//uspD//flgH//xseA//allA//rnlA//grxD//thrS//
NtrC	yciW//creA//alaC//agp//gltL//mhpR//fliN//fepG//ynbC//pgpC//obgE//yhhY//pdeH//rpmA//rcsD//livM//ung//
OmpR	apaH//pepD//phnE_1//ycgZ//
OxyR	creA//upp//metF//yjhC//rfe//potG//metJ//fliM//acrR//
PaaX	fhuA//argF//
PepA	entS//
PgrR	dsrA//yoaC//mipA//hofP//gltX//hcaD//nadC//
PhoB	yhjX//cecR//frc//phoE//serX//phnE_2//yebE//livG//ybhG//bcsZ//kdpC//htpG//pheV//ydbD//lolA//ldtC//csrB//ydeJ//cysE//hfq//pnuC//glpR//rclA//metT//ydcV//dsrA//frc//yaeQ//exbD//hcaE//exbB//
PhoP	ybbY//sxy//cvpA//yccA//leuE//leuL//metJ//ydeA//ynbB//dgcC//cra//cecR//agaS//sxy//grpE//gltK//
PspF	isrC//
PurR	hofC//creC//infC//sohB//sutR//psiF//ttdT//glpE//ilvY//glgB//yaiW//yadV//recB//
RbsR	cheR//
RcdA	luxS//ychO//phoH//
RclR	recA//agaD//tfaQ//
RcnR	iscA//
RcsAB	argH//hcaE//mngA//trxA//pitB//
RcsB	ubiG//mltF//creC//fliS//
RcsB-BglJ	kbaY//leuC//hcaE//speB//ompN//rplU//rcnR//borD//fecI//mngB//ibaG//
Rob	preT//
RutR	lysW//
SdiA	gcl//
SgrR	wzzE//tyrV//folE//ykiA//hcaE//intQ//
SoxS	mscM//recA//argR//uvrY//ompN//fldB//
SutR	tcyP//ydeA//
TorR	ribA//
TrpR	aroH//phnE_2//yagK//tyrV//fliR//flhB//tyrB//cysK//
TyrR	fabG//ymgC//yoaC//
UidR	glxK//
UvrY	yjjP//ybhR//
XapR	dnaG//phnG//
YdeO	ycjY//uvrB//
YjjQ	hofM//fliT//nadB//grxD//dhaK//trpA//tsr//
YpdB	obgE//
YqhC	ttdR//allC//
ZntR	ycjX//
ZraR	yjjZ//
Zur	sohB//alaW//valY//dapD//pgi//
