#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	gudX//
Ada	decR//pdeH//polB//
AgaR	ppdB//yoaC//pdxA//yegR//yhdX//phnD//thrT//
AlaS	yciW//
AllR	lysC//bcsZ//yaiW//ydjM//ybhF//flgG//tap//metA//arsC//
AllS	phr//ybhG//motB//
AlsR	thrW//folE//phnI//trpL//cynR//pepD//
ArcA	ydbK//artM//
ArgP	yeaD//ynbB//znuA//
ArgR	ycgZ//uspD//dsrA//wecE//yfbR//queA//hyi//rmf//hflC//phnD//fliM//fliM//ydcT//ompT//
ArsR	ydfX//pgpC//pdxA//
AscG	glgX//
AsnC	uvrY//
BasR	ydfW//
BirA	agaS//luxS//btuB//dgkA//fliL//
BluR	psiF//yhdX//serX//trpC//
BolA	kdpB//lolA//
CRP	yhjX//ybhG//tufB//mukF//allE//tktB//ykgO//potG//grxA//yoaC//livH//tdh//sfsB//fruB//ompX//rfe//pnuC//yebE//mngB//glpG//wecB//yhjC//paaX//yagK//fepC//yeiW//alkA//borD//artM//agaB//ynbA//gspB//rybB//gor//fhuC//ycjY//ydcS//arsC//hofB//dksA//leuP//tadA//pfkA//ydiU//mqsA//glnX//xdhC//ttdR//uspB//phoE//nohA//tbpA//hcaE//recB//cynS//tfaQ//ygiZ//luxS//mgrB//yhdY//recB//ybfE//cysE//dnaG//dsbC//ilvY//cynR//yfdE//
CdaR	fabG//cheY//yhfA//gfcA//purF//
CecR	dgcN//queA//tar//intQ//arsB//
CpxR	fhuD//argU//cbpA//fecI//ubiG//fabG//gltL//fhuB//leuD//tyrU//yeiP//bcsZ//ydeA//purE//purB//cheB//hfq//trpL//flgI//artM//livG//apaG//rpiR//glpR//tynA//fhuA//ynbC//kdpA//dsbA//mukF//nimR//seqA//
Cra	trmA//narQ//tufB//psd//cbpM//yfdE//mngR//yciW//cheY//comR//argF//gudD//ryhB//cbpM//cpdB//
CreB	cstA//
CsgD	dhaK//accA//leuC//alsC//yaiW//fliR//fabI//tar//cynR//
CueR	add//arsC//
CynR	yidL//glxK//mlrA//priB//
CysB	ydjM//serX//argX//borD//asnA//msrA//yqjA//artJ//polA//leuE//
Dan	symE//ppsA//asnA//mcaS//
DhaR	pnuC//tbpA//speA//acrR//
DicA	msrA//flgH//fbaB//amiA//asnA//obgE//tap//phnJ//
DnaA	fhuB//efeU_2//
EvgA	prs//recB//leuV//potG//xapA//omrB//glk//
FNR	comR//umuD//priB//metC//aaeR//ampD//prs//queA//dacC//phnL//mipA//ygaC//phnH//umuC//mgtL//rmf//potI//rimM//cyaA//ydcS//cdaR//ysgA//sfsB//thrS//ygeH//arfB//wzzE//
FadR	tyrA//flgH//ddpF//flgD//cheY//ilvC//ptrA//fhuD//
FeaR	hflK//
Fis	cmoM//yaiW//dsbA//mukE//paaX//thrT//gcvA//emrB//kbaY//yhbS//leuQ//pitB//leuL//thrU//bacA//agaD//dsbA//allB//phnE_2//bioA//phnH//rimM//gyrB//cynS//sgrR//amn//paaY//bioB//dgkA//paaY//bcsZ//rpiB//fabH//gspB//umuC//ecpR//leuA//yfbR//wecB//gltJ//iraP//yciX//mipA//ubiG//rarA//alaW//rybB//motB//cynT//lysU//argE//mngR//livK//spf//flgL//glgX//
FlhDC	lrhA//livM//hcaR//sroC//hflC//apaG//aroH//recX//fecI//dinF//topA//mepH//borD//recX//mcaS//tsgA//ada//thrS//alsE//fabD//rplU//insD//rffC//wrbA//leuQ//bluF//ompT//dtpA//gltK//ycgR//zntA//mqsR//sgrR//iraP//yeaG//yegZ//recA//flhB//
FliZ	kdpB//
Fur	ynbA//flgC//phoR//metU//yeiW//dgcN//serX//purC//yeiB//trpR//lrhA//ddpA//yeaD//fliM//glnU//gfcA//ycgZ//leuB//valU//hisR//trpC//argW//oxc//gltK//
GadX	potG//glgX//cheR//phnL//argU//ttdR//purE//
GcvA	ydfN//intQ//
H-NS	yaeP//wzb//cysE//leuA//artQ//kdpF//rsmA//livJ//ybhR//phr//creB//phnJ//trpE//polB//
HU	phoR//sfsB//
HcaR	msrA//queA//yfdE//gltL//ymiA//alsC//
IHF	exbD//bcsB//tfaQ//glnX//cysK//ynbA//dkgA//
IlvY	tbpA//fliR//
IscR	ycjX//tar//yfiB//yebG//yhfA//ompN//leuP//nimT//
KdpE	arsR//tcyP//yqjA//ycjG//
LeuO	ruvA//phoA//nadB//pheT//cho//lysW//
LexA	crl//fhuB//alsC//fabI//trpD//eno//ybhF//xseA//pheU//omrB//serX//tpr//glyU//mqsR//phnO//mepH//garD//pfkA//csrB//yegR//ppdB//bcsZ//ppdD//fliS//ykgO//rstB//ddpX//phoE//gcl//pdeF//yhbS//ppdD//yhbS//sbmA//fruK//ttdA//fepC//
LrhA	sbcC//
Lrp	mqsR//ydeA//manA//argW//flgF//argF//iscA//rffM//flgA//agaD//aroH//ygiZ//omrB//leuD//
LysR	pheT//
MalT	tehA//
MarA	metJ//fliL//
MatA	fhuC//ppdD//
McbR	chiA//
MetJ	ydcV//mipA//ynbD//ampE//allB//
MlrA	omrB//isrC//amiA//kdpB//ydbK//
MngR	iraP//bioD//yebE//
MntR	pdeF//proL//
MprA	ydfX//recN//kbl//
MqsA	allB//livM//
MurR	tbpA//
Nac	apaH//mpaA//agaR//hofC//ydbK//
NadR	spf//ybhR//phnG//
NagC	cpxA//pitB//mipA//ecpA//prs//
NanR	yjjZ//yfdV//
NimR	rpsR//fruK//
NsrR	tktB//mlrA//leuC//borD//intQ//nlpA//yfdX//flgB//yaiW//rutR//flgI//yfiB//fhuE//fecR//fliR//ubiG//priB//ybbY//cpxR//agaS//arsR//sbcD//proM//rfe//ycjX//fliO//ybfE//ampC//intQ//glnW//
NtrC	cpxQ//luxS//trpE//ftsK//iraD//trpL//treR//tyrB//eno//thrS//ppdA//trpB//yhbE//sroC//rclA//fliT//gspB//
OmpR	sdaA//gfcA//livH//fabD//
OxyR	xapB//proM//znuB//upp//talA//lysR//sbcD//ydcV//recN//
PaaX	yegH//serT//
PepA	allA//
PgrR	lysR//wzb//cecR//recC//aaeR//yeaH//proL//
PhoB	rpiB//dinB//lolA//mlrA//omrA//decR//yncE//aroH//argU//uvrD//fliN//gyrB//cra//dicC//rffG//grxA//rpsU//ibaG//trmA//glnU//fhuE//phnM//phnP//ybbY//ydfD//recC//yjeV//umuC//polB//adiY//livH//
PhoP	flgI//rpsU//bcsZ//tsr//aspV//phoH//kdpC//allE//yegH//trmA//pspF//yhdW//flgJ//ldtC//yeaH//ygdB//
PspF	rffG//
PurR	ybaT//ymjC//phnE_1//upp//leuX//ilvY//tfaQ//hcaR//flu//purF//alaA//livG//cstA//
RbsR	yhdZ//
RcdA	htrE//dsbA//ydcT//
RclR	tyrT//ilvB//fepG//
RcnR	uvrB//
RcsAB	gcvB//xdhA//lacI//purB//dhaM//
RcsB	rstB//kbaY//ibaG//hflK//
RcsB-BglJ	lolA//iraP//ymgA//gpmM//rybB//rnlB//fliM//arsB//pagP//dicC//argH//
Rob	hofC//
RutR	ybbW//
SdiA	kdpB//
SgrR	xdhB//mukE//rffM//ydiV//dacC//yeiP//
SoxS	osmB//ftnB//wzyE//yfiB//grxA//mltF//
SutR	rpsF//hofB//
TorR	allS//
TrpR	wzc//wecC//rpiR//zraP//proM//mngA//luxS//agaD//
TyrR	rpsU//ymjC//alaX//
UidR	pgpC//
UvrY	trpL//bcsZ//
XapR	gyrB//leuP//
YdeO	rclA//exbB//
YjjQ	trpD//allA//ftsK//phnO//sxy//hchA//kdpF//
YpdB	omrA//
YqhC	fnrS//xseA//
ZntR	dtpA//
ZraR	cysC//
Zur	ecpR//cheZ//wza//ynbB//trpE//
