#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	glgX//
Ada	ydjM//lysV//wzc//
AgaR	umuC//ydjM//gltX//yibQ//fabH//phnJ//tonB//
AlaS	ygdB//
AllR	hokE//ddpC//flgG//nadC//leuB//valU//dinB//yjjP//ycgZ//
AllS	pitA//ampD//lacI//
AlsR	cheR//alsC//hflD//rffT//phnK//lysR//
ArcA	ydcS//livF//
ArgP	arcZ//tisB//recN//
ArgR	ldtD//dhaL//treR//nimT//tfaQ//preT//patZ//fhuC//nohA//phoB//ftsK//cyaA//iscR//lysV//
ArsR	uvrD//lysR//accA//
AscG	acrR//
AsnC	bluF//
BasR	nlpE//
BirA	htrE//ppdC//gltI//kbl//fldB//
BluR	metU//spf//priB//cheR//
BolA	tsr//dkgB//
CRP	ykgM//trpD//ompA//thiP//sohB//gspB//ybfE//rof//hofB//potH//cueO//ddpA//trxC//potI//purC//glmU//fepG//ymjD//ygiZ//rplU//glyU//ydcS//wcaA//lysT//gpsA//ppdC//yhbE//dnaG//gspB//pheV//patD//lysO//yebG//pdxA//glk//agaS//sroC//ftnB//yhbT//rpiB//ubiG//dgcC//aaeR//trpR//flgF//alsC//argC//flgJ//dtpA//recN//ampE//yeaH//oxc//ymjC//ddpX//raiA//thrS//hofP//rcsD//psd//phoP//sxy//rstB//agaC//ftnB//xdhA//fliN//yneM//
CdaR	proM//fliD//ubiX//yeaD//wza//
CecR	copA//leuD//kdpC//yqhG//artI//
CpxR	yciX//phnD//fhuA//bcsB//mqsR//ppdD//recX//emrA//hofB//cpxR//ilvC//purF//bdcA//yqhG//glnU//ydfH//uvrC//acrR//sdaA//phnE_1//allE//fepD//fliL//ydfE//flgA//xdhB//hokE//recB//polB//glgX//hflX//recC//
Cra	aspV//wecB//polA//xdhB//alaA//yccA//kdpA//ychF//htpG//patD//yhbS//alsB//artP//dhaM//mngA//
CreB	cheZ//
CsgD	seqA//valT//metA//sroC//purB//dgkA//glnW//argF//fecR//
CueR	erpA//tyrV//
CynR	yhbS//rof//fepG//gspA//
CysB	priB//ykiA//argU//cysE//pgpC//ynbA//garD//allE//glnB//hflC//
Dan	wecB//isrC//fhuD//argH//
DhaR	nimR//ybfE//leuX//yafP//
DicA	exbD//ydcT//cpxP//ydfN//wecB//msrA//yeiP//mscM//
DnaA	ybaS//ilvN//
EvgA	sbcD//rpsP//yhdZ//ddpX//asnB//ibaG//rclC//
FNR	dicC//glnX//motA//yqjA//wcaB//fliT//flgA//aspV//fliQ//exbD//trpD//bdcA//ecpA//accA//ychH//nohA//ynbC//rybA//yfdV//hfq//ycjY//gcl//glnB//flhB//fliS//ydbD//yfdE//
FadR	ivbL//yjjP//allA//ubiX//ttdA//arsB//hcaD//cpxP//
FeaR	yafP//
Fis	bacA//yhbS//dapD//dinG//ilvC//cvpA//kdpC//ykiA//fhuE//arcZ//ppsA//dinD//rffM//tpr//pspF//argE//xdhB//cysD//znuC//ttdR//rclB//rybA//motB//fadM//yccA//gcl//polA//flxA//preT//trpE//yncE//dhaM//yncE//yncE//flu//ppdC//tynA//oxc//rclB//cysC//ttdA//aaeR//argE//arfB//phnN//ttdR//leuB//arcA//yoaC//agaB//symE//agaC//ruvA//bioC//fabI//glpG//
FlhDC	intQ//ykgR//mqsA//lolA//fnrS//dsrA//alkA//znuC//ychF//ptrA//ymiA//ygdB//uraA//fepC//fruA//kbl//yjjZ//ydjM//glxR//rcnR//rffM//ybbY//ttdT//cpxQ//ydeA//fepC//umuD//rffT//ilvN//yidQ//ygbK//proL//yagK//ymgA//pgpC//csrB//ycjG//cynX//
FliZ	livF//
Fur	dinF//flhB//leuE//dksA//glyT//lysO//purF//ilvB//livF//flhE//phnL//apaH//efeU_1//preA//ddpC//agaC//ybbY//livM//uspD//cheR//fabG//valU//cysK//pitB//
GadX	aaeB//yhdZ//yciX//kbl//rplU//ibaG//xdhB//
GcvA	iscS//rcsD//
H-NS	yidQ//cra//iraD//rutR//wcaB//chiA//alsC//mscM//hdfR//recB//ibaG//speB//preA//pspF//
HU	ydfX//sdaA//
HcaR	livG//yfdX//glgX//polB//efeU_1//ruvA//
IHF	oxyS//valU//ddpC//yjhC//flgB//purB//ynbA//
IlvY	ttdT//fepC//
IscR	leuE//alsE//flgL//znuA//rclB//creC//ycgZ//paaY//
KdpE	omrB//pitA//acrR//ilvY//
LeuO	yccA//kbl//spf//uidR//phnF//uspE//
LexA	cpxA//ppiD//mepH//yqaE//dgkA//fruK//recB//glyT//insD//copA//dgcC//dksA//omrB//thrT//ompN//dapD//proK//mgtL//mqsA//exbD//xapB//aroH//ymjC//ysgA//cmoM//leuP//dinQ//cmoM//hflD//ydfW//phoE//rcsB//borD//ydbD//cynX//yaiW//ycgR//
LrhA	mngR//
Lrp	pepT//paaY//allB//mipA//sgrR//tehA//rarA//argI//treR//lysW//flhB//phoP//polB//fhuE//
LysR	mltF//
MalT	gudP//
MarA	tap//nohA//
MatA	pheV//insD//
McbR	yhdX//
MetJ	rplU//uspB//dhaM//allA//purE//
MlrA	ybhL//cpdB//cpdB//ruvA//rcsB//
MngR	yeaE//ychH//thiP//
MntR	mngB//speA//
MprA	speC//omrB//yegH//
MqsA	argE//argA//
MurR	aroF//
Nac	ybhL//flgL//dnaG//wzyE//ybhS//
NadR	trxC//fldB//mipA//
NagC	sfsA//phoB//leuE//talA//lrhA//
NanR	ydfE//priB//
NimR	hflK//yqhD//
NsrR	ydeA//dnaG//fhuA//fhuC//flgH//grxD//acrR//phoP//azuC//patZ//apaH//glnU//pgi//hcaE//gor//argU//glgB//bioB//dgcC//cstA//metJ//tpiA//metF//kbp//creB//glnB//bioC//decR//gor//yeiW//
NtrC	rpiR//yidQ//ppdD//fecR//ompA//yjhB//ycjG//metF//tpiA//glmU//dinF//efeU_2//hcaE//tehB//nlpE//rybA//pheV//
OmpR	glnB//trxC//ppdC//iscU//
OxyR	xapA//flhA//lysW//mntS//ydbK//flgC//artP//rimM//valX//
PaaX	wcaA//yeaE//
PepA	flgK//
PgrR	lolA//trpR//fabI//ibpB//priB//pykF//cueO//
PhoB	bioA//ftnB//ompA//msrA//znuC//raiA//yhbT//pheV//flhE//tadA//ddpC//uspB//hflK//metF//amn//intQ//murR//dicB//kdpC//ftnB//yjjP//cdaR//adiY//purK//znuC//uspE//ydcS//gudX//glmS//lysO//rcsD//
PhoP	ldtC//zraP//cynR//yjjZ//gltL//gltL//borD//thiP//gltX//ompT//allE//yfbR//allE//agaC//yadV//wza//
PspF	rpiR//
PurR	trpC//aaeA//ttdA//mcaS//cyaA//allC//sfsA//proM//ompX//yjeV//htrE//recX//dgcN//
RbsR	sdaA//
RcdA	ydiV//gudX//lysR//
RclR	ycjF//mqsR//gudD//
RcnR	hslJ//
RcsAB	cynX//ariR//yidQ//metT//cpxQ//
RcsB	osmB//ftsK//ihfB//ybjG//
RcsB-BglJ	cho//trxA//rutR//trpA//cysD//tyrB//ygbK//ychO//yjeV//flgA//pagP//
Rob	hflK//
RutR	ymgA//
SdiA	pgi//
SgrR	flgH//htrE//priB//obgE//arcA//ddpX//
SoxS	wzzE//mhpR//ddpF//asnB//tynA//gyrB//
SutR	phnM//wcaA//
TorR	wzxE//
