#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	sroA//
Ada	yccT//tpr//mngA//
AgaR	apaH//zntA//yafN//hfq//purC//ymgC//znuB//
AlaS	dicB//
AllR	flgG//valU//wecC//fruK//livG//rffC//cvpA//bdm//cvpA//
AllS	murR//pgi//glnX//
AlsR	cheB//gudX//ppiD//fliP//pnuC//gpsA//
ArcA	metC//acrR//
ArgP	rplU//grpE//kdpF//
ArgR	mngB//fldA//sxy//wzc//iscS//rof//priB//ymgC//polA//phnO//phnH//phnM//uraA//flgH//
ArsR	mhpR//hemH//leuW//
AscG	kbl//
AsnC	yojI//
BasR	nadA//
BirA	dhaR//znuC//ydcS//phnJ//ychH//
BluR	csrB//dsbA//cheY//ykgR//
BolA	phnK//ydfN//
CRP	argF//iscA//lysR//ymiA//mukF//yfdE//paaY//yfiR//pykF//recC//nlpE//talA//cmoM//yecT//cheR//mngB//agaR//priB//glxR//aaeB//umuC//mntS//phnE_2//cysD//ddpC//upp//argA//nlpE//ttdA//creB//flxA//fliQ//ppdD//gltL//patD//artQ//fliQ//rplI//ynbC//hcaR//fliM//phnE_2//purK//livF//dinB//phnI//ybbY//hokE//dsbC//cysN//ycjY//ynjI//fliO//purF//ybhR//pspF//mcbA//yciX//rarA//yadV//decR//glmS//recB//dapB//fadR//ygdB//gyrB//pgpC//
CdaR	ddpX//alsA//thiP//ompN//bcsZ//
CecR	rffT//purC//arsB//recD//dksA//
CpxR	ydfN//lysW//phoA//ykiA//pitB//cysE//ymjC//mprA//cdaR//nlpE//ycgZ//yagK//hofN//fliT//artQ//chiA//iscR//rimM//uspB//znuC//trpC//ecpA//yccT//ppdC//omrA//glgX//hyi//oxyS//alsB//ilvY//ibaG//kbp//
Cra	torR//yhdY//argC//trpD//arsC//fbaB//flhE//rpsU//thrW//argC//folE//paaX//htpG//yhjC//fabG//
CreB	ybjG//
CsgD	livM//oxyS//hemF//fliD//htpG//alsE//fabI//ttdB//luxS//
CueR	ompX//ydeI//
