#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	uspB//
Ada	valX//yidL//aroH//
AgaR	flgB//thiP//znuB//tpr//cysC//luxS//fliL//
AlaS	ivbL//
AllR	wzc//rarA//cpxA//insD//dinQ//purC//ddpX//cmoM//exbB//
AllS	comR//leuL//arsC//
AlsR	arfB//hfq//glnV//rutR//lon//cysE//
ArcA	flgJ//hflK//
ArgP	lexA//glxR//paaY//
ArgR	alaX//mhpR//recX//yhbT//htpG//rpmA//gudP//htpG//bdcA//rstB//mngR//argR//emrB//fhuC//
ArsR	gcl//dapD//dinQ//
AscG	nlpA//
AsnC	slyB//
BasR	agaB//
BirA	ygiZ//yfbR//ddpX//yeaE//hdfR//
BluR	rclA//tpiA//hcaR//dicB//
BolA	bioF//rpiB//
CRP	phnJ//thrU//yafO//dhaK//hcaC//dhaL//agaC//valY//insD//ttdT//rcsB//glk//sgrR//dhaR//yafP//ubiG//cpxR//sbcC//argH//entS//wza//osmB//recB//potI//cheA//arsB//yciW//argC//yebG//tktB//uvrY//cynR//btuB//yiiS//murR//recN//hfq//ilvY//bdm//metU//iscU//flgD//glnU//fhuD//chiA//glxR//ariR//fadM//rutR//thrW//aroH//cysE//aroH//znuA//yhdX//ygaC//wzb//cynT//yiiS//accD//dnaG//patD//sbcD//apaH//phnP//glnV//ymjC//iscR//
CdaR	dhaR//rpsR//allB//rcnR//omrB//
CecR	tadA//gpmM//raiA//rybA//alaS//
CpxR	osmB//rpmA//allB//phnC//kdpA//motA//sdaA//psiF//alaA//glyT//glpE//trmD//dnaG//glk//tyrT//hofB//ygeH//treR//ybhR//tap//sroC//fadM//umuC//fepG//mgtL//btuB//mukB//mhpR//alkA//fliR//alaC//yibQ//
Cra	trpC//glk//ymgC//phnE_1//recC//amiA//fbaB//ecnB//sroC//mipA//tdh//decR//yfdX//pnuC//accA//
CreB	cstA//
CsgD	yaeP//speA//ykgR//flgD//rpoD//arsC//pfkA//mukF//tyrU//
CueR	sohB//flgE//
CynR	leuT//znuB//speA//bacA//
CysB	slt//wzxE//xdhB//fnrS//ubiX//uspD//yhdY//aaeR//valY//rplU//
Dan	insK//bioC//asnA//dsbC//
DhaR	gpmM//ymgC//metU//htpG//
DicA	mipA//rffT//cbpM//flgL//ygiZ//ykgM//fliO//ydfN//
DnaA	omrA//aroF//
EvgA	wzc//yaeQ//phoB//ecpR//yfdE//livK//ttdR//
FNR	leuE//trmD//ybaT//ecpR//lysC//pdxA//phnN//ribA//fldB//bdcA//phr//ampE//agaS//glmS//mscM//flgA//cysD//yeiB//recD//htpG//nimT//ydfH//phoR//rsmA//wecE//rmf//ampE//
FadR	ymjC//thrU//argE//omrB//flgI//alkB//iraD//argF//
FeaR	mipA//
Fis	tfaQ//dgkA//tisB//lexA//dicB//proM//grxD//fabD//hofB//lysW//recB//ybbW//recD//livG//flgD//ychO//ykgO//yegZ//rcsB//accD//valU//ddpA//ymgC//trpR//ttdT//msrA//phoA//avtA//flu//phnP//gcvA//hflC//agaR//metU//emrB//dgcC//amn//recC//bdm//rpiR//ybhF//trxA//sbcD//bioF//gpmA//trxA//argB//yeaH//lacI//fldB//wcaA//zraP//cstA//rpmA//purE//hokE//
FlhDC	queA//ydfN//tonB//ydeA//flgF//bioC//xdhB//cynR//gcvA//cpxP//ilvY//trpD//allE//ldtD//fabG//phoE//folE//rpsF//bioA//dapD//flgJ//potI//ybaS//motB//ynbA//cbpA//ynjI//polA//ykgM//allD//obgE//phnP//kbl//yccA//trxA//tadA//grxD//trpD//
FliZ	ivbL//
Fur	fabG//murI//sxy//ygdB//gudD//yqjA//potI//phnJ//cbpM//tktB//mqsR//bioF//speC//dsbG//garD//argA//tonB//wzb//bioD//cho//flgC//frc//uvrC//adiY//
GadX	ydfD//thrU//msrA//mgtA//upp//alaX//valX//
GcvA	aaeR//phoE//
H-NS	pitB//ydfE//flxA//tsr//fbaB//leuA//rffG//alsA//ibpB//tadA//pykF//alkA//lysV//yeiW//
HU	yeiP//ygaC//
HcaR	argR//wzzE//glnV//rarA//ybfE//ynbD//
IHF	wzc//ibpB//torR//wrbA//preT//thrU//trpA//
IlvY	ppiD//ttdB//
