#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	gltX//
Ada	ecpR//mukF//recX//
AgaR	purC//fliL//flgJ//ydfW//azuC//cynX//cheA//
AlaS	ppdC//
AllR	ydcV//gcl//alaA//fadR//omrA//ygiZ//rplS//ybaS//alsA//
AllS	ychH//kbp//thrS//
AlsR	fliM//ilvY//gudX//yeaH//dhaR//phoE//
ArcA	fecI//artI//
ArgP	yfiR//rffC//valY//
ArgR	phoH//bdcA//pheT//rnlB//pepA//gpmM//ampE//gltX//thiQ//mscM//pnuC//yojI//bdm//recX//
ArsR	xdhA//proL//patD//
AscG	phnO//
AsnC	ddpF//
BasR	phoA//
BirA	rplI//hdfR//yeaE//argU//wzzE//
BluR	rcsB//pnuC//glpR//glpE//
BolA	ilvY//wecB//
CRP	sfsB//rffG//ybjG//pgpC//fecR//bacA//pheT//hflD//comR//slyB//flgE//dinF//hofN//agaI//yaeQ//gfcA//psd//pykF//rffC//dgkA//rclA//cynX//rpoD//yeaE//cheY//lolA//ilvY//glnW//yeiP//hemH//ompN//decR//ppsA//cysN//patD//ydjM//ada//ychF//yaeQ//yhhY//fliP//motB//ddpD//trxA//gpsA//yafO//iscR//gltJ//ubiG//flhE//lrhA//bioD//agaR//adiY//ttdT//sbmA//ldtC//yidQ//rclC//ybaS//ttdA//phnP//fabG//omrB//xapB//hflC//argT//lacI//
CdaR	glpG//leuE//arcA//gspB//yfiB//
CecR	yeiB//rnlA//tktB//tbpA//fhuA//
CpxR	ybhG//yebE//alkB//luxS//ydfE//hyi//ada//yojI//allA//ibaG//dhaL//dapD//envC//purC//hofP//yecT//alkA//rsmA//malZ//agaI//fabG//leuX//dksA//phnJ//purK//ydbK//ppsA//ygdB//lysO//alsB//fabH//yfiR//
Cra	fepG//preT//mqsR//nlpE//ppdD//livH//mgtA//phnI//dhaL//luxS//ykiA//paaX//yciW//hofP//dhaR//
CreB	yfiB//
CsgD	trpC//spf//mcbA//eno//aspV//rclC//phnE_2//aaeR//dacC//
CueR	rstB//yibQ//
CynR	yecT//bioA//hemF//mqsA//
CysB	ychO//mqsA//alaC//gpmM//tyrT//mngB//ycjX//purB//wza//argW//
Dan	paaY//ddpB//yfiR//dsbA//
DhaR	ttdT//fldA//flgB//ldtC//
DicA	dsrA//yidQ//rpmI//msrA//fldB//yegR//gltJ//infC//
DnaA	secB//flu//
EvgA	oxyS//cpxQ//mscM//alsC//leuC//pgpC//rstB//
FNR	yqhG//hisR//pheS//yagK//cueO//rffG//purK//add//artP//iscU//xseA//psd//rplI//gpsA//tbpA//dapD//uraA//dicC//yccT//hfq//fabD//phoH//cheR//fabH//tonB//trpC//ychF//
FadR	intQ//yccJ//iscU//alaS//rpsP//glpE//rutR//dhaK//
FeaR	kdpF//
Fis	mgrR//exbD//fruA//trmA//dapB//glnV//slyB//fldA//ymiA//ppdB//mipA//ddpX//hflX//fepG//alaW//rpsP//flgG//agaC//fliL//ydcS//preT//yfbR//argE//cysD//tsgA//mngB//argX//fliD//envC//nimR//argB//allA//dsbG//ykgR//purL//preA//leuD//fepC//ariR//pheV//yhbS//artP//ybhS//ygeH//yeiP//lysT//hofC//leuQ//hcaC//gltK//ycjG//leuD//ykiA//fliP//mngB//ilvY//
FlhDC	aspV//exbD//hofM//gor//gltI//flgH//hflD//yeaH//cra//ybhS//amiA//narQ//hokE//pspF//ddpD//lexA//gspB//leuW//tyrA//mscM//emrA//cheW//aaeR//proK//thrS//ydcV//erpA//luxS//hcaF//hcaR//fabD//rfe//uvrC//tyrA//mipA//dgcC//raiA//yjhB//
FliZ	ryhB//
Fur	motB//cynX//prs//copA//ecnB//ydiU//leuD//metC//iraD//tyrT//phnP//tadA//ybhL//pitB//crl//nadA//agp//ldtC//ykgO//cvpA//argX//wrbA//allB//iscS//
GadX	ptrA//lon//cvpA//paaX//hcaB//flgE//alsA//
GcvA	proL//cpxR//
H-NS	zntA//gltX//phnJ//ivbL//thrU//rpsR//metC//xdhB//fabD//lexA//allS//fliM//hflC//ycjY//
HU	lysT//alsA//
HcaR	ampE//apaG//emrA//yegZ//yebE//alaC//
IHF	yhjC//pepD//phnE_1//fbaB//nimR//yhdW//ychH//
IlvY	omrA//wzxE//
IscR	yjeV//tyrB//livH//rcnR//asnB//msrA//rfe//agaC//
KdpE	yebG//cmoM//iscS//rplI//
LeuO	ybbY//apaH//ydbD//bioA//rpiR//trxC//
LexA	phoR//gcvA//insD//torR//preT//metT//comR//wecC//argA//phnP//ddpA//artQ//ychF//fabI//xseA//uraA//pheT//mqsR//lon//azuC//alaW//rffT//pheV//bioC//fldA//fecR//accD//cstA//phoE//ybhF//yidL//lrhA//fliT//aaeX//ygaC//yhbS//phnH//
LrhA	priB//
Lrp	fecR//creA//fliD//phnH//trmD//cheB//kbaY//ycjY//ycjF//ttdA//gltX//hofO//tehA//avtA//
LysR	purK//
MalT	phnD//
MarA	recN//trpD//
MatA	trpL//sbcD//
McbR	tonB//
MetJ	rffH//preA//gcl//argC//recN//
MlrA	oxyS//ruvA//dkgB//hemH//slt//
MngR	fabI//yfiR//ycjG//
MntR	ibpB//glnV//
MprA	proL//phnP//mpaA//
MqsA	yhdY//leuD//
MurR	hcaD//
Nac	fhuB//xdhA//valY//leuW//argU//
NadR	ysgA//flgF//ymjD//
NagC	uvrC//kbaY//ihfB//nohA//mpaA//
NanR	dinG//lrhA//
NimR	spf//ibpB//
NsrR	rutR//ibaG//glnX//alsA//mgtA//ilvC//tyrB//dicC//yibQ//hfq//ariR//glmU//recA//omrA//recA//hslJ//yoaC//nimR//nlpA//nohA//fepD//dksA//rimM//ppdD//cysC//leuV//gpmM//trpL//accD//leuA//
NtrC	metT//dhaR//yhdY//trpB//slt//yhdW//mipA//seqA//yegH//ykgO//entS//tyrU//pgi//gudX//kdpF//iraP//erpA//
OmpR	flhE//dsbG//alsB//bcsB//
OxyR	cdaR//dapB//glyT//ompT//azuC//cheB//leuP//glpR//dicB//
PaaX	rplI//flgF//
PepA	gpmA//
PgrR	glmS//nlpA//flgH//lon//lysT//rcnR//recN//
PhoB	phoA//yccA//yegZ//hemF//allD//livH//ruvB//xseA//ydfE//acrR//cecR//eno//hofM//znuC//mqsR//rpsP//purE//dhaM//rffH//bdcA//oxc//pspF//decR//seqA//recC//gltX//livF//cecR//mcaS//yafO//yccA//
PhoP	fliP//hflC//sroA//ykiA//lysO//proM//ygbK//ilvC//agaS//glpE//tdh//dkgB//hofC//yaeP//dhaK//cheB//
PspF	murI//
PurR	rplS//gcvA//cecR//rnlB//dgcC//osmB//lysW//add//umuD//chiA//aspV//hflC//cysN//
RbsR	aaeB//
RcdA	leuW//cynR//ykgO//
RclR	ydfX//manA//ldtD//
RcnR	bioC//
