#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	lacI//
Ada	ynbB//aaeR//ybaT//
AgaR	rpiR//purB//alkA//ygeH//ppiD//exbB//mqsA//
AlaS	artI//
AllR	bcsZ//ymjD//narQ//zraP//gfcA//glpR//aaeX//yegR//thrW//
AllS	aaeB//rnlA//dgcN//
AlsR	purC//isrC//gltL//dinF//ecpA//sutR//
ArcA	preA//pagP//
ArgP	gspB//copA//seqA//
ArgR	gltL//fhuB//flgA//motA//agaS//xdhB//pgm//metT//cbpA//argB//ymjC//yaeQ//yeaD//iraP//
ArsR	fliR//hokE//fecI//
AscG	arsR//
AsnC	glgB//
BasR	pdeF//
BirA	rclB//fhuE//phoP//tpr//wcaB//
BluR	rpmA//rclB//sutR//wzzE//
BolA	yegH//creC//
CRP	rffH//yaeP//mzrA//phnK//xdhB//tynA//rnlA//cra//uvrB//arfB//yegZ//yaiW//prs//aaeB//uspE//iraP//envC//sfsA//mcbA//ygiZ//pdeF//rpsF//flu//ilvN//trpD//ubiG//agaD//znuA//asnA//fruK//isrC//ygeH//yidQ//tfaQ//ydbD//cbpA//ubiG//fliR//phnE_1//flgF//rpiB//yciW//cysC//slt//recD//ydcS//polA//flgG//sgrR//ppc//flgK//proM//ribA//arfB//trpC//flgE//yeiW//gltJ//allS//ubiX//phnN//cmoM//ydfD//dinB//fruB//rpsP//rnlB//ubiX//
CdaR	wza//kbl//ribA//ynbC//murI//
CecR	rpsR//pepD//mqsA//tfaQ//recB//
CpxR	fhuB//sbmA//sroA//flxA//ampC//xdhC//seqA//aroH//glyT//ygbK//ybhG//rpoD//dgkA//potI//ynbA//glpR//fhuE//purB//livM//glmS//sohB//yqhG//rdoA//rplI//uspD//dapB//cynR//zraP//ttdT//mipA//creB//adeD//
Cra	speC//recB//flgD//ydfW//infC//wcaA//add//hcaE//lysV//fhuE//flgB//grxD//ompA//dinG//rdoA//
CreB	lysV//
CsgD	rstB//hemF//apaG//yhhY//fliP//lysO//livJ//amiA//dsrA//
CueR	argX//tyrU//
CynR	ppdC//hemF//pheV//tcyP//
CysB	thrT//argH//fepC//fliN//recD//yeaH//hcaR//rffT//treR//thrS//
Dan	paaY//leuB//glpE//rffT//
DhaR	cheA//lysW//yegZ//metA//
DicA	ydfN//umuD//flhE//yafP//ynbC//rpsP//mpaA//artQ//
DnaA	fadM//bioC//
EvgA	agaS//thrU//wza//ykiA//metU//obgE//leuC//
FNR	phnH//ppdD//upp//dsbA//sxy//tynA//allB//speB//omrA//yfbR//mukB//ydeA//pfkA//yaiW//patZ//yqhG//metU//artQ//wcaA//ykgR//tdh//cra//oxyS//ycjY//agaI//bdm//yeaD//
FadR	alsA//bdcA//glk//kdpB//ygdB//lysO//ymgA//wzb//
FeaR	hyi//
Fis	avtA//efeU_1//yaiW//potG//ttdB//phnM//insD//purL//kdpC//amiA//hyi//ymjD//lysC//yhfA//ynbD//torR//rclB//potH//serX//patZ//glxK//rffG//cho//agaR//argX//glk//sxy//tufB//cpxP//gcvA//phoE//hslJ//leuD//ydjM//ybfE//rpsP//allE//wzzE//glpG//pheU//ttdA//amiA//alsE//ibpB//aaeB//hcaE//luxS//argR//cynS//sxy//phoP//ivbL//ynbD//gor//wrbA//ada//
FlhDC	patZ//ddpF//yaiW//nlpE//creA//pheT//gltK//flgF//obgE//rmf//ada//xdhB//ruvB//motA//yccT//purL//dapD//patD//spf//hfq//ydcT//kdpC//cyaA//ybaT//glnV//lexA//proL//garD//livF//torR//borD//argT//potI//ydiV//motB//pdeF//nadB//agaR//
FliZ	zntA//
Fur	glxK//murR//rnlB//ydiV//insK//rplS//fldB//ydfE//ydcS//xseA//allB//yciW//sbmA//hofN//flgE//rpiB//ykiA//tfaQ//wecB//agaI//mngR//rffC//ilvC//fabD//
GadX	glnU//rpsU//ttdT//prs//hcaC//iscS//yhjC//
GcvA	leuA//pheS//
H-NS	flxA//livJ//dsbC//yfdX//ldtD//gspA//obgE//yeaE//dacC//cbpA//glpG//exbB//tpr//leuL//
HU	ykgO//rfe//
HcaR	pheT//leuE//yaeQ//rclA//umuC//yjhB//
IHF	ydeJ//ybaS//pykF//bdcA//ydeI//gor//ppc//
IlvY	ecnB//tonB//
IscR	artP//sdaA//topA//ompA//insD//yibQ//ycjX//ariR//
KdpE	bcsB//ygbK//mqsR//rnlB//
LeuO	fldA//cynR//hofC//pepT//cheY//metT//
LexA	tyrV//ilvB//hflK//pagP//fruB//efeU_1//trpD//glxR//ynjI//ttdT//cpxQ//allA//glnU//dinD//hflK//tisB//ynbA//dkgA//ybfE//ppdD//glk//ygeH//tehA//alsA//wecE//pheU//ychF//insK//ykgM//btuB//emrB//csrB//iscU//trpR//phnG//ygaC//ruvB//
LrhA	alaC//
Lrp	hofM//phnP//yecT//rplS//mhpR//flu//ompX//acrR//livG//flgB//pdxA//frc//cpxQ//fbaB//
LysR	fliQ//
MalT	hcaR//
MarA	tyrU//dhaM//
MatA	lysC//fhuA//
McbR	recC//
MetJ	lysR//uvrB//rffG//fecI//fliN//
MlrA	pheT//tyrV//murR//hyi//sohB//
MngR	omrB//dacC//wecC//
MntR	znuB//fruB//
MprA	gpsA//ychF//glmS//
MqsA	leuP//glmS//
MurR	cysN//
Nac	fliR//copA//znuA//talA//dinG//
NadR	alkA//tyrV//phoH//
NagC	ecpA//ppsA//yfiB//fliP//phnE_1//
NanR	fnrS//dhaL//
NimR	hofB//argU//
NsrR	leuQ//yebE//efeU_1//yjhC//flgJ//ybhL//ydfW//ilvB//entS//fnrS//polA//rnlB//luxS//gspA//treR//asnB//ydbD//queA//phnJ//phnD//yeaE//pepD//ygbK//entS//alsE//cbpM//phnH//mukE//phnN//ilvC//
NtrC	hcaR//glnW//tyrT//asnA//fliD//malZ//sdaA//pdeH//znuB//rpoD//lysU//symE//flgE//rplU//treR//flgH//znuC//
OmpR	glgS//metA//cho//envC//
OxyR	borD//yfiB//leuQ//rimM//azuC//yjjZ//rof//rplI//phnE_1//
PaaX	tcyP//alaX//
PepA	glxK//
PgrR	cyaA//amiA//ykiA//rplS//aaeA//ydjM//fliO//
PhoB	valY//glxR//hofB//rplI//znuB//yciW//ybhG//phnD//nimT//ybhG//metF//proK//rpmI//oxc//tpr//cysE//ompN//rclB//pitB//serX//sgrR//pitA//mgtA//thrW//phnN//tehB//dinG//znuA//yhjX//dkgB//metT//
