#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ybbW//
Ada	ydfD//ompN//hfq//
AgaR	hcaE//allE//fabD//purF//prs//kdpA//hflX//
AlaS	ybhL//
AllR	paaY//yeaG//nimR//xapB//ilvB//avtA//flgA//umuD//mukE//
AllS	yqjA//thrU//argH//
AlsR	hcaF//emrA//ykgO//yeiB//znuC//fabG//
ArcA	mgrB//grxD//
ArgP	hflD//mngB//livM//
ArgR	ilvB//livF//ompT//mngR//yfdX//ynbA//ptrA//uvrB//ppdB//speA//mgtL//bioC//ptrA//infC//
ArsR	cysD//mpaA//fldA//
AscG	tehA//
AsnC	flgK//
BasR	bioB//
BirA	xdhB//mngB//leuE//mqsR//tpiA//
BluR	argR//dinG//gcvB//exbD//
BolA	ydiU//fhuE//
CRP	phnE_2//uidR//wzyE//uspE//yccJ//ruvB//paaX//pepT//glyT//lysV//mcaS//artI//yhbE//avtA//ybhR//fliL//nadB//ydbD//argH//pfkA//htrE//rarA//ybjG//yhbE//fecR//sgrR//iscR//hchA//ldtD//tehB//dinD//nadB//rnlB//ampC//lolA//ykgM//flgG//yhjX//recB//livM//mngR//dinD//hdfR//alaX//alaA//iscS//ttdB//ycjY//yhjX//fliQ//rdoA//yebE//ychH//yhdY//mprA//rpmI//yeaG//dgkA//cysC//alsC//ydbK//alaX//rnlA//iraD//sxy//leuW//yhdW//trmA//
CdaR	argE//slyB//ttdA//artP//ybhR//
CecR	gudD//yncE//mscM//efeU_2//yafN//
CpxR	pnuC//pheU//pitA//leuX//rarA//ydjM//wrbA//gpsA//phoP//grxA//fnrS//pdxA//trpE//valT//preT//ddpD//paaY//argX//phnO//rstB//lexA//ymjC//glpR//rffM//hflK//ldtD//yegZ//glgB//uvrC//ybhR//ftsK//rpoD//
Cra	mcbA//ydbD//argA//hcaC//hofM//mgtA//alaW//leuB//secB//wzxE//sgrR//yhjC//dnaG//ykgO//yegR//
CreB	tyrB//
CsgD	argT//rstA//priB//lysW//glnB//argF//yhjC//ybhF//oxc//
CueR	fruA//proK//
CynR	pitB//trpL//tisB//rstB//
CysB	uvrC//fabH//rimM//glpR//folE//tcyP//ldtC//pitB//ymiA//wzb//
Dan	ykiA//yegR//uvrB//arfB//
DhaR	uraA//ilvC//yaeP//leuD//
DicA	fhuD//umuD//glxR//mepH//dsbC//gfcA//yjeV//bioC//
DnaA	gcvB//speC//
EvgA	aaeR//ubiG//trmD//glxR//amn//oxyS//ydeJ//
