#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	aroF//
Ada	phoP//rybB//recB//
AgaR	iraD//trmD//yadV//cho//argA//ydfE//bioA//
AlaS	fruK//
AllR	yagK//pepT//dapD//fruA//frc//cysE//mgtA//upp//mcbA//
AllS	argF//ddpB//fhuD//
AlsR	ymgC//amiA//sroC//rplI//alaX//wzb//
ArcA	argB//uvrD//
ArgP	yhhY//slyB//phoH//
ArgR	fliS//leuX//psiF//allS//htpG//ymjC//rplU//ubiX//spf//leuQ//fepD//glnW//htrE//valT//
ArsR	iscS//ychH//dinF//
AscG	comR//
AsnC	csrB//
BasR	queA//
BirA	glnU//ruvA//leuQ//fnrS//dkgA//
BluR	yegR//leuL//ddpD//zntA//
BolA	ycjX//yhdZ//
CRP	sohB//yaeP//pgpC//gudX//envC//ydbK//ybaS//grpE//cysK//purK//ryhB//ilvB//pepD//arfB//pheT//ruvB//hflC//fliN//flhA//ampC//mltF//xseA//fabH//zntA//gfcA//ykgO//znuC//yebE//ddpD//lon//tyrU//fhuA//glxK//mhpR//mukF//ampC//argR//iscS//glnX//agaI//cynX//yncE//rcsD//dhaM//hflD//trmA//yjjP//cmoM//cheY//fadR//allS//treR//ibaG//fliL//adiY//hflX//znuA//ddpA//zntA//ybaT//fadM//iscU//ldtD//htrE//hcaC//rffG//tdh//phnC//
CdaR	asnB//symE//xapB//aaeB//mcaS//
CecR	recD//ydeA//ftsK//tbpA//thrS//
CpxR	znuC//yhdY//fruB//ydjM//yqhD//glk//xapA//cbpA//ygaC//metJ//ydcU//alkA//rpsU//gltL//queA//allC//avtA//yecT//omrB//gfcA//ydcV//cysE//glxK//livM//fliQ//yhbE//rpsU//ychO//lysC//secB//ilvC//iraP//
Cra	ttdT//ihfB//malZ//azuC//ynbC//flgL//ygbK//ydeI//yadV//hcaR//phnE_1//potH//livK//fliP//leuP//
CreB	iscR//
CsgD	artP//phnM//glxK//yegH//fbaB//cstA//tcyP//fhuC//preT//
CueR	rof//trxC//
CynR	dhaL//bdm//motA//bacA//
CysB	flu//yaeP//gudX//metC//psd//cysE//hcaD//fhuB//rffC//pheV//
Dan	gor//leuW//sfsB//ykgR//
DhaR	flxA//yfbR//dsrA//rstA//
DicA	speC//hcaF//prs//flxA//trpR//phoP//wcaB//tpr//
DnaA	cysD//topA//
EvgA	omrA//mngA//ppc//ychF//uidR//rybA//sbcD//
FNR	dgkA//mgrB//glk//copA//nadC//dsbC//gspB//phoA//ybaT//trpA//dnaG//phoA//yeaD//torR//metC//artJ//thrT//rclA//phnE_2//sxy//recD//uvrY//ampD//ynjI//rpsP//dinF//tdh//
FadR	dicC//copA//mukF//pheT//yncE//phnG//garD//grxA//
FeaR	pagP//
Fis	gcl//manA//trpD//phnE_1//fabG//sfsB//envC//ddpD//pheS//yidQ//glxR//glxR//bdm//ynbC//fnrS//yhdX//recX//flu//dgcC//allE//ybhR//allB//slt//cheR//yfbR//efeU_2//ybhL//agaB//yeiW//artQ//arcA//ptrA//trpB//valU//murR//trpA//thrS//gcvA//mqsR//apaH//asnA//rfe//cecR//gltK//ilvY//leuV//mcaS//seqA//trpB//tsgA//thiQ//lysC//iscS//ppdA//cpxR//yfdE//
FlhDC	ampD//fhuB//nadB//hofP//zntA//thiP//hisR//ttdA//infC//ompN//hslJ//rof//phnM//wzb//trpL//creA//fliN//rpiB//xapA//aaeA//bcsB//ydeI//allB//leuD//cra//rnlA//fbaB//hcaB//ybhF//rybA//ilvY//mhpT//ribA//fabD//glnV//allA//gfcA//bdm//
FliZ	omrA//
Fur	kbp//hofO//ycjF//hflC//cheA//alsE//fabG//arsC//rstA//cheZ//fliS//xapA//malZ//mgrB//mngR//mltF//bioD//dgcN//fruA//rclC//pgi//phnP//copA//yjeV//
GadX	allS//ydfX//serX//grxA//metU//nadB//gpmM//
GcvA	rof//arsR//
H-NS	ygaC//malZ//polB//recD//fadR//cpxR//rpsR//ddpA//mqsR//paaY//argC//umuC//ydiU//hcaE//
HU	iscS//tadA//
HcaR	flgD//aaeB//ydcT//allE//rpsP//ariR//
IHF	glyU//hflX//lysR//ydeJ//ribA//manA//psiF//
IlvY	leuC//cheB//
IscR	fecI//ppc//sgrR//seqA//ivbL//rpiR//phnH//pepT//
KdpE	artI//grxA//slyB//ldtD//
LeuO	cheA//bcsZ//dgcC//yoaC//tcyP//ynbB//
LexA	valT//flhE//csrB//thrS//fabI//phoB//livH//isrC//accD//rclA//phr//artI//arsC//ychO//fliO//hslJ//yfiB//preT//ydbD//erpA//mipA//hflX//purB//hofB//hslJ//ydbK//ryhB//gcvA//uspE//phnO//potG//rsmA//cvpA//lexA//trxC//fabI//kbl//
LrhA	wecC//
Lrp	tyrU//ydfN//ilvY//psd//yadV//pagP//hflD//mgtA//hcaC//wecB//comR//rpsF//leuQ//yhdX//
LysR	pheT//
MalT	serX//
MarA	ftnB//garD//
MatA	msrA//ynbA//
McbR	ecnB//
MetJ	flgC//ecpA//wzc//ddpD//gltJ//
MlrA	xapA//yaeP//tcyP//rstB//rpsP//
MngR	lysR//yafO//gltK//
MntR	lysV//spf//
MprA	preA//gudP//iscA//
MqsA	phoB//fldA//
MurR	alaX//
Nac	htpG//arcA//gudP//fhuD//yegZ//
NadR	gspA//fabG//cmoM//
NagC	fabH//kbaY//agp//yaiW//ymjD//
NanR	lacI//hdfR//
NimR	purB//mngR//
NsrR	ysgA//prs//tonB//hflX//yneM//ldtC//cpxR//hofM//sfsB//bioF//lexA//gudD//creB//allB//msrA//rclC//flgH//ykiA//ilvN//yafO//htpG//purK//hcaD//speC//fliM//pspF//paaY//dinG//uvrD//gudD//
NtrC	mlrA//thiQ//alaC//adeD//pgm//cynR//hokE//mcaS//tap//yjhB//ynbA//glxR//metC//ykgM//pheT//potG//gltL//
OmpR	mngA//dicC//yhfA//rclA//
OxyR	proK//nimR//kdpC//hcaB//rplI//yibQ//rcsB//alaA//rdoA//
PaaX	cpxQ//ompA//
PepA	valX//
PgrR	livH//pgpC//metF//aaeR//pfkA//sfsA//pepT//
PhoB	glgS//psiF//pheU//uvrD//valT//yciW//xseA//mqsR//rffC//gspA//tehA//thrS//trpA//ibpB//fhuA//ymjC//glyU//mcaS//obgE//efeU_1//leuP//yeiP//mzrA//gfcA//allC//argW//gudP//nadA//ampC//fepC//yiiS//
PhoP	zntA//phnN//pdeF//valY//ydeA//ddpA//preA//dkgA//fliN//ynjI//yfiR//seqA//ivbL//fliO//kdpA//sfsB//
PspF	pgm//
PurR	phoE//ecnB//agaS//glgB//pheV//spf//infC//valX//fliL//ygeH//yqaE//iraD//arfB//
RbsR	acrR//
RcdA	agaS//dinG//nlpA//
RclR	recN//ydeJ//cheW//
RcnR	grxD//
RcsAB	yccT//emrA//yfdX//ddpC//alkA//
RcsB	ychF//artQ//folE//yegZ//
