#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	preT//
Ada	ybfE//dsbA//proL//
AgaR	ydcT//tynA//lolA//pepD//cheA//yhbS//nlpE//
AlaS	flgD//
AllR	yhdW//adiY//trmA//psd//ymgA//rcsD//flxA//adiY//mcbA//
AllS	ykiA//ppdC//gudD//
AlsR	pspF//nadA//psd//spf//trpL//dsbA//
ArcA	rpiB//ybaS//
ArgP	gcl//obgE//ydcT//
ArgR	mgrR//fldA//ydcS//lrhA//pitB//recB//ydbD//alsA//psd//flu//copA//pepT//ycjF//gltK//
ArsR	ampD//dinB//hofN//
AscG	pheV//
AsnC	ydcV//
BasR	hflC//
BirA	alaW//mcbA//yaeQ//argE//ihfB//
BluR	potF//rarA//grxD//ydbD//
BolA	ilvB//flgB//
CRP	rffH//hyi//ruvA//trpA//tap//yfdX//tyrB//leuV//yjhC//lysW//fhuB//acrR//accA//glgS//upp//argT//dsbC//fhuE//yfiR//leuQ//mukF//ptrA//flhE//gltI//creC//ybhG//rcsB//arcZ//wzxE//cheR//dinD//kdpC//polB//preT//gcvA//fruK//glgX//pheU//ychO//exbD//livK//nimR//lrhA//cheZ//fliO//flgD//nohA//glgS//ymjC//yoaC//pheV//gudD//talA//metF//cyaA//hcaR//ycjX//livF//accA//slt//gudD//ybaT//rpiB//pdeH//gltL//pykF//crl//rplU//
CdaR	ecpR//lysW//aroF//rffT//prs//
CecR	alaW//acrR//mngR//fepG//yeiP//
CpxR	ppdA//fhuB//phoE//hcaE//thiQ//accA//bcsZ//ynbA//queA//ynbB//dicB//lrhA//creC//metC//ilvY//tyrB//mgtA//yeaE//leuB//mqsA//artP//purK//trmA//lexA//ydcU//wza//wzb//argF//glgS//phnF//artM//nimT//
Cra	ydeI//spf//polB//cynT//thiQ//exbB//iscS//dapD//flu//sgrR//fliP//rpsU//ydfW//tehA//phnO//
CreB	bluF//
CsgD	znuA//ptrA//ynbC//ykiA//csrB//yccJ//pgi//mukF//hflC//
CueR	znuC//yjhC//
CynR	bdcA//zraP//fecR//tcyP//
CysB	wrbA//pheT//fliR//glxR//metF//envC//cheZ//rclB//tonB//ybbY//
Dan	creB//ynbD//phnE_2//fhuB//
DhaR	purF//yciW//yeiW//fabI//
DicA	fnrS//ecnB//yqjA//aspV//zntA//flgH//phoR//dhaM//
DnaA	borD//nohA//
EvgA	hemF//lysR//hemF//adiY//artP//yafP//glgX//
FNR	pgpC//lon//aaeB//sfsA//ampC//yccJ//fbaB//cstA//rybA//flgL//xdhC//hcaD//phoA//speC//phoA//motA//fadR//flgL//fhuC//rffT//yqjA//glk//pdeF//lolA//mntS//proK//flhE//
FadR	mukB//sbcC//murI//paaY//alaW//fabD//talA//creA//
FeaR	tyrA//
Fis	dhaR//glpG//ycjG//preA//ydiV//dgcC//xseA//ttdR//yneM//flgE//bioC//amn//gcl//sutR//flhA//lysC//ddpX//fliS//fliS//polB//ydcT//serT//fhuD//leuW//yhhY//arfB//mgtL//ybbY//ydcU//xdhC//intQ//ftsK//cysN//dsrA//fadM//argW//yebG//prs//uspD//topA//prs//leuE//allS//glmU//sroC//livJ//wecC//phnE_1//hofB//leuL//ldtD//cbpA//dsbC//yebG//flgA//hyi//
FlhDC	cbpM//ihfB//speB//argH//uspE//ada//ompT//uvrY//patZ//yciW//metT//agaD//oxyS//tsgA//ftsK//tehA//obgE//ibpB//yeiB//glpE//potF//pgpC//yjjZ//rybB//uidR//alsB//fliN//leuX//phnE_1//recD//yfiB//omrB//alaA//gudP//torR//ompA//bcsZ//mukE//
FliZ	livK//
Fur	ybbW//dinG//uraA//znuA//phnK//flxA//erpA//ynbC//xdhA//wza//agaD//fepC//rcsB//flxA//kbp//entS//cbpA//cbpM//omrB//tonB//alkB//ldtC//yhhY//ada//
GadX	lolA//yhfA//hflK//phnF//phoB//phnC//motA//
GcvA	cdaR//metC//
H-NS	aroH//apaG//bluF//sbmA//potG//ydcU//glk//livM//kdpA//yciX//fbaB//rplI//purK//dapD//
HU	fliQ//iscR//
HcaR	flhB//nlpE//ybfE//fhuE//sfsA//ybbW//
IHF	alaW//wecE//fabD//lysV//ynbD//csrB//hflX//
IlvY	trpA//lysR//
IscR	copA//rffH//livF//add//leuB//purC//lexA//hofP//
KdpE	tonB//rffG//cheR//mukF//
LeuO	msrA//gcvA//fhuC//adeD//agaC//rffT//
LexA	ygiZ//ycgZ//flgI//cpxA//iscS//recN//frc//mqsA//valY//ampE//leuA//fecI//osmB//cheR//dkgB//phoA//yhdY//ygaC//uvrD//hflK//dgkA//mukF//yaeP//exbD//phnC//speC//trmD//yncE//yidL//borD//yhbT//trpB//ompA//arsR//agaS//tpiA//ftsK//
LrhA	metT//
Lrp	tsgA//accD//hofN//leuT//preT//ynbD//gltX//metT//znuC//tktB//argW//yjhC//ycjX//alkA//
LysR	phnO//
MalT	adeD//
MarA	trpA//tpr//
MatA	purB//speB//
McbR	glgS//
MetJ	rplS//mukE//tsgA//ykgO//upp//
MlrA	wecC//trmD//recC//artJ//purF//
MngR	rnlB//aroF//yeaE//
MntR	bdm//ydfE//
MprA	upp//pgpC//fepD//
MqsA	mngA//trpB//
MurR	lysO//
Nac	flgI//yfdE//motB//isrC//rpsP//
NadR	sbmA//ymgC//rffT//
NagC	ybaS//tynA//creB//intQ//yjjP//
NanR	yafP//fliO//
NimR	ynbC//ydfD//
NsrR	ddpD//cpdB//nadA//purB//insK//aroF//argR//fliO//gpmA//xapB//sxy//recA//tadA//yhjX//motA//leuB//lysT//gudP//lolA//yjeV//livF//rffG//yfdE//arsB//sbcD//yeaG//mukB//gyrB//ubiX//ppdA//
NtrC	wcaB//ymjC//rcnR//nadC//mcbA//gspB//ynbD//flgJ//livJ//ybbY//creC//sxy//proM//ymgA//mukE//dinG//pdeF//
OmpR	purC//ychO//rclB//ybfE//
OxyR	hyi//ykgM//yebE//speB//cecR//mlrA//agaC//ychF//yafN//
PaaX	rffM//fecI//
PepA	uvrB//
PgrR	yhdW//argF//spf//asnA//gcl//glgS//ycgZ//
PhoB	emrA//gyrB//ruvA//phnJ//gpsA//yciW//arsR//mhpR//artJ//pepA//ykgM//nimT//hfq//thrS//phoH//valY//ubiX//dicC//phnC//phr//ung//nlpA//acrR//mukF//polB//dacC//umuC//alaW//tfaQ//aroH//ynbA//
PhoP	ivbL//ydfH//sbmA//hchA//xapA//dkgB//rpiB//obgE//speC//hisR//iraD//yafP//tar//argW//pitB//tyrV//
PspF	bioC//
PurR	phnM//sbcD//iscR//umuC//dicB//yqjA//bdm//ecpA//insK//insK//cpxA//flgA//wza//
RbsR	accA//
RcdA	symE//rybA//allB//
RclR	arsB//livJ//phoE//
RcnR	ymjC//
RcsAB	emrA//grxA//asnA//flgK//tktB//
RcsB	ybbY//yaeQ//zntA//sgrR//
RcsB-BglJ	ldtD//ydiV//tap//mscM//lysO//alsE//ftnB//gcvA//yhbT//luxS//aroF//
Rob	fliO//
RutR	msrA//
SdiA	gltK//
SgrR	argH//rcsD//aspV//yqaE//ddpD//pykF//
SoxS	argR//argB//leuT//erpA//ygeH//mepH//
SutR	livG//ppsA//
TorR	mngR//
TrpR	flgJ//envC//umuC//rsmA//thrS//mcbA//argB//eno//
TyrR	adeD//hflX//rarA//
UidR	ybhS//
UvrY	ddpD//dapD//
XapR	pdeF//mukF//
YdeO	xdhB//leuD//
YjjQ	thiQ//yfiR//ddpC//phnM//glxK//pgi//yegR//
YpdB	uvrB//
YqhC	dsbA//argH//
ZntR	yqhG//
ZraR	cpxQ//
Zur	rarA//rclC//ygaC//nadC//zntA//
