#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	prs//
Ada	dinG//bcsZ//tehA//
AgaR	phnO//iraP//apaG//ftnB//mcbA//allB//livH//
AlaS	phnE_2//
AllR	yciW//uvrC//xdhC//rutR//tap//yfiR//ddpD//wzc//recC//
AllS	ynjI//bcsB//ftsK//
AlsR	dsrA//ynbD//livM//dsrA//gspB//omrA//
ArcA	oxc//alaA//
ArgP	ydfN//fruA//serX//
ArgR	fliQ//pdeF//ynbB//ysgA//fldB//argT//apaG//rimM//creB//eno//treR//alkA//recB//alaX//
ArsR	dsbG//dinB//fecI//
AscG	nadB//
AsnC	glyT//
BasR	ttdR//
BirA	dsbA//sbcD//motB//ybhF//trmA//
BluR	serT//preT//tcyP//artI//
BolA	tktB//gyrB//
CRP	hflD//valY//tyrU//dinG//umuC//wzb//cpxP//tyrV//ung//agaI//uvrC//tcyP//torR//yaeQ//yhfA//potG//trxA//cpxQ//erpA//ampD//rstA//gfcA//bacA//sgrR//metA//lysU//fldA//ybbY//cstA//rnlB//tonB//leuT//lysC//hemH//ygdB//prs//allB//treR//mzrA//phnE_2//tufB//cho//ybbY//obgE//agaB//xseA//murI//flxA//wecC//wza//flgI//ychO//fepC//symE//yccT//obgE//alaW//gudD//aaeB//gor//znuA//rstB//ybaS//mepH//ddpB//wecC//rnlA//cho//
CdaR	yiiS//hflD//glnU//dsbC//wzxE//
CecR	cheZ//iscA//talA//phoP//mngR//
CpxR	hslJ//asnA//hcaR//ddpB//ppiD//phnD//tisB//ibpB//wzyE//ibaG//mukB//fhuD//yneM//ychO//ttdB//paaX//yncE//ymjD//trpE//wzb//murR//borD//argB//leuA//patZ//phoH//tpiA//trpB//gudD//hofP//uspD//aspV//
Cra	recB//valY//argU//nadB//phnE_2//glnX//yjeV//bacA//aaeA//phr//agp//nadB//exbB//kbl//fadM//
CreB	allS//
CsgD	leuV//trpR//dsbC//tyrV//insK//ung//gltL//argA//cysN//
CueR	hchA//pitB//
CynR	tdh//rof//ykgO//livH//
CysB	ydcV//cysE//gcl//ydiV//recA//mltF//agaD//fliO//glxR//ykgM//
Dan	cynT//trpB//gpmA//rcsB//
DhaR	pitB//rybA//ariR//allB//
DicA	raiA//cheZ//hcaB//leuE//cynS//cyaA//argR//tyrT//
DnaA	aspV//kbaY//
EvgA	apaH//metA//sbcC//hofC//cynX//dinQ//azuC//
FNR	kbl//yhfA//serT//glpG//yhbE//yjhC//dhaM//yeaD//yfdE//entS//avtA//glxK//mlrA//yhfA//gyrB//acrR//fldB//allC//sbcD//ompT//ymjC//agaR//nohA//tpr//yhdW//lrhA//rimM//
FadR	rpiR//rpoD//yaiW//hisR//iraP//cbpM//ydiV//hslJ//
FeaR	yaeP//
Fis	pheS//phnM//hcaE//ydeI//rpiB//fliM//yidL//cpxP//glnU//efeU_2//borD//trpR//rstB//slyB//pagP//livH//polB//ynjI//phnD//yecT//rffC//kbp//valT//speC//exbD//hofN//livJ//rnlA//glk//flhA//arsB//leuP//fepC//ydfD//iscR//ygbK//recX//patZ//speA//ykgR//cysK//fliR//dapD//gltI//trmA//bdcA//fhuD//wzc//artM//fliR//cheZ//fecI//nohA//rnlA//tsr//hofB//
FlhDC	cheY//livF//artM//ppdA//aaeX//ymgA//phnP//mntS//alkB//mipA//gltK//arsB//slyB//slyB//lysU//hcaR//fldB//ttdB//ychO//trpB//hcaF//thrS//phoR//mprA//yciX//ftsK//ydcS//murR//ydfN//murI//kbl//secB//talA//fhuC//gpsA//pfkA//glgB//ykgM//
FliZ	ompN//
Fur	ycgZ//rsmA//ydcV//ybfE//xdhC//rpiR//ppdB//mngB//ydeA//aaeB//flgC//ybfE//ybaS//yafO//yeaH//entS//cyaA//fliR//accD//artI//fliR//adiY//bluF//valY//
GadX	rpsR//copA//phnP//bcsB//decR//ampE//metU//
GcvA	nimR//wecC//
H-NS	rpoD//fliR//envC//cdaR//tsgA//mltF//dnaG//fhuC//yfdV//alaC//aroH//agaC//argF//pspF//
HU	pheU//alsE//
HcaR	argC//trxA//ddpD//ygaC//thrS//yebE//
IHF	cheW//xdhA//agp//trxA//ttdA//avtA//ybhG//
IlvY	mgtA//leuV//
IscR	gpmA//ykgM//umuC//yadV//flgE//agaB//mgtA//wzc//
KdpE	alaC//fliD//fecI//yneM//
LeuO	ppdB//rcsD//htrE//cpxR//dgcC//cpxR//
LexA	mcaS//ynbD//chiA//xseA//leuL//fhuC//emrA//livJ//glyU//glxR//tdh//fliQ//glnV//yciW//yjhC//efeU_2//dgcN//bcsZ//flxA//phoH//secB//yhbT//cpxP//ompN//tonB//ompX//tcyP//leuX//livM//ybhF//lolA//paaX//mukE//sbcD//cheY//fliP//phoH//
LrhA	fabH//
Lrp	phoP//dkgB//argR//aroF//secB//cho//ubiG//flxA//ung//gltK//ppdB//amn//uraA//thrS//
LysR	fhuE//
MalT	mgtA//
MarA	ychH//arsC//
MatA	yjhC//xapB//
McbR	argH//
MetJ	pgpC//fabI//seqA//flgJ//iraP//
MlrA	motB//exbD//chiA//rplS//umuD//
MngR	proL//cecR//glgS//
MntR	tyrV//yegZ//
MprA	apaG//ttdA//ykgM//
MqsA	rclC//purC//
MurR	uvrB//
Nac	malZ//glgB//fbaB//ivbL//patZ//
NadR	ilvN//hslJ//flhA//
NagC	insK//leuP//yhfA//phnH//valY//
NanR	wecB//mngR//
NimR	copA//yecT//
