#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	cpxP//
Ada	erpA//ydeI//livJ//
AgaR	wzyE//artM//bdcA//wza//eno//oxyS//purK//
AlaS	arsB//
AllR	mukF//rybA//dhaM//patZ//livF//fepD//rffH//metU//uspE//
AllS	fabI//ampC//dgkA//
AlsR	rpsU//folE//iscU//flgJ//borD//motB//
ArcA	yhdX//dhaM//
ArgP	ychH//hofO//ldtC//
ArgR	tfaQ//yafO//alkA//pepD//potH//tpiA//agaD//serX//livF//argU//rffM//gltX//dapD//sbcC//
ArsR	murR//ynjI//paaY//
AscG	ycjF//
AsnC	ynbB//
BasR	ivbL//
BirA	hyi//ybhR//nimT//cysE//agaI//
BluR	gudD//fabG//wzxE//mngR//
BolA	garD//thrU//
CRP	ddpD//pheS//fliO//ybaT//hcaC//rsmA//lysC//nimR//kdpA//ygiZ//grxD//cysE//wcaB//ada//phnD//mgtL//ilvC//dkgB//agaR//manA//xapB//hflD//exbD//lrhA//proM//entS//ecnB//fhuE//mntS//btuB//fabI//hslJ//thiQ//proL//leuE//ivbL//fepC//tdh//uraA//leuL//metT//recC//phnM//gltL//htrE//alsE//sfsA//dsrA//argX//rcsB//adiY//umuD//hflC//omrB//yhjC//spf//ampC//metA//iraD//agaS//pdeF//yeiB//ddpF//ybbY//yeaD//tap//wcaB//narQ//
CdaR	pspF//phnO//gltK//phnJ//dhaM//
CecR	yjjP//allE//fhuA//ygdB//ygbK//
CpxR	yaeP//mhpT//agp//leuA//purB//hchA//allC//hflC//aspV//rclB//ompA//asnA//glxR//glnU//adeD//motB//argB//alkA//argC//gspA//dgcN//yecT//iscU//yjeV//trxA//leuT//rpsU//rclB//glnW//apaG//hofB//ymiA//
Cra	gltX//creC//thrS//hofM//amn//cpdB//fliT//fhuC//ppdD//allE//glnU//agaI//allD//nadB//phnN//
CreB	thrU//
CsgD	kdpA//ddpX//gltX//ycjG//serT//kdpB//tehB//metT//argT//
CueR	flgL//murR//
CynR	phnH//rybA//avtA//topA//
CysB	obgE//yojI//dinF//ynbA//valT//sxy//rpsR//rarA//kdpB//phnJ//
Dan	mprA//potF//dinB//add//
DhaR	spf//ppsA//spf//hcaE//
DicA	leuQ//leuD//yaeQ//spf//rplS//yhdZ//phnM//flhE//
DnaA	spf//lysV//
EvgA	ycgZ//cheA//borD//phnI//dhaK//mgtA//fruB//
FNR	cstA//bioC//yjjP//bcsZ//pdxA//mhpR//proK//talA//cheB//pykF//glgS//emrB//insK//agaR//pdxA//cheW//tap//trxC//mhpR//ompX//sutR//bcsZ//phoH//yhdX//glnX//murI//comR//
FadR	nimR//sxy//mlrA//aspV//flgA//argF//yaiW//thrU//
FeaR	recB//
Fis	fecR//ycgZ//hchA//flgI//cheR//bioC//ydeJ//narQ//murR//artQ//flgK//pheV//ydcV//rcsB//flgC//patZ//dapD//gudX//lysO//cysN//glpE//yciW//tyrT//gltK//envC//tcyP//speA//fhuD//ybhL//yfbR//proL//leuE//borD//hcaC//btuB//grxA//agaD//dapB//glgS//gudD//patZ//artM//glpR//ttdA//cpxR//comR//ilvC//ybjG//phnL//yjjZ//avtA//sbcC//tpr//ftnB//mqsR//serX//
FlhDC	cynS//ecpR//ygbK//fabH//speC//ydfD//aroH//hofN//rof//flgI//rcsD//ydeI//ycjY//serX//yjjP//ynbA//dgcN//ychH//rffM//ryhB//glnX//ubiX//pheV//patZ//serT//argE//argI//mngA//cpdB//ariR//adeD//ppiD//flgH//sfsB//glgS//omrB//motA//dinF//
FliZ	gudX//
Fur	dkgB//artI//sohB//osmB//ilvY//hflK//lysU//hflD//nohA//gspA//xapB//leuV//rarA//ppsA//arsB//tonB//ryhB//trpR//lon//iraD//ilvB//ydfW//recA//wzyE//
GadX	mqsR//ydfW//wzc//wzb//dsbC//secB//hofO//
GcvA	nohA//yeiB//
H-NS	flu//fabI//symE//gltX//upp//lysO//purL//emrA//recN//yhjC//agaB//glpG//ddpA//argH//
HU	talA//ubiX//
HcaR	pykF//lolA//yjhB//agaS//dicC//ompX//
IHF	glk//nadC//yojI//phnL//thrW//yfbR//cueO//
IlvY	wzc//seqA//
IscR	allB//wecB//rpsR//ybhF//glyT//speC//yhhY//cynX//
KdpE	gcvB//livJ//apaG//mipA//
LeuO	rnlB//arfB//dapB//kbaY//trxC//leuD//
LexA	torR//yjjP//flxA//cbpA//xdhC//amiA//fecI//erpA//purK//sgrR//flhE//wcaB//fliD//speC//treR//ttdR//yoaC//glyT//ddpF//flgA//cpdB//pspF//dhaM//ydiV//rdoA//slt//sutR//ampC//gpmA//ppdB//alaC//allE//grxD//dicB//rclB//fepG//rsmA//
LrhA	ydfH//
Lrp	secB//ycgZ//leuL//yeiW//ydcV//allB//fliT//arcZ//leuC//cho//wecB//yqaE//tfaQ//pepD//
LysR	arsR//
MalT	recN//
MarA	ecpR//sbcC//
MatA	yidL//prs//
McbR	yegZ//
MetJ	wecE//rimM//phnI//argI//yjhC//
MlrA	ydiU//mgtL//torR//cpxQ//yciX//
MngR	cysD//yfdV//hdfR//
MntR	nadB//dinB//
MprA	alaA//wzzE//iscS//
MqsA	lysR//cpxP//
MurR	yhdZ//
Nac	mqsA//bcsZ//intQ//rmf//dsbC//
NadR	allA//murI//ompA//
NagC	proK//ybbW//tisB//ybaT//accA//
NanR	leuD//cheY//
NimR	mukE//wcaB//
NsrR	ecpA//rimM//yegZ//kdpC//aaeR//fliQ//flgI//mntS//ydfW//rnlA//ppc//yfdV//trpA//paaX//dsrA//agp//cbpM//phnO//yhdW//priB//purE//aroH//cho//yeiW//ampE//insD//tehA//pepD//rclC//ychO//
NtrC	phoR//hcaB//msrA//aaeR//chiA//obgE//polB//polA//murI//borD//ynbC//psd//ung//yqhG//rffM//leuQ//decR//
OmpR	yhbS//argR//iraD//flhE//
OxyR	alaW//ampD//leuT//tynA//purB//ariR//yhbS//sutR//ilvY//
PaaX	creC//fhuB//
PepA	yeaD//
PgrR	rnlB//fruB//ydiU//tynA//yeiB//ydeI//argT//
PhoB	ariR//argX//phnI//ybhG//dsbC//ddpD//xseA//mngB//ecpA//dapB//emrB//glmU//fhuC//narQ//yidL//ppdB//fhuD//hcaC//kdpA//rcsB//iscR//yfbR//ppdD//aroH//yoaC//argE//sroC//mngR//cpxP//rffH//hokE//
PhoP	ampE//rffH//btuB//fliO//fliL//allC//ydfD//dksA//ptrA//cheB//gfcA//yaiW//yidQ//ydiU//phnM//adiY//
PspF	yfiR//
PurR	rmf//yfiB//phnC//yhjX//ydeA//pitA//phr//aaeX//creC//ychO//dsbC//narQ//zraP//
RbsR	dinD//
RcdA	phnG//ybbY//argW//
RclR	cysD//ynbB//mngB//
RcnR	gudP//
RcsAB	cyaA//yafP//ydeA//lexA//ydbK//
RcsB	gpsA//agaI//yafO//tcyP//
RcsB-BglJ	treR//grpE//yqhD//yegZ//emrA//metA//yhdW//ykgO//hflX//ymiA//dapD//
Rob	motB//
RutR	mqsR//
SdiA	ftnB//
SgrR	artJ//argX//dinB//phoP//phnN//leuV//
SoxS	asnA//ynbA//lysU//cstA//exbB//xdhB//
SutR	ddpC//znuC//
TorR	rybB//
TrpR	gcvA//ampC//spf//creB//iraP//hemF//umuD//wrbA//
TyrR	fepG//wcaA//trpR//
UidR	leuC//
UvrY	rplU//tap//
XapR	gcl//chiA//
YdeO	arsC//lysT//
YjjQ	yafP//rdoA//insD//ykiA//ariR//cheA//adeD//
YpdB	entS//
YqhC	kdpA//umuD//
ZntR	fecI//
ZraR	ykgR//
Zur	oxyS//insK//hcaF//recN//lrhA//
