#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ychF//
Ada	uvrY//ampD//glxR//
AgaR	rpsF//yncE//umuD//ftsK//gudP//ynbC//emrB//
AlaS	flgB//
AllR	argC//mpaA//dgcN//rpsP//znuB//ddpX//yccA//sdaA//leuB//
AllS	agaR//dgcC//uspE//
AlsR	ydfN//priB//ddpD//argH//fepD//purB//
ArcA	ycjF//leuP//
ArgP	paaY//torR//avtA//
ArgR	topA//rybA//phnD//leuB//chiA//fbaB//mqsR//hflX//yqhD//bdm//kdpA//thrW//tadA//ybaS//
ArsR	symE//fabG//tonB//
AscG	rnlA//
AsnC	xseA//
BasR	flhB//
BirA	efeU_2//envC//wzb//recD//agaI//
BluR	yidL//wecE//dacC//yfbR//
BolA	gfcA//gltI//
CRP	iscA//dapD//ydbD//aaeA//ilvB//valT//folE//glmS//ptrA//accA//pheT//tehA//artJ//cdaR//xdhB//frc//metA//add//ydcU//flgL//rpsF//trmA//dinB//yqjA//agp//upp//xdhA//ppdB//hdfR//gspB//alsC//priB//ycgZ//pheV//rpmI//purL//pdeH//glpG//psd//mqsA//bcsZ//fadR//thiQ//yegH//yoaC//nadC//fldA//yaeP//bioB//hofC//dapB//mpaA//alkA//livG//rcsB//leuB//ybaT//metA//hofO//alsE//argX//ychF//argR//ydcS//ppc//yjjP//yojI//dinQ//
CdaR	ppsA//ygbK//fbaB//nadC//yhdZ//
CecR	trpE//polA//flhE//rnlB//cbpA//
CpxR	dsbA//omrA//dinD//flgK//prs//murR//yhdX//kbp//tsr//yccT//aaeB//rffM//rpmI//yibQ//grxA//cheR//lysV//mgtA//ilvC//sgrR//amn//fruB//upp//ompA//dacC//cbpM//treR//ttdR//osmB//emrB//rclB//gltJ//
Cra	accD//lysC//fnrS//cmoM//uraA//cynS//fhuC//ampE//wrbA//cyaA//glyU//leuQ//ilvB//valY//hcaC//
CreB	ibaG//
CsgD	rstB//aaeB//dicB//fliP//phnO//exbB//sfsA//thiP//allA//
CueR	pitB//fecR//
CynR	envC//psiF//ychF//patZ//
CysB	ymjD//ycjY//bdm//purK//cra//ynbB//treR//argU//ychF//chiA//
Dan	ppc//recB//apaG//mipA//
DhaR	yaeP//wzb//pgpC//phr//
DicA	glpE//dnaG//cysE//xseA//yjhB//trpD//pgi//mgrB//
DnaA	argR//livM//
EvgA	ydcV//phoR//alsC//zntA//ppiD//yhjC//fliQ//
FNR	recX//glnW//yecT//gudP//umuC//purC//xseA//mgtL//livJ//glnX//phnM//proM//bacA//gpsA//proK//motA//uvrC//rcsB//mngB//yncE//rstA//lysR//ydjM//gudX//aaeX//yeaH//rffM//
FadR	argB//ymgC//phoP//isrC//alsB//nimR//fruB//cheY//
FeaR	rstB//
Fis	cpxP//ttdT//thrT//xseA//cecR//ychO//ppiD//phnM//aroH//pnuC//tbpA//efeU_2//aaeA//rpmI//psd//ppsA//ilvC//gcvA//gltK//bioD//hchA//ykgM//ibaG//nadA//yadV//yhdY//xapB//mlrA//ilvB//fecI//dsbC//znuA//alkB//yjhC//ybfE//wzyE//borD//glxK//alaX//fabD//cheA//yebE//dapD//yfdV//lysU//ydcS//cyaA//iraD//bioD//tyrU//uvrD//rpiR//ydcS//yegR//livK//yaeP//
FlhDC	fbaB//glpG//mntS//glnV//argE//phnG//pepA//tfaQ//gpsA//yoaC//crl//ompA//phnE_1//sohB//ttdR//gltI//aspV//rpmA//ddpA//arcZ//ddpB//cpxQ//hcaF//dinG//glpR//kdpC//flgJ//sfsA//cpdB//yjhB//yadV//mqsR//decR//rpsU//asnB//crl//wza//ydeA//
FliZ	entS//
Fur	mltF//ymiA//cra//ygaC//znuB//patZ//apaH//phnP//phnE_2//tyrT//alkA//leuB//fadM//iscU//argE//bluF//gpsA//rffG//ttdA//manA//iraP//fadR//allC//metT//
GadX	dksA//slt//fabH//isrC//ybaS//recC//gpsA//
GcvA	ydfD//tadA//
H-NS	pgpC//recD//flu//rstA//eno//cmoM//trpR//leuQ//ydeJ//mngA//pitA//livJ//ttdT//ykiA//
HU	leuD//narQ//
HcaR	ydfX//iraP//yiiS//rffC//cysN//ychH//
IHF	rpmI//fruK//upp//gyrB//rutR//omrB//motB//
IlvY	lolA//pdxA//
IscR	aspV//znuC//cpxQ//purE//purE//ftsK//potH//copA//
KdpE	metJ//dsbC//artJ//yafN//
LeuO	pgpC//thrS//ynbD//fliQ//mzrA//cmoM//
LexA	nohA//ruvA//ydfH//yncE//ybjG//gltX//rclA//ddpB//tktB//fliP//mhpR//ybhS//entS//ybjG//gspB//apaH//valY//pitB//ddpD//yeaH//yeiB//mukE//leuL//glxK//dkgA//agp//pgm//yjhC//cmoM//nlpA//hyi//phnN//fabI//fruA//isrC//valY//leuE//
LrhA	grpE//
Lrp	bioC//cynX//oxc//xdhA//phoR//bacA//bdcA//rffT//iraP//dtpA//cysD//lolA//wzzE//hcaD//
LysR	efeU_2//
MalT	leuT//
MarA	speA//lysV//
MatA	ynbB//iscU//
McbR	yadV//
MetJ	hflK//yjhC//emrA//leuW//flhA//
MlrA	ddpA//cysD//cmoM//hflX//wzc//
MngR	mltF//pgm//leuQ//
MntR	rnlA//recA//
MprA	mqsR//phnG//sbmA//
MqsA	add//pepA//
MurR	cheY//
Nac	hofO//leuC//phnH//glnW//queA//
NadR	potH//ampE//valY//
NagC	leuB//mgtL//nohA//lysW//ydcV//
NanR	prs//glnW//
NimR	yneM//priB//
