#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ttdB//
Ada	cbpM//ruvA//insK//
AgaR	flgB//cysD//glnU//leuL//ubiG//queA//cheA//
AlaS	chiA//
AllR	cbpM//rarA//yjeV//hofB//hyi//creB//adiY//flgF//fecR//
AllS	yjhC//phnG//leuE//
AlsR	bioF//fepD//tehA//ydfX//torR//fepC//
ArcA	mzrA//tcyP//
ArgP	fruB//purB//artP//
ArgR	fepC//artQ//ydeJ//dksA//ppdC//flu//allB//aaeX//intQ//hokE//prs//phoR//fepC//ada//
ArsR	yecT//creB//glnU//
AscG	hyi//
AsnC	artI//
BasR	bioB//
BirA	tar//hslJ//infC//sbcC//iscS//
BluR	ynbA//ilvC//wzb//ydeI//
BolA	bioC//phr//
CRP	fadM//agaC//tonB//yjjP//fldA//valT//adiY//hflC//ycjG//rffT//hofP//dksA//tbpA//hcaR//amn//hofM//yeaG//speC//glnB//tadA//fecR//glnX//recA//cynR//omrB//purK//htpG//dhaK//ribA//rcsD//ydcS//lysT//rcsD//gltK//flu//exbB//gltJ//flhE//yciX//crl//dtpA//cysE//yhfA//mukF//mngB//purC//flgJ//alsE//folE//hflC//pagP//ydfH//hslJ//borD//ykiA//cpdB//yjhB//spf//rarA//rof//rplI//ompN//fepD//gudD//recC//sfsB//ubiX//yecT//
CdaR	yojI//argH//bdcA//trmA//wzb//
CecR	ampD//kbp//rffT//pgi//patZ//
CpxR	rpsR//cheZ//cpdB//proL//rpmI//kdpF//psd//rcsB//ptrA//yhbS//dkgA//fadM//yccA//rnlB//ybaT//wecC//potH//wzzE//patD//hofM//yeaD//rclB//sfsA//seqA//mukE//yaeP//lexA//yhdX//proM//insK//flgA//ykgR//
Cra	uvrB//flgL//ydiV//cynT//cynR//rclA//glgX//uspB//ompX//yaeP//fepG//ivbL//rffG//dsbG//pykF//
CreB	hemH//
CsgD	ygaC//yjjP//mltF//cvpA//valU//hokE//trpC//trpA//lysT//
CueR	rmf//rstA//
CynR	umuC//mqsR//glgX//yadV//
CysB	dgcC//glxK//fldA//grxD//fhuA//valT//umuC//ydfW//nohA//yfiB//
Dan	rffC//ampC//decR//ybhL//
DhaR	yaeP//ivbL//glmS//arsR//
DicA	argC//glyT//alaA//metC//rpiR//omrA//fecR//pepA//
DnaA	yfdX//oxyS//
EvgA	hofO//alaA//gltK//adiY//yjjP//ilvC//cpxA//
FNR	thrW//yjhC//dkgB//ybbY//ynjI//arsC//ymjC//cynT//glpE//pdeH//agaR//fbaB//gpmM//phoE//ycjF//fnrS//ihfB//argU//thrU//rpsP//dgcN//slt//kdpB//paaY//yidL//grxD//cbpM//
FadR	mntS//ddpC//leuL//alaW//flgL//hofN//yneM//ykgR//
FeaR	rpmI//
Fis	yibQ//uidR//ygiZ//paaX//agaB//sdaA//ddpX//yeaG//ompN//trxA//hokE//fliO//leuQ//kbaY//nadC//ynbB//gspB//lon//ttdB//fabD//glnV//phnK//fhuD//ppiD//sdaA//gspA//rstB//ybhS//borD//rcsD//mqsA//recD//ttdR//flxA//flhE//rffC//uraA//ppdB//yqaE//rmf//phnH//aaeA//ada//proL//wcaA//pdeF//fecI//yibQ//fbaB//rybA//alaC//exbB//bluF//fliS//glnW//gpmA//
FlhDC	ddpA//tyrA//hflD//cpdB//wzxE//ydfD//hemH//kdpC//rplI//prs//metT//trpA//cbpM//tfaQ//gspB//rpsF//spf//dapD//yfdX//rarA//sohB//leuD//accD//alsE//fliM//yfbR//argI//gcvA//ydfX//ykiA//ftnB//gspA//emrA//omrA//pdeF//ycjF//ilvB//flhB//
FliZ	tdh//
