#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	dsbG//
Ada	glnB//iscR//dnaG//
AgaR	fruB//agaI//hofM//asnA//cynT//dkgB//uvrB//
AlaS	hchA//
AllR	allE//malZ//yeiW//ybhG//mukF//hcaC//rcnR//osmB//aaeA//
AllS	rpsP//fabG//borD//
AlsR	folE//rybA//hofB//oxc//metC//rpmA//
ArcA	luxS//psiF//
ArgP	gspB//isrC//alaW//
ArgR	pheV//pitB//arfB//dhaR//yeaD//flgG//flgH//yegZ//cho//ftnB//fruK//lysC//frc//argI//
ArsR	ynjI//spf//dicB//
AscG	hcaC//
AsnC	glnU//
BasR	dsbC//
BirA	phnE_2//hchA//trpC//glpR//iscA//
BluR	flgD//kdpC//ydcU//ivbL//
BolA	ycgR//rnlA//
CRP	ddpD//ydjM//ydfN//bdcA//crl//tbpA//fhuC//nohA//phnM//flgA//kdpB//wecB//dinG//phr//fliP//uvrD//pfkA//wzzE//yqjA//ydcU//rffC//cra//grxA//hofP//tsr//cynX//flgA//kdpF//omrA//ribA//lexA//ddpX//flgE//ppdC//wrbA//ddpA//recX//trpD//decR//yeaH//iraD//alaW//tyrB//ydcT//ttdT//ybhL//glyT//pgpC//iscA//lysT//yegH//cdaR//phnE_2//hflC//ddpX//recB//tehB//recB//ompX//tfaQ//purL//ibpB//amn//lysU//dnaG//rclA//potH//paaX//
CdaR	fepG//manA//tufB//grxA//bdcA//
CecR	flgD//xapB//fbaB//lysR//dgcN//
CpxR	grxD//pgi//rutR//livH//rclC//flgC//argA//ompT//yeaG//ykgO//pheV//paaY//cheY//cpxA//trxA//kbl//pepA//pitB//murR//motA//ddpC//yegZ//wzxE//phnC//allD//bdm//hcaE//ybhF//flgG//crl//dkgA//phnG//
Cra	leuD//ibaG//hcaR//flgJ//ada//rutR//ddpX//entS//ompX//nlpA//lexA//rplS//yeaE//tyrU//kdpB//
CreB	rpsU//
CsgD	wecB//ycjX//yccJ//phnF//ybhS//dsrA//phnE_2//symE//nadA//
CueR	potH//phnI//
CynR	ygdB//bioF//flgB//nlpA//
CysB	hslJ//gyrB//wrbA//cpdB//dicB//hdfR//metJ//tbpA//tpr//wza//
Dan	allB//yneM//gor//pagP//
DhaR	murR//mcaS//arsB//cynR//
DicA	flhB//rpsF//ppdB//manA//dicC//flhB//ompA//hflX//
DnaA	argU//ykgM//
EvgA	ttdT//cpxP//dhaR//glgX//flgG//rof//yccT//
