#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ilvN//
Ada	hofO//secB//purC//
AgaR	dapB//ompT//alsC//fhuB//trpC//murI//lysW//
AlaS	phnC//
AllR	glpG//nlpA//livM//rclC//phnM//hfq//lon//allC//gltJ//
AllS	mngR//insD//emrA//
AlsR	rpsU//isrC//ada//lolA//alaA//rarA//
ArcA	artQ//tyrA//
ArgP	fldA//bioB//trmA//
ArgR	gcvB//yccA//entS//leuV//gcl//bioB//yciX//zntA//exbB//dhaK//leuA//pdeF//leuE//yafN//
ArsR	bioF//pdeF//ppiD//
AscG	mukE//
AsnC	mgrR//
BasR	pykF//
BirA	rffG//talA//glgB//iraD//flgH//
BluR	tyrT//phnE_2//gspB//umuC//
BolA	ykgO//mukB//
CRP	rpmA//lolA//iscA//rffM//yhdZ//ybhF//fecI//argI//mcbA//polB//glgX//cynX//metC//nohA//ybhR//yjhC//dhaM//flgJ//rpsR//glgB//yjjP//ymjC//fnrS//yadV//rutR//ynbD//ykgR//phnI//tadA//ygbK//fadM//rybB//yegR//leuC//gfcA//phoP//livF//mqsA//hofN//lexA//dhaM//exbB//aaeB//hcaB//cheA//zntA//ldtC//glmU//folE//eno//rcnR//secB//ybhL//yaiW//glmU//hchA//yafN//phnE_2//uvrB//glgX//ybhR//ykgR//cho//apaH//pitA//aaeX//luxS//flgL//
CdaR	pheU//mcbA//bioA//ampC//tcyP//
CecR	cho//rffG//phoR//pheS//wzc//
CpxR	kbl//adiY//leuC//metF//fliD//tsr//ilvY//yqhG//luxS//rpmA//yhbT//thiP//pdeH//fliT//livK//rplS//cstA//osmB//yidL//alsE//grxA//ybhR//amiA//azuC//dhaR//gcvB//sgrR//zntA//iscR//ymgA//yebG//gltX//
Cra	flgG//kbp//lysO//uvrY//leuD//glxR//uvrC//leuV//erpA//tsgA//yhdZ//dksA//leuA//lysO//ttdA//
CreB	sgrR//
CsgD	mscM//leuC//pheS//alsC//yhbT//yjeV//ecpA//tcyP//ydfX//
CueR	ysgA//azuC//
CynR	purL//torR//arcA//cpdB//
CysB	ruvB//dacC//glgS//glpE//argU//iscR//gpmA//ydeJ//yidL//sbcD//
Dan	yfiR//tar//ddpF//mlrA//
DhaR	dgcC//rpsF//apaG//flgH//
DicA	pheV//dgcC//bioD//ppdD//rimM//flgB//tyrU//pepD//
DnaA	ynbC//dtpA//
EvgA	phnL//metU//alaA//alaC//ybhL//fhuC//yojI//
FNR	dhaL//arcZ//flgD//rstB//phnE_1//lolA//yhdZ//phnL//trpL//gltI//rffG//recN//xdhB//ycjX//fliP//torR//ttdT//alaS//motB//ivbL//cho//thrT//ycgR//rsmA//lysU//bioB//agaI//
FadR	yqaE//sfsA//tyrT//ptrA//tap//msrA//symE//ilvC//
FeaR	polA//
Fis	allS//leuA//fliL//thiP//rfe//trmD//mhpR//rpsF//uidR//polA//ykiA//flgB//yeiB//ttdA//ymgC//wzzE//kdpA//patZ//adiY//kdpA//glyU//seqA//phoH//cysC//rcsB//ychO//hflX//gyrB//glyU//phoE//flgC//ddpC//tar//sutR//fliM//rpmI//tufB//ygbK//flgI//leuA//ryhB//yhdW//hflD//ydcT//flhE//yjjZ//argT//ariR//lysV//dkgA//argB//flgF//fhuB//dgcN//alsB//artJ//
FlhDC	aroH//btuB//phoR//ybhF//tcyP//uvrY//potI//exbD//serT//bioC//speA//rcnR//fhuE//tdh//hofM//envC//lysW//ynbA//glyT//ydfD//yjhC//phoE//azuC//uidR//rpsR//tsr//dtpA//hisR//gltX//ydbD//mlrA//yccJ//phnI//trpR//phnC//yadV//ompN//ydeI//
FliZ	rffM//
Fur	torR//flhB//btuB//ilvY//tyrA//artQ//fhuA//xapA//fruK//upp//secB//yhjX//grpE//rplS//flhA//cysN//flgI//murR//sxy//phnF//phr//lysT//topA//dinF//
GadX	ybfE//allS//ynbA//omrA//arcA//leuP//thrU//
GcvA	phnC//flhA//
H-NS	arcA//mgrR//artJ//yfdE//fliO//hcaR//seqA//cbpA//yqhD//gyrB//glmS//dapD//talA//comR//
HU	ydbD//dksA//
HcaR	trpA//yhdZ//iscU//ruvB//tisB//hofP//
IHF	secB//flgC//ykgO//ddpX//cecR//slyB//rpoD//
IlvY	yafP//alaW//
IscR	flgI//ribA//rfe//flgE//gltJ//ibpB//ykgM//ilvB//
KdpE	rnlA//yidL//wrbA//uvrY//
LeuO	cynT//hdfR//flgF//dinG//nadA//treR//
LexA	yfiB//purL//cysD//pdxA//yhjX//nlpA//leuD//yecT//ldtD//ihfB//phnL//trpC//glnB//dgkA//hemH//metJ//ung//nimR//rplU//yecT//ibpB//hcaE//sfsB//dksA//mhpR//glpG//flgI//allC//argW//yhbT//iscU//dhaK//glpR//dgkA//envC//glxR//ydjM//
LrhA	thrS//
Lrp	phnO//ompT//ymjD//nadB//bdm//trpD//msrA//apaH//arsC//fliM//rybA//yciX//decR//fliN//
LysR	ddpA//
MalT	argW//
MarA	tsr//aroH//
MatA	omrB//dapD//
McbR	artP//
MetJ	fruA//uidR//dinF//metC//tyrT//
