#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	wecB//
Ada	dicB//cpdB//cpdB//
AgaR	rpsR//ydfH//leuC//dksA//yjjP//phoE//yfbR//
AlaS	lysU//
AllR	leuW//ydiU//cpxQ//ymjD//agaD//argC//aspV//yfbR//yebG//
AllS	lon//tyrT//argF//
AlsR	envC//spf//flhE//leuT//uvrY//flu//
ArcA	ygeH//pheS//
ArgP	glpG//ampD//gor//
ArgR	rplS//gspB//lysV//ydiU//proM//btuB//agaR//glgS//hcaC//htrE//alsE//rclB//lysV//phoP//
ArsR	potF//yaeP//yfbR//
AscG	zraP//
AsnC	ynjI//
BasR	cheA//
BirA	mngR//uspD//rnlA//ydeI//erpA//
BluR	ychO//allC//htrE//ydbK//
BolA	flgG//ybhF//
CRP	exbB//lysT//fhuC//ppdC//garD//treR//iscS//ubiX//ydfD//dkgB//alaW//grxA//lysR//sfsA//rplU//cpdB//flgB//yhdX//mcbA//tyrT//manA//recD//xapB//priB//fabD//motB//livK//symE//fbaB//arsB//fepG//murR//wzzE//potH//trpE//mhpT//folE//phnE_2//tynA//recD//cysD//fabI//xapB//htrE//rimM//agp//kdpF//wcaA//leuV//pheS//rsmA//wecE//pykF//purC//yhhY//znuC//mepH//purF//ybhR//ldtC//adeD//upp//glyT//apaH//metF//dhaK//dicC//dinB//
CdaR	pgi//tfaQ//cpxQ//grpE//lysU//
CecR	dkgA//ppdB//argX//aspV//ddpX//
CpxR	argA//ppiD//ykiA//fliT//flgB//hcaE//fbaB//argA//argF//yeaE//creC//fliQ//yeaG//pepA//dtpA//fhuE//ppdA//ldtD//potH//amiA//fruA//entS//yhdY//dapD//dhaL//hchA//rstB//yidQ//rpsR//ydfH//hisR//mprA//
Cra	phnM//hofM//omrA//fliR//fepG//fliL//ygiZ//trpR//gcvB//ynjI//arfB//tynA//potG//ibpB//uraA//
CreB	zntA//
CsgD	fliD//proK//trpA//ddpF//dhaR//metF//speB//yafO//pitB//
CueR	kbp//lysT//
CynR	yegZ//glk//ruvA//nlpE//
CysB	ykiA//rnlA//pitB//pdxA//talA//aaeX//recC//rffT//alsB//glpR//
Dan	osmB//ycjX//yhbS//efeU_1//
DhaR	arsB//sfsA//metJ//glgS//
DicA	exbD//mscM//tpiA//arfB//fabH//yidL//argW//hemH//
DnaA	metF//dsbG//
EvgA	ybbY//glk//ompA//livJ//yfiB//ydfE//hcaE//
FNR	phnE_1//trpD//thrS//dgkA//fliN//glxK//ompT//efeU_1//ybaS//tpiA//ldtD//yqaE//agaI//gudX//gspB//nimT//mukE//ftnB//htrE//mukF//ada//ibaG//accA//livJ//ymgA//hofP//wzzE//
FadR	xdhA//intQ//hcaR//gltJ//cheA//rpsP//ilvN//fepG//
FeaR	cysD//
Fis	leuD//mgrB//cynT//pheV//yqhG//dgkA//yeaG//kbp//thiQ//yneM//psiF//comR//agaB//manA//bacA//yhhY//sbcC//lon//purC//omrA//purB//frc//thrS//uspD//tktB//iraD//phnF//lon//ygbK//ydjM//trxC//phoR//fhuE//ptrA//dapD//flhB//mipA//hfq//alsC//gudX//nlpE//ilvB//entS//frc//cpxP//agaS//ygaC//lysC//tisB//dsbG//ynbC//grpE//ycjY//yafO//yaeP//secB//
FlhDC	rstB//dhaR//ldtD//cstA//gltI//glnX//priB//aroH//ygdB//cheB//potI//ymjC//garD//yhbT//omrA//trpE//ycjF//ydfH//erpA//ycjY//gspB//cynR//agaI//ppdA//hflK//argT//yidQ//grxD//motA//agaI//mcbA//gudP//ybbW//symE//dnaG//dsrA//cheB//frc//
FliZ	leuQ//
Fur	mzrA//kbaY//yfiR//treR//purK//phoR//yjhB//fecR//artJ//pgi//rnlA//rffG//yeaD//iscA//queA//obgE//glxR//fhuC//ykgM//lon//hisR//cynX//arfB//ychH//
GadX	trpC//yeaH//rfe//xdhC//folE//wcaB//asnA//
GcvA	rnlA//torR//
H-NS	yhfA//ddpD//agaS//btuB//ttdA//hyi//thrS//cvpA//tdh//yebG//yccJ//tar//ydiV//glpG//
HU	ibaG//glyU//
HcaR	patD//topA//ppdD//lacI//amn//artQ//
IHF	hcaR//glmS//yciW//uspD//glpG//gudP//sutR//
IlvY	fadR//mhpT//
IscR	ftsK//phnO//yagK//fhuD//phnP//ompA//pnuC//hfq//
KdpE	tyrT//thrU//fecR//purF//
LeuO	uvrY//kbl//yncE//tyrB//spf//bcsZ//
LexA	ykgO//arsC//gcl//fecR//hflX//agaC//argW//lrhA//wecC//rnlA//rybB//oxyS//lysV//arsC//uvrY//ykiA//hemH//dsbG//dgkA//metU//tpiA//yfdV//pheV//agaI//alaA//phoR//iscU//flgB//ybjG//uspB//yeiB//trpE//cynS//uvrY//yhdZ//ldtC//fabG//
LrhA	yfdX//
Lrp	kbl//livF//rybB//arcA//phnE_2//paaY//infC//ychF//tsgA//yeaD//agaD//cdaR//wcaA//rybB//
LysR	hcaE//
MalT	ihfB//
MarA	ruvA//argE//
MatA	hchA//fabH//
McbR	phnE_2//
MetJ	rcnR//fecR//potH//iscA//rpoD//
MlrA	allE//rpiR//recB//argX//uvrD//
MngR	fhuC//metJ//sdaA//
MntR	leuD//dgcC//
MprA	hcaR//tufB//ribA//
MqsA	flxA//rpiB//
MurR	gltL//
Nac	trxC//ydfD//pheU//dsbC//nlpE//
NadR	flgK//phnM//ydiV//
NagC	ttdB//sbcD//sutR//cheY//serX//
NanR	tufB//hofM//
NimR	rplU//lysT//
NsrR	spf//ppdC//leuA//slt//flgA//ydcS//adiY//ydbD//yjhC//leuE//ydfW//paaY//cynX//nadC//leuX//ung//arsR//pfkA//uvrY//ribA//torR//mngB//dhaR//cmoM//cdaR//potG//ynbA//fecI//purC//leuD//
NtrC	agaD//phoA//pheS//cho//hslJ//rsmA//glk//dsbG//umuC//flgK//hchA//prs//xdhB//gspA//argX//ymjC//nimT//
OmpR	rsmA//lrhA//cho//flgI//
OxyR	pdxA//glpE//argX//topA//glgS//asnB//ycgR//metU//adiY//
PaaX	apaH//yeiP//
PepA	livF//
PgrR	leuQ//mhpT//thrT//ydcV//phnH//gcvB//kbaY//
PhoB	flgA//livH//fliO//pdxA//ygdB//paaX//yojI//cpdB//sgrR//yfiR//glnU//yccT//dinF//cynT//gltJ//ppdC//nadA//mukB//ydfH//lysO//mepH//paaX//ydiV//kdpC//ddpX//gpmM//rcsD//rpmI//cheZ//agp//xdhC//
PhoP	sbcC//trxA//omrA//prs//fliM//polA//tar//thrU//cheA//livK//alaC//phnF//rclC//wcaA//recB//ydcS//
PspF	mcaS//
PurR	hofO//dhaR//psiF//metJ//ycgZ//allS//glmU//yegR//ariR//trmD//tyrT//pdeH//hslJ//
