#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ldtD//
Ada	hofO//mgrB//argH//
AgaR	yjjZ//znuA//ibaG//hcaF//intQ//yjhC//dtpA//
AlaS	serT//
AllR	flgH//fnrS//fliO//cpdB//oxyS//decR//leuD//mltF//livK//
AllS	fldB//iscU//pfkA//
AlsR	glk//alaC//lacI//kbaY//ilvN//cvpA//
ArcA	allB//wzc//
ArgP	arsB//yeaE//ycgZ//
ArgR	phnC//decR//slt//kbaY//yciX//hisR//pgi//ydjM//rffC//yqaE//cpxQ//kbl//cheB//rclC//
ArsR	ydcU//uvrC//yoaC//
AscG	glgX//
AsnC	sbcC//
BasR	isrC//
BirA	aaeB//yecT//wecC//yegR//ppdD//
BluR	yfbR//pheU//yqhD//dhaM//
BolA	xapA//grpE//
CRP	alkA//paaY//paaY//ynbC//yhbE//hchA//dgcN//ycgZ//leuT//yqhG//yhbT//bioA//trpB//mngR//nimR//borD//yhfA//ydeJ//tdh//yidL//phoP//purF//alaS//ivbL//thrW//pitB//ung//cho//glpE//hyi//erpA//fliD//yhhY//dapD//pepA//adiY//xdhA//preT//rplI//fruA//znuB//psiF//pheV//yagK//rpmI//phnL//manA//ecpA//bioF//agaC//hisR//grxD//rnlB//prs//livJ//dsrA//agaS//proM//dinQ//ydcV//ompN//gpmA//dsbA//tsgA//aroH//polA//agaB//pgpC//
CdaR	rpsP//ymjC//rffG//yciW//cheY//
CecR	eno//lrhA//gpsA//hemH//fepC//
CpxR	adiY//hcaD//yfbR//nadA//yafO//hofO//dinF//tbpA//aroH//xdhB//flgL//flgI//thiP//yadV//hcaF//ybhR//fhuD//phnN//yhbE//gcvB//purE//fhuD//trpE//sbcC//nimT//arsC//uvrC//ycjX//ybaT//hcaE//yfbR//uvrC//
Cra	uspB//fepG//rpmA//flgC//argT//prs//ybhG//argT//fruK//flgF//yidQ//ydcV//rfe//phr//artI//
CreB	asnB//
CsgD	kbl//psiF//leuC//aroF//xdhB//ygiZ//ftnB//decR//ynbD//
CueR	dapD//agaR//
CynR	bacA//btuB//cynT//fabD//
CysB	gyrB//accA//hcaF//hofM//uvrC//phnC//mukF//znuC//htpG//rpsF//
Dan	cpxA//lysO//yccT//phoR//
DhaR	bcsB//xdhA//ivbL//rpsU//
DicA	ycgR//xdhC//aroH//leuL//glnB//tcyP//yneM//mipA//
DnaA	ecpA//yebE//
EvgA	mukF//cynS//sbmA//dsbC//tyrU//rimM//yhbT//
FNR	bioA//cynX//bluF//ldtC//wecB//ymgA//kdpB//uvrD//ompN//gltX//dsbG//ompN//fliD//yneM//cheY//trxA//ymjD//glnB//flhA//ruvA//pdxA//rffH//tbpA//lysT//gcvA//leuL//yeiP//
FadR	alkA//alaW//yebE//mukF//borD//aroH//glgB//hcaD//
FeaR	cynS//
Fis	bioC//ybhS//leuE//yeaH//pitB//patZ//omrA//phnH//tufB//wecB//pgpC//azuC//lysO//uidR//ygiZ//leuW//yhbS//valT//allA//yhbE//hfq//yebE//yhbE//insK//ptrA//uspE//ihfB//argC//ychO//potI//phnE_2//dinD//glmS//hofC//yegZ//glnB//ttdT//aaeA//hofB//glyT//ruvB//hcaE//purK//ttdB//patD//argT//yccA//yafN//tyrA//gltK//pnuC//tynA//pepT//thiQ//gspB//add//
FlhDC	leuT//rpsR//omrB//cheY//lysV//proL//hemH//ydcT//ruvA//speB//artJ//ttdA//hokE//ampE//ygdB//fecI//wcaA//yeaE//phnI//tynA//hofO//tdh//yojI//flgG//ykiA//bioC//ompN//fabI//hofB//glnB//ppsA//isrC//yhdX//flhB//uidR//dkgB//pitB//znuA//
FliZ	livJ//
Fur	yegR//ydfE//gltL//yjjP//ydeI//gltK//wrbA//rpsP//yaeP//fruB//asnB//pdxA//argB//polA//gspA//livK//yhbE//avtA//yqjA//tpr//fadM//wcaA//sfsB//hflC//
GadX	polB//artM//leuT//dhaK//pgm//bcsZ//tpr//
GcvA	rmf//emrB//
H-NS	cvpA//pdeH//gcvA//ychO//ibpB//rpsR//thrU//ybhG//serX//gcvA//bioD//ilvB//hemF//yciX//
HU	hchA//recX//
HcaR	gfcA//arcZ//cho//hfq//paaX//yegR//
IHF	cra//secB//emrA//ftnB//yebG//ibaG//alaC//
IlvY	uspD//artM//
IscR	phnI//mukF//agaS//yfdX//gpmM//ariR//ttdB//cysN//
KdpE	oxc//folE//iscS//glnV//
LeuO	bacA//metJ//argR//mukF//leuW//gltJ//
LexA	topA//exbD//hemF//tyrA//umuD//glpG//hofC//btuB//phoA//yidL//htrE//yqjA//tdh//argH//trpA//valY//leuP//trpL//dgcN//argU//xdhB//ydbD//cpxA//fbaB//mprA//yjhC//glnW//obgE//fliQ//phnI//leuB//yccA//nimR//priB//trpA//rclB//argW//
LrhA	yaeP//
Lrp	ddpX//msrA//preA//fliN//fliL//talA//xdhB//dhaK//fliT//gcvB//rstB//purC//symE//ykiA//
LysR	flgI//
MalT	htpG//
MarA	oxc//hemF//
MatA	adeD//amn//
McbR	cdaR//
MetJ	ycjF//fabG//yeiP//emrB//ydfD//
MlrA	ruvA//fliN//fabI//dapD//isrC//
MngR	wecB//mntS//phnL//
MntR	wrbA//artP//
MprA	cpxQ//kbl//yafO//
MqsA	cyaA//decR//
MurR	rnlA//
Nac	decR//phoE//dinB//dinD//potG//
NadR	ybbW//yqhG//cpxQ//
NagC	nimT//potG//dicC//recN//iraP//
NanR	flgJ//tar//
NimR	ykgM//argC//
NsrR	ycjX//ruvA//gcvA//recA//wzc//yhdW//lysO//yccA//crl//yeaG//metU//argH//ygbK//fliO//gltI//ychH//accD//ydeA//sfsA//ftnB//wcaA//yqhG//znuA//mqsA//uvrB//fhuB//metF//leuQ//fliP//alaC//
NtrC	leuC//glnU//ydiV//tehB//ppdB//yfdX//copA//wecE//purL//lon//ysgA//csrB//yneM//trpB//cyaA//ampC//rybB//
OmpR	mhpT//gpmM//raiA//ymiA//
OxyR	exbB//glk//cheA//rplU//glnU//aaeB//adeD//tpr//rstA//
PaaX	fadM//ruvA//
PepA	agaC//
PgrR	dtpA//yqaE//uspE//tpiA//gspB//arfB//mngB//
