#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	wrbA//
Ada	artM//hofN//wzzE//
AgaR	hemF//yhhY//ariR//fhuC//tbpA//cpxP//dinF//
AlaS	livG//
AllR	bdcA//narQ//ychF//tadA//gltK//trmD//rpsR//ihfB//mepH//
AllS	sroA//oxc//glgS//
AlsR	rcsB//mngR//argU//cpxP//hisR//polA//
ArcA	rplU//mzrA//
ArgP	tisB//yiiS//mgrB//
ArgR	ftnB//ubiX//mpaA//bdm//recX//pheT//bioF//fliL//allS//speC//dinG//yecT//iraP//ihfB//
ArsR	sfsB//btuB//preA//
AscG	ttdB//
AsnC	fliL//
BasR	azuC//
BirA	aaeX//bdcA//gudP//leuC//yafO//
BluR	lacI//livJ//adiY//insK//
BolA	yagK//ybhL//
CRP	yegR//ygiZ//mpaA//polB//cmoM//pfkA//hofC//thiP//garD//ydcS//pitB//rplU//ydeA//flxA//phoH//iraP//hcaB//yhdZ//gudP//trmA//rcnR//zntA//ycjX//cpdB//ybhR//hflX//sdaA//yhdX//fhuD//lon//metF//tar//allE//phoH//ruvB//agaD//allB//obgE//cyaA//recN//ynbC//rimM//ppdB//ykgR//yegR//cheY//priB//ampC//mgrR//seqA//sbcC//thrT//ydiV//metF//azuC//yadV//phoP//agaR//intQ//hofC//ydcU//tonB//dkgB//glgX//leuW//serX//speC//ldtD//
CdaR	pykF//slt//mscM//ppdC//sbcD//
CecR	ttdB//ibpB//cheY//ykgM//mgtA//
CpxR	cheB//aaeR//rpoD//glyT//ynbA//fliQ//pheV//murI//amiA//ecpA//hofC//dicB//trpA//ymiA//hflC//rcsB//arcZ//cpxA//ymgA//adiY//dhaK//fldB//ydcU//mqsA//wcaB//yccJ//fhuA//fldB//ribA//speB//mukF//znuC//
Cra	flgL//xapB//rstB//yjjZ//ompA//pgpC//ung//leuT//aaeR//allB//sbcD//flgL//dicB//potG//phnK//
CreB	livF//
CsgD	hofB//ykgM//phoR//creC//dapB//mltF//serT//ddpF//aroH//
CueR	ymjC//aaeX//
CynR	potI//flgC//flgF//flgJ//
CysB	fadR//agaB//adeD//thrW//rybB//alsB//cheR//yccJ//rstB//ariR//
Dan	htpG//yfdV//asnB//fnrS//
DhaR	rffG//glxK//ttdB//cheB//
DicA	gltL//sroA//pnuC//umuC//bioA//phoE//yfbR//glpR//
DnaA	preA//aaeB//
EvgA	trpE//trxC//yccA//metA//glmS//ybfE//kdpC//
