#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ihfB//
Ada	livM//fliT//hofP//
AgaR	yhdW//kdpB//dgcC//leuT//ynbC//ppdC//xdhC//
AlaS	ompN//
AllR	ilvY//creC//kdpF//sfsB//ydeA//treR//insK//tap//sdaA//
AllS	ftnB//ldtD//leuD//
AlsR	gcvB//artJ//osmB//iraP//hofP//ybjG//
ArcA	phnN//lysO//
ArgP	fliD//wecE//yidQ//
ArgR	tehB//phoH//dkgA//fliT//ampC//flgD//accA//prs//ldtC//agaB//folE//aspV//bioB//creC//
ArsR	purE//rffT//yaeQ//
AscG	sbcC//
AsnC	eno//
BasR	purF//
BirA	intQ//nlpE//yaiW//ychO//yjeV//
BluR	ygbK//dinD//argT//pheV//
BolA	uvrY//ycgR//
CRP	paaX//flgC//phnO//rcsD//treR//yhjX//bioF//yjeV//hslJ//sutR//alkB//wecB//yfdE//pheT//nlpE//allE//dkgA//pspF//arsR//ppdB//yagK//flgF//trpB//yhdZ//flgJ//ttdB//argU//ycjX//ampE//leuV//ydiV//ydfH//omrA//umuD//asnA//yjjP//eno//iraP//trpB//cmoM//fnrS//cecR//pgm//yhdX//mntS//fabI//preA//dgkA//hslJ//ycgZ//yfbR//priB//patD//purF//dinF//arsB//yccA//glnU//pheS//zraP//arcA//patD//lysC//hyi//livH//yeaH//ymgA//lysT//
CdaR	leuE//mepH//flgF//yhdW//cynS//
CecR	rcsB//tyrT//kbl//alkA//slt//
CpxR	wrbA//ecnB//potH//proK//cho//valX//flgG//alsC//spf//ybhS//ttdA//cynX//secB//cheB//purC//dnaG//purL//nlpA//ddpC//rybA//yciW//ybfE//sroC//ynbD//nlpE//purF//yhfA//agp//nimT//alsE//fecR//tyrU//
Cra	rcnR//sfsA//argA//allA//ppdC//dgcC//alsA//dkgA//purB//arfB//wzc//hdfR//pitB//yfiB//mngB//
CreB	gudP//
CsgD	ddpD//wzyE//ryhB//hemH//gltJ//flgI//hfq//pykF//trpR//
CueR	ompA//ybhL//
CynR	mukF//hofN//fnrS//fhuD//
CysB	omrB//yhdY//sfsB//yjjZ//yciW//flgC//argB//alkB//symE//phnN//
Dan	yneM//ybhR//dgcN//mukB//
DhaR	tehA//gpmM//hofP//dinQ//
DicA	dapD//glmS//tadA//comR//flgG//fecI//fliO//ftsK//
DnaA	purL//fepC//
EvgA	seqA//purE//ybhL//wecB//livK//yeaE//tehA//
FNR	rpoD//yecT//cueO//ykgM//envC//fepG//yebE//thiP//alsE//kbl//phnL//mukE//paaY//pgm//rdoA//znuA//flgK//cheA//tbpA//yaeQ//ydeJ//cpdB//hofM//ydcT//ychO//glxK//ybhG//
FadR	cysK//ydcS//tcyP//trpR//ybfE//asnB//tsr//trpC//
FeaR	argB//
Fis	livG//ftnB//metA//yeaD//nlpE//ykgO//proL//ddpB//proL//ynbC//pgm//mltF//yhbS//aspV//cvpA//uvrB//phnE_1//cynX//mcaS//lysT//lexA//osmB//allA//znuB//ymjD//hdfR//kdpC//phnH//phnI//motA//phnO//priB//sroA//treR//tbpA//glnU//fhuA//rplI//fecI//ddpF//slt//mngB//umuC//ychO//xapB//arsR//artI//rpiR//gor//flhB//mntS//uspB//erpA//mhpT//manA//yadV//
FlhDC	fadM//xseA//ybaT//ftsK//cynT//ppdC//yhdX//ybaS//arsR//infC//cpdB//dapB//wrbA//gspA//gcvA//cysE//mukE//gor//gltX//tktB//sfsA//kdpC//fliQ//pgi//mukE//yciX//yhjC//copA//tehA//yeiP//speA//livK//yhbE//purL//purF//nimR//oxc//sroC//
FliZ	tehB//
Fur	zraP//adeD//phnD//flhA//insD//hcaB//phnM//glpE//pgi//phnE_2//cysN//purC//yciW//isrC//trpL//pgm//mcbA//fhuA//ppiD//mukE//emrA//ymiA//lrhA//csrB//
GadX	sfsB//phnE_2//eno//recC//ydbK//tpr//dacC//
GcvA	cysC//mntS//
H-NS	alkA//yeaE//gltI//yidL//dapB//fnrS//wzyE//leuE//cynX//yafO//nadA//ybjG//purL//yaeP//
HU	agaI//trpR//
HcaR	grxD//metJ//erpA//mprA//cynS//flgF//
IHF	yhdX//grpE//mngR//leuE//hofP//lysU//rybB//
IlvY	phnE_2//rcnR//
IscR	uvrD//ybjG//alkA//kdpA//btuB//sxy//ampE//agaB//
KdpE	yeaE//fruB//dgcN//recA//
LeuO	csrB//ydeJ//ppc//ycgR//dinD//avtA//
LexA	artP//agaD//bdm//ynbB//polB//metC//creB//phnE_2//cysC//yhdY//allS//ibpB//cynT//sgrR//ddpB//amiA//priB//alaC//fabG//pagP//pepA//fldA//ynbD//ykgM//spf//psd//pdxA//hofB//hcaB//flgA//yidL//mgtL//dsbA//glnB//tadA//efeU_2//argE//
LrhA	hcaD//
Lrp	glk//rarA//flhE//glnU//pnuC//sutR//pitB//ttdT//thrW//trmA//dicC//spf//phr//nlpA//
LysR	fliL//
MalT	glgB//
MarA	intQ//cysC//
MatA	ykiA//dsbA//
McbR	ttdA//
MetJ	mpaA//malZ//ydiV//ttdT//trmA//
MlrA	ung//emrB//yccA//erpA//mzrA//
MngR	tsgA//phnG//bcsZ//
MntR	cheR//ygiZ//
MprA	rcsD//gltI//yeaE//
MqsA	ampE//hofN//
MurR	glnB//
Nac	ilvB//dsbA//flhE//yeaH//alsC//
NadR	lrhA//recA//rpmA//
NagC	mntS//glnB//ddpD//phnE_2//sxy//
NanR	rpsR//efeU_2//
NimR	dsbG//arcZ//
NsrR	yhhY//agaI//yhbS//dgkA//ykgO//phoE//rffM//pnuC//hcaF//potF//aaeA//efeU_1//mlrA//phnP//ada//hchA//allS//ddpA//hfq//dacC//cysD//fruK//yeiW//yeiB//hemF//iraD//insK//speC//fhuC//ydbD//
NtrC	yfiR//ttdR//trmD//cueO//amn//ppc//ykgR//bioD//rybA//yibQ//fepD//dapB//fhuE//cvpA//yebG//rimM//dsrA//
OmpR	fliT//cysN//rpsR//znuA//
OxyR	yibQ//fadM//cheB//thrS//metC//gyrB//alsE//mltF//fhuB//
PaaX	sxy//ydeA//
PepA	pgm//
PgrR	yjhC//phoR//livJ//gltL//phnI//raiA//cueO//
PhoB	gpmM//argI//flhA//lrhA//argB//gpmA//amiA//glnW//ykgO//rpiB//pheT//rpiB//pepA//hcaR//leuE//queA//copA//agaR//lysW//sroA//fhuC//fruB//ymgC//rfe//mukB//tap//hofO//cheY//arsB//asnA//frc//
PhoP	fepD//cysN//tehA//phoA//yfiB//preA//tyrA//dicB//uvrY//ydfW//sbcC//yaeP//avtA//glnU//purK//yqaE//
PspF	leuQ//
PurR	purL//preA//lysR//amn//cheB//yfbR//mgtA//rplU//znuB//phnK//hchA//dhaR//ydjM//
RbsR	cstA//
RcdA	cmoM//recD//cheA//
RclR	yhjX//glgX//rplI//
RcnR	dnaG//
RcsAB	yciX//mukB//tdh//xapB//flxA//
RcsB	cpxA//creA//dapB//ubiX//
RcsB-BglJ	yhbE//phnG//raiA//yaeQ//proM//ampD//ttdT//ilvC//ynbB//yhjC//xseA//
Rob	fldB//
RutR	wza//
SdiA	cysC//
SgrR	fldB//yciX//aroF//yfdX//phnK//rpsU//
SoxS	flgA//rclC//glpE//bioB//nlpA//intQ//
SutR	argT//gor//
TorR	murI//
TrpR	gpmM//dhaM//ddpX//cvpA//cheW//gfcA//ybhF//sroA//
TyrR	fepG//ycgZ//cheA//
UidR	agaB//
UvrY	xdhA//narQ//
XapR	ydfE//rpsP//
YdeO	agaC//cpdB//
YjjQ	xapB//tsr//emrA//trpA//glpG//fepC//hflX//
YpdB	rybA//
YqhC	gltI//fliL//
ZntR	ykgO//
ZraR	rarA//
Zur	mngR//ddpB//mukF//omrB//hisR//
