#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	hofP//
Ada	ybbY//fabG//ecpR//
AgaR	pheT//kbp//ydcV//yhfA//phnI//fabG//valT//
AlaS	ycgZ//
AllR	hcaR//motA//ydfX//uvrB//cdaR//ivbL//yidQ//tyrA//dsrA//
AllS	tdh//alaS//queA//
AlsR	mgtA//leuV//dicC//uspE//livF//ddpD//
ArcA	ubiG//phnI//
ArgP	znuC//isrC//yeiW//
ArgR	ydcU//mukE//aaeX//isrC//yfdX//frc//hflX//metC//dapD//ompA//flgB//dhaR//aroF//tufB//
ArsR	amn//agp//ybbW//
AscG	fepD//
AsnC	hfq//
BasR	ydcS//
BirA	ilvC//hofN//dsbA//ybjG//allA//
BluR	ada//dgcC//ddpX//flgK//
BolA	tar//narQ//
CRP	sxy//tisB//avtA//cueO//dgcC//pepD//mpaA//fruK//accA//artQ//lysU//folE//ompT//hofC//ptrA//sbmA//cpxR//rpsF//ychF//ibpB//yhdW//trpE//rnlA//hcaR//dhaM//hofM//bdcA//sroA//flgA//cysN//murI//ydfD//sfsB//uvrD//isrC//yfdV//uvrB//yebE//alaS//ruvA//leuA//glk//rpsU//flu//bioA//ydcT//phnI//dinG//wcaA//rfe//hflX//fliT//glnV//ymjD//aaeA//yqhD//dinB//ubiG//bioC//wza//ynbA//ygeH//leuC//insD//ybaS//pnuC//pykF//ycgR//
CdaR	iraD//artM//efeU_1//rpmI//znuA//
CecR	ygeH//nimT//cbpM//upp//ibaG//
CpxR	sroA//sbcD//hslJ//proM//wzb//mngB//hofP//metT//trmA//yhfA//rybB//rpsF//yiiS//argH//ycjX//ykgM//add//ompN//ldtC//ychH//iscR//aaeX//nimT//livH//mgrB//ydeI//trpB//tap//zntA//rfe//bioF//argC//
Cra	apaG//ampC//tfaQ//hofC//ruvA//valY//tsgA//tufB//mpaA//tdh//uvrC//rpsP//uvrB//ruvB//rclA//
CreB	nadC//
CsgD	fepG//ilvN//emrA//gfcA//flgJ//grpE//trpE//nimR//metT//
CueR	yciX//aaeR//
CynR	acrR//pdxA//yagK//kdpF//
CysB	narQ//rdoA//ftnB//oxyS//yafP//entS//yebG//yidQ//allE//ydfW//
Dan	gyrB//ydiU//ydcS//kdpB//
DhaR	sfsA//flgF//ubiX//decR//
DicA	flgG//yhhY//gpmA//gudP//ibaG//lysC//yidQ//flgF//
DnaA	allD//speB//
EvgA	gcvB//lysO//ruvB//flxA//manA//trxA//tcyP//
FNR	bluF//mscM//iscS//gor//yagK//gor//tktB//copA//fbaB//ycgZ//cysN//tonB//xdhC//exbD//yfiR//rffH//xapB//lacI//mqsR//ydeI//yeiP//lrhA//secB//znuC//ibpB//kbp//kbp//
FadR	cheB//valU//argI//torR//uvrY//mscM//fhuC//gltI//
FeaR	phnP//
Fis	fepC//sohB//valT//flgJ//iscS//adeD//leuL//accA//ycjF//cyaA//upp//ydcU//glxK//mhpR//znuB//yhhY//fliS//kbl//yqaE//wrbA//agaB//trxC//phnI//lysT//sroA//raiA//dhaL//ynbA//tynA//yeiW//sfsB//rffT//gltJ//sutR//livF//trxC//entS//ydeI//mqsR//gcl//wzzE//glxR//ycjF//ppsA//rutR//yfdV//zraP//mngA//ygaC//tonB//tpr//agaD//thrS//ldtC//yegR//phoB//
FlhDC	trpA//tyrA//agaB//fnrS//mngA//eno//agaS//wecB//potG//amiA//znuB//yeaE//ppsA//ecpR//ddpD//sgrR//symE//recB//potI//leuA//rffH//acrR//phnN//rcnR//emrB//aaeR//arsR//ddpF//efeU_1//rpmI//rpsF//yadV//alsA//cpxR//xseA//mprA//rclA//gltX//
FliZ	mntS//
Fur	fliN//gltX//aaeA//dgkA//dksA//dhaM//alaC//rffH//glnB//gpmA//glpE//dsrA//agaB//kdpA//artM//ddpB//fliL//ykgM//thrU//murR//fhuD//ecpR//adiY//garD//
GadX	wecB//glgX//rarA//ompT//dinQ//fhuB//tadA//
GcvA	tehA//isrC//
H-NS	trpE//hofN//apaH//hofN//pgi//yneM//leuV//rsmA//cysN//lysR//prs//kbaY//metC//rpmA//
HU	dinB//yafP//
HcaR	nlpE//rpiR//nimR//mukE//phnF//crl//
IHF	dacC//fhuB//murI//rstB//yaeP//ycjG//ycjX//
IlvY	symE//rybA//
IscR	mprA//nlpA//sbcD//kdpC//adiY//fepD//ddpB//ppdD//
KdpE	cheW//pepD//glnU//ddpD//
LeuO	dinQ//sfsB//folE//tynA//ibaG//queA//
LexA	ybaT//entS//insD//tyrV//dnaG//psiF//cheR//gudP//ymgA//wcaB//rpsF//potH//aroH//mepH//flgF//argI//psd//ycgZ//ymgC//fabD//livF//ompN//rcnR//kdpB//ung//dacC//nimR//hflX//cpxR//pepA//ompX//pepD//tap//ydcV//ynbC//ubiG//yoaC//
LrhA	fepG//
Lrp	azuC//fliO//yecT//yebG//aroH//arcZ//rcsB//uspE//slyB//hemF//ykgM//dinD//rpsP//recA//
LysR	ttdT//
MalT	arfB//
MarA	tonB//fecI//
MatA	dinD//polA//
McbR	phoR//
MetJ	dinB//gyrB//gpmM//creB//ygiZ//
MlrA	dapB//mipA//ymjD//upp//glpR//
MngR	potF//mhpR//bioC//
MntR	fhuD//preA//
MprA	allA//phr//isrC//
MqsA	bdm//emrB//
MurR	flu//
Nac	mqsA//tktB//mlrA//fepG//fabH//
NadR	fruK//yccT//yhjX//
NagC	sohB//cyaA//cysC//ydjM//ykgR//
NanR	phnE_1//ecnB//
NimR	sbcC//hofO//
NsrR	nlpA//potG//leuQ//hfq//rclA//cbpM//thrT//trxA//tadA//folE//valU//yhjC//leuA//prs//yeaG//leuL//sbmA//trpE//tdh//yfdV//slt//ybhG//yqjA//sfsB//purB//ftnB//rof//rpmA//ydfW//argU//
NtrC	gudP//sutR//hslJ//kbaY//flhB//leuQ//flgC//nadB//fldB//cdaR//creC//dhaL//ppdD//mscM//yaeQ//hofN//tpiA//
OmpR	ygdB//ibpB//cpdB//dicC//
OxyR	lysO//ymgC//manA//yciW//creC//agaB//glmS//phoH//ilvN//
PaaX	gltI//aspV//
PepA	spf//
PgrR	tap//yfdE//fhuE//msrA//artP//bioD//rsmA//
PhoB	proL//asnA//rsmA//allA//rclA//argX//glnW//ung//mqsA//bacA//glmS//ppsA//flgK//yebE//serX//metC//ttdR//dtpA//yojI//lon//glxR//dnaG//argF//rof//rpiB//hemF//phoP//ompT//thiQ//gudX//tsr//
PhoP	iraD//yqaE//decR//glgB//fbaB//ychO//dsbG//agaC//flxA//hofC//yjjP//mqsA//arcA//flgG//ynbC//metU//
PspF	yhbS//
PurR	tyrU//allD//dksA//apaG//lysC//glnX//yqhD//agaR//hcaC//ttdT//gltJ//ppdB//mgtL//
RbsR	ilvC//
RcdA	pagP//ydiU//valU//
RclR	yhdY//ddpD//potI//
RcnR	pheS//
RcsAB	hofC//insD//cysC//ilvB//pheS//
RcsB	pepT//aspV//hofP//tehA//
RcsB-BglJ	trmD//cpxP//mhpR//valT//flgF//infC//phoR//agaD//yadV//ymiA//rpmI//
Rob	potF//
RutR	ybbW//
SdiA	ymjC//
SgrR	ycgZ//ddpA//purC//dhaM//talA//tktB//
SoxS	yegZ//tisB//rffH//wzzE//rcsB//wzzE//
SutR	yebG//hofM//
TorR	metC//
TrpR	lysW//thrT//ariR//btuB//ybfE//ycjX//mntS//rutR//
TyrR	tktB//speA//yhdY//
UidR	gpsA//
UvrY	yqhD//rffT//
XapR	pheU//lysU//
YdeO	fecI//rstB//
YjjQ	purF//phnE_2//fabD//tar//valX//agaS//ybfE//
YpdB	dsbA//
YqhC	flhE//yhhY//
ZntR	sgrR//
ZraR	yidL//
Zur	wrbA//avtA//hcaB//ydeI//uidR//
