#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	argE//
Ada	ymiA//ydiU//uspE//
AgaR	flgK//sdaA//ecpR//mukB//ivbL//mipA//yqaE//
AlaS	gltL//
AllR	pheS//mgrB//ilvY//mprA//rplU//torR//glnW//leuQ//yhbS//
AllS	hflK//efeU_2//ymiA//
AlsR	mqsR//kdpF//lon//flgG//hflK//ppdB//
ArcA	flgC//tcyP//
ArgP	fliR//cheB//hflK//
ArgR	flgE//wzzE//thrS//dsrA//rclB//ecpR//gltI//leuQ//yojI//ybbY//livF//ubiX//alaW//wzxE//
ArsR	cbpM//yeaG//ung//
AscG	cheZ//
AsnC	bdcA//
BasR	yciX//
BirA	xseA//msrA//alsA//ampD//tcyP//
BluR	ihfB//phnM//yccT//talA//
BolA	flgL//lrhA//
CRP	cra//msrA//cheW//htpG//ftnB//preA//glpG//narQ//yecT//pdxA//metA//rffG//fabH//yfdX//ruvA//ybfE//uspB//envC//artI//glgB//seqA//hcaR//ychF//csrB//narQ//paaX//hflC//cpxR//tehB//argU//ompA//purL//fruA//aaeA//yhdZ//zraP//ompT//yciX//ybhS//rfe//thiP//murI//hofC//yegH//yhjC//mukB//yegZ//tar//cynX//alaS//dsbG//pgpC//yqaE//trxC//ada//borD//ttdB//paaX//xdhA//rpsP//yqhG//dinG//yaeP//dsrA//csrB//tyrA//yjhB//ybhS//
CdaR	flgF//flhB//pheS//grxD//glk//
CecR	cpdB//ribA//sutR//mcbA//paaX//
CpxR	flgD//purB//ppc//yeiB//valX//dinQ//ybjG//garD//pheT//mscM//fliP//ygbK//omrA//rpsU//rpsF//argE//recA//iscU//tonB//fecI//speA//ynbD//ymiA//mgtA//grxD//artI//kdpF//ubiG//valT//ydfN//alsE//fhuB//
Cra	thiQ//nimT//nlpE//osmB//pgm//sfsA//alkB//potH//ddpD//cpxR//gcvA//hemF//speB//potG//mqsA//
CreB	ppdC//
CsgD	gltK//dapB//xapB//entS//ampD//ruvA//glyU//omrB//hemF//
CueR	xdhA//purF//
CynR	mngR//dhaK//cyaA//potI//
CysB	dsbC//bluF//mgrB//ycjF//fbaB//paaY//rpsP//dhaR//phnE_2//obgE//
Dan	flgI//yeiP//sgrR//pnuC//
DhaR	ymgA//ydeJ//psiF//dicB//
DicA	mcbA//yegH//metC//yjeV//cbpM//livM//xapA//ppdD//
DnaA	phnF//dsbC//
