#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	ybhR//
Ada	dhaK//flgG//cynR//
AgaR	rimM//thiP//nohA//ilvY//motA//efeU_2//cheR//
AlaS	mcbA//
AllR	argU//hcaF//preT//yegH//flxA//phnP//pepT//yibQ//lysW//
AllS	rybA//tonB//wecE//
AlsR	tadA//rpiR//iscU//flgI//purL//emrA//
ArcA	ecnB//ydiV//
ArgP	msrA//ychH//tap//
ArgR	glmU//adeD//thrS//recC//gpsA//glnX//fepD//lrhA//arfB//cdaR//fliD//lysV//glmU//pheT//
ArsR	yeaG//nlpA//mgrB//
AscG	csrB//
AsnC	yaeP//
BasR	upp//
BirA	creB//gpmA//cyaA//nimR//thiP//
BluR	iraP//ppdD//lexA//xdhC//
BolA	recB//metC//
CRP	valY//accA//wzzE//mqsA//yfiB//bacA//pgpC//cbpM//glyU//glnB//fabH//ykiA//yidQ//yhbT//pitB//hflK//argR//fabH//uspE//glnV//cbpM//gpmM//kdpB//ycjY//nimT//pitA//wza//alsA//hslJ//mcaS//wzyE//ibpB//yecT//slyB//rffH//dnaG//grpE//ybhS//rcnR//ttdB//ybhS//fhuB//paaY//trpE//ychO//pepD//tpr//cho//ppdC//glxK//flu//cysC//nadA//fliR//yaeQ//ldtD//crl//trpB//uidR//bcsZ//ycgR//bcsZ//exbB//cho//ecpR//yibQ//ykgO//ychH//
CdaR	yhdZ//sbcD//fliO//tyrU//comR//
CecR	fruK//prs//fbaB//xdhC//entS//
CpxR	dicB//efeU_1//phoH//xapA//cpxP//leuL//fepD//psd//wecB//iscU//zntA//wecC//ydcT//alkB//grxA//wzb//topA//rffG//phnG//ybhG//ddpB//yoaC//rpoD//emrB//yadV//ynbD//fhuE//pspF//ribA//cbpA//glmS//flgC//
Cra	recB//preA//znuA//ygeH//ydcS//wecB//fliO//yaiW//rybA//envC//ycgZ//ynbD//csrB//phoB//sroC//
CreB	pheU//
CsgD	speC//ydiV//rpsU//uvrD//flgA//purC//zraP//cysE//livK//
CueR	sutR//cheB//
CynR	yidL//fabH//narQ//mipA//
CysB	rpiB//hflX//pitA//yoaC//glnV//alaX//spf//ldtC//ecnB//ybhF//
Dan	tisB//serX//ynbB//leuC//
DhaR	ddpA//cbpM//ada//ybhG//
DicA	glgS//ychO//ampC//cvpA//znuB//leuT//csrB//valT//
DnaA	leuB//yeiW//
EvgA	yjjZ//lexA//garD//ilvC//ydcV//grxD//tsr//
FNR	hofC//fepG//xseA//aaeA//leuC//osmB//envC//ruvB//bacA//rcsD//mltF//creA//ilvN//mukB//mgtL//recB//amiA//ppc//hofP//gltX//creA//copA//envC//fnrS//crl//upp//manA//
FadR	lexA//dinG//yiiS//cynX//bdm//cynX//yjeV//dinD//
FeaR	ftsK//
Fis	ibpB//borD//phnN//ariR//sohB//polA//speA//recD//livM//yibQ//pheU//yeaH//lysU//argC//iscA//ydcS//flgC//bacA//pfkA//yegH//flhA//phnF//wzyE//efeU_2//tisB//creC//phnM//adiY//leuC//mngA//kdpA//glyU//metT//xdhC//alsB//trmD//paaY//creB//glk//valY//argF//sxy//trpC//recB//valX//alaW//glpR//ilvC//kdpC//yeaH//livM//exbB//fepD//mipA//znuB//fbaB//
FlhDC	artQ//mprA//ysgA//yagK//rcsD//tpiA//agaC//spf//agp//tonB//iscR//purL//rcsD//lysU//omrB//yfdX//lysT//uvrD//cheB//talA//yhdW//potI//ibpB//purF//dsbG//ydfX//znuA//mgtA//recX//kbp//hflC//gfcA//htrE//seqA//rcsB//ompT//wzyE//ybhS//
FliZ	yhbS//
Fur	rfe//yjhC//serX//murR//alsC//flgI//nimT//dtpA//zntA//exbB//artM//hcaB//cpdB//yeiP//znuC//serT//rffH//argF//pheU//yhjX//fldA//symE//fruB//hofM//
GadX	rpoD//slt//aaeX//rffH//ymjD//flxA//ykgR//
GcvA	erpA//mgrR//
H-NS	tpr//ddpC//sutR//ybfE//rffG//grpE//rclA//ycgR//tcyP//pdeF//hisR//glgX//ydiU//yeaG//
HU	luxS//ydcT//
HcaR	rplI//rnlB//preA//entS//btuB//pepA//
IHF	ygiZ//ykgM//wza//apaH//dhaK//dicC//ycjY//
IlvY	ldtD//lysR//
IscR	fepD//uvrB//argH//cysD//cpxQ//ompT//ybhS//lysW//
KdpE	flgG//pheU//ybbY//argU//
LeuO	fepG//phnC//dicC//tonB//livH//copA//
LexA	cmoM//lysR//fabD//pdxA//ydjM//fhuB//iraD//yeaE//hflD//grxA//ilvY//argR//fadR//rof//btuB//yibQ//sxy//kbl//preT//ftnB//rclC//glyT//grxD//fecI//yeaE//exbD//artM//pfkA//cysN//insK//fhuC//phoA//flhE//ycjY//yadV//rdoA//flgI//
LrhA	ybhS//
Lrp	purK//yeiP//glgS//ttdR//fabI//fliO//ydfN//dsbC//ydeJ//accD//cpdB//ydeA//flgF//glgB//
LysR	yqhG//
MalT	arsB//
MarA	ynbD//phoB//
MatA	folE//gpsA//
McbR	intQ//
MetJ	rpiR//yhjX//cbpM//efeU_1//dhaL//
MlrA	artI//ddpB//zraP//ycjF//alaS//
MngR	fhuB//phoA//gltL//
MntR	mpaA//ygbK//
MprA	folE//agaS//ygiZ//
MqsA	ymgC//tdh//
MurR	rybA//
Nac	trpA//mntS//dhaM//argU//psiF//
NadR	aaeX//pheT//rffH//
NagC	cbpA//spf//mukF//ycjY//cpxA//
NanR	hcaD//thrS//
NimR	wrbA//phoB//
NsrR	torR//gcvA//trpR//yjhC//tehB//mprA//patD//ydfW//flxA//fliS//livH//wecC//purL//glxR//gpmM//exbB//ihfB//tpr//phoA//alaX//yfbR//exbD//arsB//flgG//pfkA//zraP//tfaQ//lexA//alaW//valT//
NtrC	rffH//hcaR//yadV//creA//hdfR//adeD//glgS//flgI//hofP//ibpB//dsbA//yfdV//hcaC//yaeQ//fliD//adiY//aroH//
OmpR	ddpX//cpxQ//yaeP//ydfW//
OxyR	ynbD//ompT//yhjC//rpmI//cheY//ygiZ//iscS//arcA//phnO//
PaaX	arsR//purE//
PepA	uvrY//
PgrR	isrC//osmB//agaS//thiP//ymjD//rimM//ydcU//
PhoB	cysC//alaW//ychF//fliP//agaR//yqhD//artI//argF//gspB//fbaB//argC//fliP//yncE//cpxQ//wrbA//yncE//nimT//acrR//sbmA//alaX//agp//recN//ydcV//dsbA//lrhA//ybaT//mzrA//tbpA//valY//flgK//hokE//
PhoP	tisB//dapD//purK//cra//symE//flxA//dnaG//phoP//rcnR//tonB//yciW//comR//iraD//gcvB//potI//yhbE//
PspF	flhE//
PurR	metF//ppdD//argB//mntS//exbB//trxA//apaH//rpiB//emrA//cysK//sutR//bacA//glmS//
RbsR	leuC//
RcdA	treR//phnE_2//fliP//
RclR	pnuC//tyrA//purE//
RcnR	artI//
RcsAB	patZ//phnD//gltX//hdfR//mqsA//
RcsB	leuT//yncE//uspB//uspB//
RcsB-BglJ	exbD//purK//slt//sgrR//cueO//envC//alaX//mzrA//cstA//entS//rutR//
Rob	sbcD//
RutR	xdhA//
SdiA	raiA//
SgrR	sroA//ddpD//mhpT//proL//rffT//fadR//
SoxS	ynbC//yjhC//znuA//hflD//hisR//murR//
SutR	leuP//dicB//
TorR	argH//
TrpR	recB//rpsU//ppiD//emrA//yeaG//agaR//insK//cbpM//
TyrR	btuB//gpmM//hchA//
UidR	phnG//
UvrY	fliM//wecC//
XapR	glmU//aroF//
YdeO	sroC//allE//
YjjQ	rnlB//rybB//dnaG//alkB//insD//apaG//flhB//
YpdB	umuD//
YqhC	tyrB//lysW//
ZntR	leuL//
ZraR	speC//
Zur	livH//ftsK//fepD//yeaD//kbaY//
