#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	rnlA//
Ada	sbcC//glnX//dapB//
AgaR	phnL//mqsA//livJ//wrbA//fruK//cheY//yhbT//
AlaS	gyrB//
AllR	mqsA//metC//raiA//gyrB//cheY//grpE//envC//tap//iscR//
AllS	murI//speB//yfiB//
AlsR	rpsP//tfaQ//leuD//yeiW//iscS//motA//
ArcA	nimT//ttdT//
ArgP	aroH//rplU//ygiZ//
ArgR	tonB//yncE//yafP//trmD//ygiZ//trpC//dsbG//sdaA//tyrA//kdpB//flgC//cheR//wrbA//ung//
ArsR	dhaK//metF//mlrA//
AscG	pepA//
AsnC	ygeH//
BasR	argH//
BirA	sbcD//phnM//yfdV//yeaD//allD//
BluR	ydeI//artP//tehB//flgL//
BolA	yhdW//rpsP//
CRP	trxC//pfkA//dinG//artQ//mipA//hofB//nohA//leuA//fnrS//sbcC//yojI//fadM//ydcV//cynS//add//recX//ftnB//rcnR//yhdW//potF//trxA//fldB//allD//hcaE//manA//lon//ppdA//hemF//yaiW//ryhB//lysU//trxC//hdfR//artJ//borD//bioF//murI//gfcA//ygeH//decR//speC//lysT//fliM//dhaK//tsgA//ydbD//phnG//metU//iscU//valY//fadM//ddpX//hofM//xdhA//ybfE//arsR//dnaG//zntA//glpE//dgkA//alaC//mngA//omrB//artM//ampD//yeaD//cpxQ//lysR//
CdaR	dhaR//malZ//tufB//aspV//phnM//
CecR	isrC//gudD//bioB//dinD//raiA//
CpxR	pheU//yhjC//allC//ftnB//flgI//yhfA//cheR//ydfE//gltJ//intQ//ydbK//pykF//pagP//arsC//allS//xdhC//ttdA//ydfX//creA//mqsA//trpE//dkgB//rstA//fhuE//ttdA//mukF//gudP//ycjX//dgcN//fliT//mcbA//ldtD//
Cra	ychH//ykiA//mzrA//ttdB//yjjZ//agp//glxK//yhhY//yagK//gyrB//lolA//intQ//aspV//wzb//dkgB//
CreB	ompX//
CsgD	lysW//yciX//lysC//glgB//mzrA//yafO//envC//lysC//fepD//
CueR	aaeB//phoB//
CynR	ecpA//pheU//leuX//kdpB//
CysB	ymgC//ydcV//yfbR//yaeQ//agaS//dinQ//hchA//asnA//fliM//paaY//
Dan	creB//cstA//adeD//dinQ//
DhaR	trpE//rof//yaeP//valU//
DicA	gltI//lysT//phoE//prs//fldB//nlpE//lysR//ompA//
DnaA	pepT//argT//
EvgA	ykgM//xapB//ppdB//ydiU//nlpA//sbcC//fruB//
FNR	yoaC//ompN//tbpA//bioF//eno//ynbC//yhdZ//ribA//bioF//znuB//phr//bluF//cheR//sbcD//bcsB//lon//cmoM//lysW//ompN//pgpC//hofB//mcaS//wzxE//dinB//fhuE//mqsA//rclB//
FadR	proM//kdpC//paaX//leuD//secB//ddpC//glnX//sohB//
FeaR	yjeV//
Fis	yhdY//ruvA//cynS//allD//mhpT//aaeB//alkA//flhE//ddpA//yfdV//glnW//dsbA//dgcC//sbmA//valX//purL//mhpT//leuQ//metU//ydjM//yhdX//bcsZ//metF//ldtD//emrA//uvrC//xapB//phoR//uspD//pheS//livM//phnP//cpxQ//iscS//yadV//yfdE//potH//dinB//bioC//ilvN//phnP//uvrC//gltK//creA//aaeR//dacC//argA//cynT//fbaB//hofN//gltK//flgL//argI//purL//rsmA//mcbA//
FlhDC	thiQ//patZ//iraD//allS//chiA//metF//rpoD//yhbT//glyU//pheV//rdoA//arsB//fruB//mgtA//creB//ydjM//ydcV//ybbY//cbpM//leuL//ymjD//bioF//hdfR//ruvB//glnU//ydfW//tonB//hisR//ykgO//mqsA//hflD//cpxP//yccA//lolA//uraA//purE//polB//hcaE//
FliZ	xseA//
Fur	dsbA//rnlA//ecnB//rplU//bdcA//lexA//creA//yhbS//osmB//sgrR//leuC//ttdA//yeaD//ycjX//ddpA//tyrU//creA//ynbA//yafO//eno//wecE//kdpB//rplS//rpiR//
GadX	hofM//folE//uvrD//mpaA//ibaG//ttdR//lolA//
GcvA	glnX//patZ//
H-NS	lysW//recN//gcvA//ydfX//pspF//ampD//recA//glnB//cpxR//artI//rffM//recX//fruA//leuD//
HU	xapB//pagP//
HcaR	artI//ygiZ//apaH//hofM//ybhL//ddpA//
IHF	rplS//gltJ//flgB//creC//flgJ//alsA//fhuD//
IlvY	lysV//accD//
IscR	ychF//hofP//bdm//frc//lysO//ybhR//bioD//wzxE//
KdpE	entS//argI//mhpR//ymgC//
LeuO	arsR//dtpA//rpiB//upp//znuB//adiY//
