#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	nadB//
Ada	dhaL//ruvA//fruB//
AgaR	cysK//ecpA//fliP//rffG//xseA//decR//ydcT//
AlaS	glnW//
AllR	cynX//pagP//priB//fliM//ybhR//glmS//ymjC//valY//pepD//
AllS	leuC//hyi//rybA//
AlsR	tbpA//yeiP//mgrR//sbcC//mukE//phnE_2//
ArcA	rybA//leuT//
ArgP	metC//yagK//insD//
ArgR	paaX//sbmA//dinD//glnW//fliT//cvpA//ybbY//flgI//rpoD//yhjC//lysU//phnN//yhfA//yneM//
ArsR	hemH//argT//argU//
AscG	artQ//
AsnC	glmS//
BasR	znuB//
BirA	sroA//bdm//ydfW//efeU_1//pnuC//
BluR	kdpA//ybaT//ydeJ//hemF//
BolA	msrA//dicC//
CRP	ubiG//cheA//hchA//ydcT//rplI//cmoM//zntA//yeiW//proM//fliM//ppiD//fabH//cysN//xdhB//ycjF//uraA//mukF//ddpD//ykgO//trmD//omrB//umuC//aroF//yaeQ//tisB//metJ//mgtL//alaW//gcvA//pheS//phr//cpdB//yeaD//trpC//flgA//recA//slt//torR//wcaB//htrE//yjjP//xapB//arsC//tisB//ppdA//hdfR//dinF//acrR//ttdR//tcyP//cynX//wecC//msrA//rutR//dinB//trpE//potG//fepC//hemH//trpA//comR//hisR//ecnB//kbl//dhaK//tpr//yegZ//ygaC//
CdaR	agaC//ibaG//argR//lacI//tktB//
CecR	allC//yojI//mltF//creC//bdm//
CpxR	yhfA//yaeQ//umuD//sbcC//azuC//potG//iraD//mcaS//yjjP//murR//ydfN//dinG//glxK//gspA//flgB//fliN//aaeR//ppsA//fnrS//ydcT//lon//yojI//yqaE//cyaA//creC//cheY//accD//phnM//yafO//tadA//pagP//cstA//
Cra	mgtL//alsE//ttdB//lysW//fadR//yhhY//yqhG//yjhC//ttdB//kdpF//trpL//kbaY//glnW//phnJ//creB//
CreB	pheS//
CsgD	mgtL//creC//glyU//phnD//ybhF//alsE//ychH//gltX//gltX//
CueR	alkA//phnM//
CynR	hflC//serT//paaX//ydcT//
CysB	bioA//flgE//azuC//gpmM//cueO//fecI//hcaF//mukB//glyT//obgE//
Dan	cheR//cpxA//murI//rpsU//
DhaR	thrS//phnK//valU//efeU_2//
DicA	ppiD//alaA//dinD//pdeH//fruK//exbD//ryhB//fliR//
DnaA	pgm//tisB//
EvgA	ybjG//cstA//yeaH//yncE//potG//lysO//phnE_1//
FNR	yegH//phnN//lysO//gudX//znuC//dinG//bacA//leuE//cdaR//rpmI//mukE//glmU//emrA//csrB//cecR//mcaS//yidL//rpsP//phnH//hflX//cheB//yfdV//polB//fliS//insD//asnA//agaI//
FadR	leuW//speB//aroH//purK//mgrB//yoaC//pgpC//ibaG//
FeaR	dnaG//
Fis	rplU//tpr//yafO//dinB//ivbL//cmoM//dsbA//cheA//allC//sfsB//wecB//dsbC//hslJ//ynbB//cheB//ddpF//ydiU//argU//ruvB//arcZ//zraP//ydcS//fnrS//iscA//alaW//yaeQ//copA//ybjG//rclB//ubiG//cra//argT//livK//talA//rnlA//crl//aspV//bioA//cpxR//lysU//phnC//yhdY//bdcA//iscR//gcvB//rclB//ygiZ//artJ//mlrA//garD//yhbS//uspE//envC//ddpF//thrW//flgK//
FlhDC	yaeP//decR//yciW//yidL//intQ//xseA//hofP//ycjG//yhdW//exbD//gudX//ecpR//artM//creA//upp//kdpA//tynA//zntA//envC//flgA//cpxP//yadV//leuV//argA//yfbR//ppdA//glnV//fhuC//phnL//ecnB//cheY//cueO//rybB//lysU//arcZ//exbD//leuE//gpmM//
FliZ	fliR//
Fur	gcvA//pykF//rclA//leuQ//dhaM//efeU_1//sdaA//phoE//rplS//trpE//seqA//sdaA//iscU//valU//cynT//valX//ydfE//mhpR//yeiW//uvrD//yeiP//creA//livH//wza//
GadX	arcA//ymgC//mepH//tktB//yjhC//glnV//mprA//
GcvA	tap//queA//
H-NS	lysW//mukE//yhbS//flgK//dapB//pheT//insD//folE//glpE//ycjY//fhuD//sbmA//ppdB//rcsB//
HU	agaD//ppc//
HcaR	ydeJ//patD//hflK//preA//yeaG//mngB//
IHF	metA//uspB//allD//dksA//pgi//motA//rsmA//
IlvY	ftsK//gltI//
IscR	cbpA//proM//yhbT//flgF//kdpF//yqhD//cheW//yneM//
KdpE	trpD//aaeA//hofB//ybaT//
LeuO	cheB//ddpX//rarA//rnlB//valT//cstA//
