#From /Users/Daniela/Documents/PhD/Codigos/2018-1/random_regulons.pl on Mon Jun  4 20:37:27 2018 using /Users/Daniela/Documents/CCG/GU_art_2/original_datasets/data_sets/simple_regulons.txt
AcrR	allD//
Ada	artJ//ycgZ//hcaC//
AgaR	cvpA//yjhC//gudX//cyaA//argA//trpA//rffG//
AlaS	iraP//
AllR	ecpR//argF//rpsP//ymiA//fabH//hcaD//gltL//ynbA//hcaB//
AllS	upp//argI//tdh//
AlsR	fliP//torR//yccJ//pheV//pykF//mlrA//
ArcA	livM//yccA//
ArgP	slt//yadV//ydfX//
ArgR	wza//ilvC//hdfR//lysV//talA//gcvB//glyU//ygeH//thrW//yidL//gltL//dacC//patD//ydeA//
ArsR	cysK//hcaE//yhjC//
AscG	trpL//
AsnC	metU//
BasR	ecpR//
BirA	dgkA//livK//kdpA//flgL//grxD//
BluR	yebG//thrT//cheR//yafO//
BolA	bcsB//ydfD//
CRP	ecnB//wecC//ruvA//ddpB//pheS//efeU_2//fliL//yjjP//yhbS//ttdT//ecpR//hcaC//torR//agp//wecB//leuC//dacC//ttdA//alsB//hflX//fnrS//fhuD//gudX//mgrB//argR//creC//yeaE//allS//ybhR//ynbD//aroH//adiY//csrB//umuC//seqA//alaS//yaiW//agaB//pdeF//leuW//kbp//ecpA//recN//cdaR//uspE//omrB//tbpA//ysgA//yaeP//ydbD//allA//serX//nohA//manA//fliL//phnD//dinB//glmU//wecE//ibaG//yidL//cysE//cueO//kbp//yecT//exbB//ilvC//trpB//
CdaR	xapA//hcaC//dinG//tonB//ycgR//
CecR	hcaD//ompT//ydeJ//trpB//argB//
CpxR	wzzE//wrbA//ycjX//flgC//ysgA//sutR//ydbK//tyrT//phnG//ibpB//leuD//fabD//wzxE//phnL//ampD//ynbB//ibaG//fecR//patD//gpmA//rclC//ycjF//mgtA//flgD//leuB//hflD//rimM//lysC//ynbA//yeaE//ttdA//yfiB//
Cra	dgkA//phnI//bdm//ompX//hofB//thrU//cheZ//adiY//gudP//creB//flgD//wzb//trpD//fabI//valX//
CreB	ybaS//
CsgD	ldtD//ymiA//tyrT//fruA//rof//mhpT//bioA//xseA//yadV//
CueR	ydiU//sxy//
CynR	chiA//ddpD//yciX//hchA//
CysB	xapA//tsgA//flu//glgX//cheY//phoB//lexA//cheB//paaY//tehA//
Dan	gfcA//purF//htrE//yhdW//
DhaR	phnI//slyB//glyT//pepD//
DicA	ybhG//iscR//ttdR//yadV//fliL//gfcA//leuE//flgI//
DnaA	iscU//ycjX//
EvgA	cbpM//wzzE//ilvB//bioA//yaiW//yfdX//dtpA//
FNR	erpA//sroC//gltL//gspB//uvrB//fliD//umuC//znuC//phoE//trpE//yccA//cynS//ymgC//rffG//ppiD//yaiW//wzxE//ilvB//entS//dtpA//ycjY//cpxR//fabG//ariR//ygbK//phnE_1//yccT//
FadR	adeD//gyrB//flgD//yccJ//ddpD//wzc//glk//agaB//
FeaR	ompN//
Fis	ydiV//argB//leuC//grxD//gpmA//phnE_1//uidR//ygiZ//fldA//yeiP//nimT//gudP//raiA//phoB//mukE//glnB//exbD//dicB//rpsU//flgH//argA//phnF//tyrU//omrB//talA//motB//mukF//upp//xdhA//ydbK//ppdA//rpiB//cynR//leuC//agaC//ubiG//glnW//ubiX//hfq//znuB//efeU_1//cheB//ruvA//tbpA//cheY//yfdV//mlrA//raiA//wcaA//dsbG//omrA//mhpR//dinG//lrhA//btuB//dsbA//
